timestamp_ms,symbol,timeframe,open,high,low,close,volume
1736289600000000,PAXGUSDT,5m,2654,2656,2652,2656,6.9252
1736289900000000,PAXGUSDT,5m,2656,2658.00150716,2654.99924642,2656,1.9017
1736290200000000,PAXGUSDT,5m,2656,2658.00150716,2656,2657.00075358,0.5282
1736290500000000,PAXGUSDT,5m,2657.00075358,2668.00904295,2656,2660.00301432,44.7838
1736290800000000,PAXGUSDT,5m,2660.00301432,2662.00376875,2657.00188267,2662.00376875,3.7576
1736291100000000,PAXGUSDT,5m,2662.00376875,2671.0139357,2646.98682383,2671.0139357,39.4086
1736291400000000,PAXGUSDT,5m,2671.0139357,2674.03772506,2670.00600591,2670.00600591,0.5199
1736291700000000,PAXGUSDT,5m,2670.00600591,2671.01317528,2670.00600591,2670.00600591,0.1804
1736292000000000,PAXGUSDT,5m,2670.00600591,2673.02751403,2670.00600591,2673.02751403,0.3665
1736292300000000,PAXGUSDT,5m,2673.02751403,2674.03506303,2671.01241601,2671.01241601,3.1604
1736292600000000,PAXGUSDT,5m,2671.01241601,2672.01996502,2668.997318,2672.01996502,0.2842
1736292900000000,PAXGUSDT,5m,2672.01996502,2674.03582316,2670.00410688,2674.03582316,0.3547
1736293200000000,PAXGUSDT,5m,2674.03582316,2677.0641763,2673.02637211,2677.0641763,2.1962
1736293500000000,PAXGUSDT,5m,2677.0641763,2677.0641763,2676.05472525,2677.0641763,0.2558
1736293800000000,PAXGUSDT,5m,2677.0641763,2679.0830784,2675.04527421,2679.0830784,3.7325
1736294100000000,PAXGUSDT,5m,2679.0830784,2681.10502789,2679.0830784,2681.10502789,0.5869
1736294400000000,PAXGUSDT,5m,2681.10502789,2681.10502789,2679.08384053,2679.08384053,0.2901
1736294700000000,PAXGUSDT,5m,2679.08384053,2693.22681707,2669.99192705,2669.99192705,60.1304
1736295000000000,PAXGUSDT,5m,2669.99192705,2673.00093373,2660.96490701,2666.98292037,31.7492
1736295300000000,PAXGUSDT,5m,2666.98292037,2669.99192705,2665.97991814,2665.97991814,6.1003
1736295600000000,PAXGUSDT,5m,2665.97991814,2665.97991814,2662.97543288,2662.97543288,2.2276
1736295900000000,PAXGUSDT,5m,2662.97543288,2664.97842305,2661.9739378,2663.97692797,3.525
1736296200000000,PAXGUSDT,5m,2663.97692797,2666.98141323,2658.96945254,2666.98141323,4.0614
1736296500000000,PAXGUSDT,5m,2666.98141323,2667.98554779,2665.97727866,2665.97727866,0.9327
1736296800000000,PAXGUSDT,5m,2665.97727866,2665.97727866,2659.95700629,2660.96038502,11.1317
1736297100000000,PAXGUSDT,5m,2660.96038502,2660.96038502,2658.95513982,2658.95513982,0.4218
1736297400000000,PAXGUSDT,5m,2658.95513982,2662.96563022,2655.94727201,2655.94727201,0.6777
1736297700000000,PAXGUSDT,5m,2655.94727201,2655.94727201,2654.94729186,2655.94727201,0.1762
1736298000000000,PAXGUSDT,5m,2655.94727201,2655.94727201,2651.94735142,2651.94735142,0.5415
1736298300000000,PAXGUSDT,5m,2651.94735142,2651.94735142,2650.9477482,2651.94735142,0.1636
1736298600000000,PAXGUSDT,5m,2651.94735142,2651.94735142,2649.94814498,2650.9477482,0.8268
1736298900000000,PAXGUSDT,5m,2650.9477482,2653.94768907,2648.94778762,2648.94778762,1.1497
1736299200000000,PAXGUSDT,5m,2648.94778762,2651.94207675,2645.95349848,2651.94207675,0.5009
1736299500000000,PAXGUSDT,5m,2651.94207675,2653.94278749,2650.94172139,2651.94207675,0.1576
1736299800000000,PAXGUSDT,5m,2651.94207675,2655.94500819,2651.94207675,2655.94500819,0.7603
1736300100000000,PAXGUSDT,5m,2655.94500819,2657.94647391,2651.94207675,2657.94647391,0.4495
1736300400000000,PAXGUSDT,5m,2657.94647391,2657.94647391,2656.94498692,2656.94498692,0.5499
1736300700000000,PAXGUSDT,5m,2656.94498692,2657.94609656,2654.94276764,2656.94498692,1.5893
1736301000000000,PAXGUSDT,5m,2656.94498692,2658.94871617,2654.94125767,2658.94871617,3.201
1736301300000000,PAXGUSDT,5m,2658.94871617,2658.94871617,2657.94685154,2658.94871617,0.4111
1736301600000000,PAXGUSDT,5m,2658.94871617,2658.94871617,2657.94722889,2657.94722889,0.0751
1736301900000000,PAXGUSDT,5m,2657.94722889,2658.94871617,2657.94722889,2657.94722889,0.25
1736302200000000,PAXGUSDT,5m,2657.94722889,2658.94871617,2657.94722889,2658.94871617,0.0539
1736302500000000,PAXGUSDT,5m,2658.94871617,2658.94871617,2657.94722889,2658.94871617,0.1558
1736302800000000,PAXGUSDT,5m,2658.94871617,2658.94871617,2657.94722889,2658.94871617,1.3398
