timestamp_ms,symbol,timeframe,open,high,low,close,volume
1737789600000000,DOGEUSDT,5m,0.34864,0.34917,0.34829,0.34917,890673.0
1737789900000000,DOGEUSDT,5m,0.34917,0.34935,0.34863,0.34872,506266.0
1737790200000000,DOGEUSDT,5m,0.34871,0.34931,0.3486,0.34909,730989.0
1737790500000000,DOGEUSDT,5m,0.34909,0.34944,0.34837,0.34837,892772.0
1737790800000000,DOGEUSDT,5m,0.34836,0.34882,0.34824,0.34882,2258240.0
1737791100000000,DOGEUSDT,5m,0.34882,0.34905,0.34843,0.34893,937447.0
1737791400000000,DOGEUSDT,5m,0.34892,0.34905,0.34811,0.34829,1458688.0
1737791700000000,DOGEUSDT,5m,0.34829,0.34854,0.34822,0.34854,815870.0
1737792000000000,DOGEUSDT,5m,0.34854,0.34899,0.34828,0.34862,448643.0
1737792300000000,DOGEUSDT,5m,0.34862,0.34934,0.34852,0.34934,972383.0
1737792600000000,DOGEUSDT,5m,0.34934,0.34986,0.34922,0.34982,1458489.0
1737792900000000,DOGEUSDT,5m,0.34981,0.35011,0.34958,0.3499,1435010.0
1737793200000000,DOGEUSDT,5m,0.34991,0.35001,0.34879,0.34892,638924.0
1737793500000000,DOGEUSDT,5m,0.34892,0.34928,0.34862,0.34928,1305613.0
1737793800000000,DOGEUSDT,5m,0.34929,0.34935,0.34843,0.34844,1099291.0
1737794100000000,DOGEUSDT,5m,0.34844,0.34857,0.34786,0.34848,1486769.0
1737794400000000,DOGEUSDT,5m,0.34847,0.34874,0.34815,0.34837,902031.0
1737794700000000,DOGEUSDT,5m,0.34838,0.34882,0.34827,0.34861,618419.0
1737795000000000,DOGEUSDT,5m,0.34861,0.34861,0.34777,0.34816,756231.0
1737795300000000,DOGEUSDT,5m,0.34816,0.34847,0.34792,0.34847,415561.0
1737795600000000,DOGEUSDT,5m,0.34848,0.34891,0.34829,0.34852,519904.0
1737795900000000,DOGEUSDT,5m,0.34853,0.34896,0.34841,0.34871,884108.0
1737796200000000,DOGEUSDT,5m,0.34872,0.34881,0.34804,0.34841,2417600.0
1737796500000000,DOGEUSDT,5m,0.34842,0.34873,0.34814,0.3482,1232311.0
1737796800000000,DOGEUSDT,5m,0.34821,0.3486,0.34783,0.34807,1190514.0
1737797100000000,DOGEUSDT,5m,0.34807,0.34817,0.34723,0.34724,2656461.0
1737797400000000,DOGEUSDT,5m,0.34724,0.348,0.3471,0.3477,2054288.0
1737797700000000,DOGEUSDT,5m,0.3477,0.34782,0.34717,0.3472,886734.0
1737798000000000,DOGEUSDT,5m,0.34719,0.34765,0.34691,0.34764,2362545.0
1737798300000000,DOGEUSDT,5m,0.34765,0.34769,0.34671,0.34673,1616031.0
1737798600000000,DOGEUSDT,5m,0.34673,0.34708,0.34631,0.34702,2639409.0
1737798900000000,DOGEUSDT,5m,0.34702,0.34716,0.3467,0.34671,3088530.0
1737799200000000,DOGEUSDT,5m,0.34671,0.3469,0.34579,0.34596,2991268.0
1737799500000000,DOGEUSDT,5m,0.34595,0.34639,0.34567,0.34621,3008437.0
1737799800000000,DOGEUSDT,5m,0.3462,0.34725,0.34602,0.3467,2435899.0
1737800100000000,DOGEUSDT,5m,0.34669,0.34722,0.34632,0.34677,1137956.0
1737800400000000,DOGEUSDT,5m,0.34676,0.347,0.34655,0.34662,1300503.0
1737800700000000,DOGEUSDT,5m,0.34661,0.34662,0.34543,0.34568,2563152.0
1737801000000000,DOGEUSDT,5m,0.34568,0.34672,0.34564,0.34672,889324.0
1737801300000000,DOGEUSDT,5m,0.34671,0.34791,0.3467,0.34754,1886487.0
1737801600000000,DOGEUSDT,5m,0.34754,0.3479,0.34746,0.3476,1434884.0
1737801900000000,DOGEUSDT,5m,0.3476,0.34863,0.34726,0.34839,1816120.0
1737802200000000,DOGEUSDT,5m,0.34838,0.34858,0.348,0.34826,1322997.0
1737802500000000,DOGEUSDT,5m,0.34826,0.34873,0.34826,0.34852,1155932.0
1737802800000000,DOGEUSDT,5m,0.34853,0.34933,0.34822,0.34932,2060028.0
1737803100000000,DOGEUSDT,5m,0.34932,0.3501,0.34926,0.34959,5830609.0
1737803400000000,DOGEUSDT,5m,0.34959,0.34966,0.34903,0.34912,1553299.0
1737803700000000,DOGEUSDT,5m,0.34912,0.34926,0.34868,0.34924,1262119.0
1737804000000000,DOGEUSDT,5m,0.34924,0.34945,0.34856,0.34868,1707760.0
1737804300000000,DOGEUSDT,5m,0.34867,0.34923,0.34867,0.34879,816274.0
1737804600000000,DOGEUSDT,5m,0.34879,0.34954,0.34865,0.34948,1113508.0
1737804900000000,DOGEUSDT,5m,0.34948,0.34989,0.34938,0.34981,1154549.0
1737805200000000,DOGEUSDT,5m,0.34982,0.35012,0.34967,0.35003,1460306.0
1737805500000000,DOGEUSDT,5m,0.35004,0.35085,0.34996,0.35065,2157373.0
1737805800000000,DOGEUSDT,5m,0.35065,0.351,0.35026,0.35097,1438069.0
1737806100000000,DOGEUSDT,5m,0.35097,0.35098,0.35044,0.35046,1104624.0
1737806400000000,DOGEUSDT,5m,0.35046,0.35053,0.34935,0.34936,2483777.0
1737806700000000,DOGEUSDT,5m,0.34935,0.34968,0.34915,0.3493,2425099.0
1737807000000000,DOGEUSDT,5m,0.3493,0.35004,0.3493,0.34996,398652.0
