timestamp_ms,symbol,timeframe,open,high,low,close,volume
1756614600000000,SOLUSDT,5m,204.29,204.59,204.19,204.5,21398.543
1756614900000000,SOLUSDT,5m,204.5,204.56,204.09,204.26,12405.741
1756615200000000,SOLUSDT,5m,204.26,204.26,203.8,203.91,15238.384
1756615500000000,SOLUSDT,5m,203.9,204.27,203.83,204.06,6981.619
1756615800000000,SOLUSDT,5m,204.05,204.06,203.47,203.66,11647.03
1756616100000000,SOLUSDT,5m,203.67,204.43,203.67,204.42,6402.753
1756616400000000,SOLUSDT,5m,204.43,204.43,203.97,203.98,9341.673
1756616700000000,SOLUSDT,5m,203.97,204.9,203.97,204.83,7495.797
1756617000000000,SOLUSDT,5m,204.83,204.85,204.56,204.71,8364.693
1756617300000000,SOLUSDT,5m,204.71,204.8,204.47,204.59,7487.353
1756617600000000,SOLUSDT,5m,204.6,204.61,204.14,204.15,4643.076
1756617900000000,SOLUSDT,5m,204.14,204.14,203.92,203.94,9634.475
1756618200000000,SOLUSDT,5m,203.93,204.33,203.89,204.29,8177.353
1756618500000000,SOLUSDT,5m,204.29,204.47,204.19,204.43,4430.694
1756618800000000,SOLUSDT,5m,204.43,204.63,204.4,204.44,4585.732
1756619100000000,SOLUSDT,5m,204.43,204.45,204.1,204.19,5538.313
1756619400000000,SOLUSDT,5m,204.19,204.5,204.16,204.5,6646.801
1756619700000000,SOLUSDT,5m,204.49,204.65,204.39,204.64,4087.996
1756620000000000,SOLUSDT,5m,204.65,204.89,204.64,204.68,7108.295
1756620300000000,SOLUSDT,5m,204.67,204.7,204.5,204.5,3207.186
1756620600000000,SOLUSDT,5m,204.51,204.74,204.5,204.64,7274.947
1756620900000000,SOLUSDT,5m,204.65,204.65,204.16,204.16,5462.792
1756621200000000,SOLUSDT,5m,204.16,204.17,203.54,203.71,31062.691
1756621500000000,SOLUSDT,5m,203.71,203.77,203.64,203.73,5350.99
1756621800000000,SOLUSDT,5m,203.73,203.82,202.99,203.45,32468.471
1756622100000000,SOLUSDT,5m,203.44,203.87,202.98,203.84,28491.405
1756622400000000,SOLUSDT,5m,203.84,203.98,203.52,203.59,6520.249
1756622700000000,SOLUSDT,5m,203.58,203.59,203.13,203.14,19544.777
1756623000000000,SOLUSDT,5m,203.13,203.38,203.11,203.16,6520.299
1756623300000000,SOLUSDT,5m,203.15,203.17,202.73,202.94,45865.644
1756623600000000,SOLUSDT,5m,202.94,203.37,202.92,203.36,9952.967
1756623900000000,SOLUSDT,5m,203.37,203.75,203.25,203.72,7384.436
1756624200000000,SOLUSDT,5m,203.72,203.87,203.57,203.62,6604.942
1756624500000000,SOLUSDT,5m,203.62,203.82,203.44,203.44,6306.31
1756624800000000,SOLUSDT,5m,203.44,203.67,203.39,203.55,2725.891
1756625100000000,SOLUSDT,5m,203.56,203.84,203.55,203.84,2342.111
1756625400000000,SOLUSDT,5m,203.84,203.92,203.47,203.5,4186.638
1756625700000000,SOLUSDT,5m,203.5,203.59,203.32,203.44,2421.793
1756626000000000,SOLUSDT,5m,203.43,203.86,203.43,203.82,8298.343
1756626300000000,SOLUSDT,5m,203.82,203.82,203.41,203.44,14756.507
1756626600000000,SOLUSDT,5m,203.44,203.61,203.44,203.59,9897.465
1756626900000000,SOLUSDT,5m,203.58,203.62,203.47,203.55,9400.298
1756627200000000,SOLUSDT,5m,203.56,204.08,203.53,204.08,11656.929
1756627500000000,SOLUSDT,5m,204.08,204.31,203.95,203.95,11838.949
1756627800000000,SOLUSDT,5m,203.95,204.05,203.86,204.0,2800.939
1756628100000000,SOLUSDT,5m,204.0,204.42,203.98,204.35,8748.128
1756628400000000,SOLUSDT,5m,204.34,204.84,204.29,204.65,14111.277
1756628700000000,SOLUSDT,5m,204.64,204.69,204.42,204.44,8174.985
1756629000000000,SOLUSDT,5m,204.44,204.6,204.1,204.27,3748.843
1756629300000000,SOLUSDT,5m,204.27,204.6,204.12,204.6,5373.416
1756629600000000,SOLUSDT,5m,204.6,204.99,204.59,204.98,6104.338
1756629900000000,SOLUSDT,5m,204.98,205.13,204.7,205.12,8316.507
1756630200000000,SOLUSDT,5m,205.12,205.55,205.1,205.35,12049.428
1756630500000000,SOLUSDT,5m,205.34,206.0,205.11,205.81,33701.231
1756630800000000,SOLUSDT,5m,205.81,205.85,205.27,205.44,10922.057
1756631100000000,SOLUSDT,5m,205.43,205.59,205.27,205.32,4653.009
1756631400000000,SOLUSDT,5m,205.31,205.39,205.01,205.05,4323.537
1756631700000000,SOLUSDT,5m,205.04,205.22,204.82,204.82,9567.026
1756632000000000,SOLUSDT,5m,204.82,205.51,204.81,205.11,7070.075
1756632300000000,SOLUSDT,5m,205.12,205.12,204.76,204.97,3705.477
1756632600000000,SOLUSDT,5m,204.97,205.19,204.88,205.18,5120.407
1756632900000000,SOLUSDT,5m,205.18,205.42,204.96,205.25,12025.935
1756633200000000,SOLUSDT,5m,205.25,205.26,204.8,204.83,10303.749
1756633500000000,SOLUSDT,5m,204.83,204.83,204.24,204.59,14400.711
1756633800000000,SOLUSDT,5m,204.61,204.74,204.49,204.6,10165.824
1756634100000000,SOLUSDT,5m,204.6,204.61,203.89,204.05,12836.8
1756634400000000,SOLUSDT,5m,204.05,204.52,204.03,204.31,6824.941
1756634700000000,SOLUSDT,5m,204.31,204.34,203.89,203.97,10332.305
1756635000000000,SOLUSDT,5m,203.96,204.26,203.5,203.81,36077.732
1756635300000000,SOLUSDT,5m,203.81,203.94,203.29,203.39,29599.469
1756635600000000,SOLUSDT,5m,203.39,203.64,203.21,203.53,11959.265
1756635900000000,SOLUSDT,5m,203.52,203.87,203.45,203.63,9370.664
1756636200000000,SOLUSDT,5m,203.64,203.82,203.28,203.31,8324.481
1756636500000000,SOLUSDT,5m,203.31,203.37,203.01,203.29,10533.747
1756636800000000,SOLUSDT,5m,203.29,203.29,202.92,203.09,12153.356
1756637100000000,SOLUSDT,5m,203.08,203.38,202.73,203.37,13796.346
1756637400000000,SOLUSDT,5m,203.37,203.56,203.07,203.56,17766.437
1756637700000000,SOLUSDT,5m,203.56,203.84,203.45,203.54,8096.643
