timestamp_ms,symbol,timeframe,open,high,low,close,volume
1771125600000000,SOLUSDT,5m,88.16,88.2,88.0,88.04,4004.353
1771125900000000,SOLUSDT,5m,88.03,88.14,87.92,87.92,8167.569
1771126200000000,SOLUSDT,5m,87.91,88.03,87.67,87.7,13326.419
1771126500000000,SOLUSDT,5m,87.71,87.73,87.31,87.56,33298.091
1771126800000000,SOLUSDT,5m,87.56,87.63,87.44,87.53,32167.525
1771127100000000,SOLUSDT,5m,87.53,88.39,87.53,88.29,32474.282
1771127400000000,SOLUSDT,5m,88.3,88.45,88.24,88.4,8840.686
1771127700000000,SOLUSDT,5m,88.41,88.78,88.41,88.61,32654.196
1771128000000000,SOLUSDT,5m,88.6,88.99,88.59,88.68,59798.115
1771128300000000,SOLUSDT,5m,88.69,89.25,88.6,89.19,48269.786
1771128600000000,SOLUSDT,5m,89.2,89.6,89.07,89.46,55389.007
1771128900000000,SOLUSDT,5m,89.47,89.82,89.06,89.09,46642.838
1771129200000000,SOLUSDT,5m,89.09,89.09,88.55,88.61,25381.313
1771129500000000,SOLUSDT,5m,88.61,88.69,88.37,88.41,53361.796
1771129800000000,SOLUSDT,5m,88.41,88.76,88.35,88.71,16220.094
1771130100000000,SOLUSDT,5m,88.7,88.8,88.57,88.66,7222.056
1771130400000000,SOLUSDT,5m,88.66,88.93,88.63,88.81,32067.215
1771130700000000,SOLUSDT,5m,88.82,89.17,88.76,89.08,9865.691
1771131000000000,SOLUSDT,5m,89.08,89.12,88.64,88.66,8336.794
1771131300000000,SOLUSDT,5m,88.66,88.84,88.6,88.79,9054.856
1771131600000000,SOLUSDT,5m,88.8,89.03,88.75,88.88,8127.383
1771131900000000,SOLUSDT,5m,88.87,89.19,88.84,89.11,6330.399
1771132200000000,SOLUSDT,5m,89.1,89.16,88.96,89.04,9008.248
1771132500000000,SOLUSDT,5m,89.04,89.43,88.97,89.32,12747.54
1771132800000000,SOLUSDT,5m,89.32,89.37,89.11,89.34,7149.391
1771133100000000,SOLUSDT,5m,89.34,89.44,89.27,89.39,8634.011
1771133400000000,SOLUSDT,5m,89.38,89.67,89.26,89.61,18431.447
1771133700000000,SOLUSDT,5m,89.6,89.66,89.42,89.5,20698.767
1771134000000000,SOLUSDT,5m,89.5,89.8,89.46,89.75,16208.097
1771134300000000,SOLUSDT,5m,89.74,90.06,89.62,89.82,23671.501
1771134600000000,SOLUSDT,5m,89.81,90.06,89.75,89.82,9794.521
1771134900000000,SOLUSDT,5m,89.83,89.85,89.66,89.68,6754.621
1771135200000000,SOLUSDT,5m,89.68,89.76,89.5,89.6,9792.754
1771135500000000,SOLUSDT,5m,89.59,89.87,89.57,89.76,10116.325
1771135800000000,SOLUSDT,5m,89.76,89.76,89.45,89.61,5871.351
1771136100000000,SOLUSDT,5m,89.62,89.8,89.52,89.78,5677.728
1771136400000000,SOLUSDT,5m,89.78,89.94,89.7,89.85,4521.725
1771136700000000,SOLUSDT,5m,89.86,90.04,89.71,89.72,10888.363
1771137000000000,SOLUSDT,5m,89.73,89.87,89.67,89.79,6720.652
1771137300000000,SOLUSDT,5m,89.8,90.16,89.8,89.94,11620.766
1771137600000000,SOLUSDT,5m,89.93,89.96,89.79,89.81,8389.997
1771137900000000,SOLUSDT,5m,89.8,89.94,89.36,89.38,7079.461
1771138200000000,SOLUSDT,5m,89.38,89.64,89.34,89.6,5468.876
1771138500000000,SOLUSDT,5m,89.61,89.69,89.55,89.6,6767.807
1771138800000000,SOLUSDT,5m,89.6,89.62,89.4,89.6,6468.323
1771139100000000,SOLUSDT,5m,89.6,89.66,89.52,89.53,2219.651
1771139400000000,SOLUSDT,5m,89.52,89.93,89.51,89.84,5492.576
1771139700000000,SOLUSDT,5m,89.84,90.14,89.84,89.94,16499.432
1771140000000000,SOLUSDT,5m,89.95,90.12,89.85,89.94,9806.079
1771140300000000,SOLUSDT,5m,89.94,89.97,89.79,89.83,8740.807
1771140600000000,SOLUSDT,5m,89.83,90.12,89.7,90.09,8195.971
1771140900000000,SOLUSDT,5m,90.09,90.98,90.09,90.67,70114.324
1771141200000000,SOLUSDT,5m,90.67,90.7,90.37,90.47,14409.666
1771141500000000,SOLUSDT,5m,90.46,90.6,90.42,90.53,12524.069
1771141800000000,SOLUSDT,5m,90.54,90.76,90.53,90.68,18289.386
1771142100000000,SOLUSDT,5m,90.69,90.91,90.56,90.74,21391.472
1771142400000000,SOLUSDT,5m,90.74,91.18,90.66,91.06,49388.92
1771142700000000,SOLUSDT,5m,91.05,91.26,90.91,91.0,53359.307
1771143000000000,SOLUSDT,5m,91.0,91.06,90.55,90.72,17166.879
1771143300000000,SOLUSDT,5m,90.73,90.93,90.7,90.92,6855.194
1771143600000000,SOLUSDT,5m,90.92,90.95,90.68,90.71,26843.821
1771143900000000,SOLUSDT,5m,90.71,90.78,90.0,90.0,65511.95
1771144200000000,SOLUSDT,5m,90.0,90.06,89.22,89.47,34692.82
1771144500000000,SOLUSDT,5m,89.46,89.68,89.25,89.4,14809.083
1771144800000000,SOLUSDT,5m,89.4,89.62,89.4,89.52,7419.097
1771145100000000,SOLUSDT,5m,89.51,89.73,89.25,89.68,96236.067
1771145400000000,SOLUSDT,5m,89.67,89.67,89.44,89.53,7841.04
