timestamp_ms,symbol,timeframe,open,high,low,close,volume
1710000000000,SOLUSDT,5m,124.64,124.85,124.6,124.85,2695.159
1710000300000,SOLUSDT,5m,124.85,125.02,124.85,125.01,9029.579
1710000600000,SOLUSDT,5m,125.0,125.03,124.88,124.88,3643.23
1710000900000,SOLUSDT,5m,124.88,124.96,124.8,124.95,3473.917
1710001200000,SOLUSDT,5m,124.95,125.14,124.94,125.02,6870.316
1710001500000,SOLUSDT,5m,125.02,125.18,125.01,125.16,3229.43
1710001800000,SOLUSDT,5m,125.16,125.21,125.08,125.18,4852.238
1710002100000,SOLUSDT,5m,125.18,125.25,125.09,125.11,3983.274
1710002400000,SOLUSDT,5m,125.1,125.12,125.04,125.07,2291.05
1710002700000,SOLUSDT,5m,125.08,125.24,125.06,125.23,1914.079
1710003000000,SOLUSDT,5m,125.24,125.24,125.12,125.16,5879.515
1710003300000,SOLUSDT,5m,125.15,125.2,125.11,125.15,4028.64
1710003600000,SOLUSDT,5m,125.15,125.33,125.14,125.29,4978.057
1710003900000,SOLUSDT,5m,125.29,125.66,125.26,125.65,13484.097
1710004200000,SOLUSDT,5m,125.65,125.66,125.58,125.66,3653.451
1710004500000,SOLUSDT,5m,125.66,125.8,125.61,125.66,6385.948
1710004800000,SOLUSDT,5m,125.66,125.67,125.41,125.59,14008.336
1710005100000,SOLUSDT,5m,125.59,125.61,125.37,125.42,3908.006
1710005400000,SOLUSDT,5m,125.43,125.57,125.43,125.53,4400.293
1710005700000,SOLUSDT,5m,125.53,125.56,125.1,125.22,10442.037
1710006000000,SOLUSDT,5m,125.22,125.48,125.16,125.44,7867.608
1710006300000,SOLUSDT,5m,125.45,125.5,125.27,125.28,5087.13
1710006600000,SOLUSDT,5m,125.28,125.39,125.28,125.37,4445.803
1710006900000,SOLUSDT,5m,125.37,125.4,124.91,124.99,10659.65
1710007200000,SOLUSDT,5m,124.98,125.07,124.87,125.04,2606.072
1710007500000,SOLUSDT,5m,125.05,125.2,125.04,125.09,6310.366
1710007800000,SOLUSDT,5m,125.09,125.09,125.0,125.04,2364.707
1710008100000,SOLUSDT,5m,125.04,125.09,124.95,124.98,4287.815
1710008400000,SOLUSDT,5m,124.99,125.03,124.92,124.95,2858.689
1710008700000,SOLUSDT,5m,124.95,124.96,124.79,124.87,4387.281
1710009000000,SOLUSDT,5m,124.86,125.05,124.83,124.87,12260.336
1710009300000,SOLUSDT,5m,124.87,125.09,124.81,125.08,6274.942
1710009600000,SOLUSDT,5m,125.09,125.22,125.04,125.06,5293.369
1710009900000,SOLUSDT,5m,125.05,125.08,125.01,125.05,1806.22
1710010200000,SOLUSDT,5m,125.06,125.11,125.05,125.07,2278.646
1710010500000,SOLUSDT,5m,125.08,125.22,125.07,125.18,2305.725
1710010800000,SOLUSDT,5m,125.18,125.27,125.13,125.25,6007.747
1710011100000,SOLUSDT,5m,125.25,125.26,125.14,125.2,2972.058
1710011400000,SOLUSDT,5m,125.2,125.27,125.19,125.26,2095.664
1710011700000,SOLUSDT,5m,125.25,125.34,125.2,125.32,4251.422
1710012000000,SOLUSDT,5m,125.32,125.33,125.19,125.21,1771.061
1710012300000,SOLUSDT,5m,125.2,125.22,125.17,125.22,1848.128
1710012600000,SOLUSDT,5m,125.21,125.29,125.11,125.29,3373.372
1710012900000,SOLUSDT,5m,125.29,125.33,125.27,125.31,2112.401
1710013200000,SOLUSDT,5m,125.31,125.41,125.31,125.41,3546.751
1710013500000,SOLUSDT,5m,125.41,125.41,125.3,125.33,4240.532
1710013800000,SOLUSDT,5m,125.33,125.35,125.21,125.21,11757.39
1710014100000,SOLUSDT,5m,125.21,125.23,125.01,125.21,7704.801
1710014400000,SOLUSDT,5m,125.22,125.22,125.11,125.17,2896.495
1710014700000,SOLUSDT,5m,125.17,125.27,125.05,125.06,2820.974
1710015000000,SOLUSDT,5m,125.06,125.12,124.98,125.02,4104.83
1710015300000,SOLUSDT,5m,125.01,125.05,124.91,124.97,4530.566
1710015600000,SOLUSDT,5m,124.96,125.15,124.95,125.06,5917.698
1710015900000,SOLUSDT,5m,125.06,125.18,125.05,125.12,3776.452
1710016200000,SOLUSDT,5m,125.11,125.15,125.05,125.06,3075.757
1710016500000,SOLUSDT,5m,125.06,125.12,124.98,125.02,3764.77
1710016800000,SOLUSDT,5m,125.03,125.09,124.8,124.82,6448.753
1710017100000,SOLUSDT,5m,124.82,125.01,124.82,124.95,3715.097
1710017400000,SOLUSDT,5m,124.94,124.95,124.9,124.94,2346.646
1710017700000,SOLUSDT,5m,124.94,124.99,124.94,124.96,2923.033
1710018000000,SOLUSDT,5m,124.95,125.04,124.95,125.01,2150.557
1710018300000,SOLUSDT,5m,125.01,125.12,125.0,125.05,2062.28
1710018600000,SOLUSDT,5m,125.05,125.07,125.0,125.01,1721.87
1710018900000,SOLUSDT,5m,125.02,125.07,125.0,125.04,1425.823
1710019200000,SOLUSDT,5m,125.04,125.07,124.96,125.01,4586.91
1710019500000,SOLUSDT,5m,125.0,125.11,124.97,125.09,2573.869
1710019800000,SOLUSDT,5m,125.1,125.25,125.01,125.23,4931.988
1710020100000,SOLUSDT,5m,125.22,125.28,125.13,125.14,3422.212
1710020400000,SOLUSDT,5m,125.13,125.24,125.13,125.23,965.01
1710020700000,SOLUSDT,5m,125.23,125.26,125.19,125.2,3457.329
1710021000000,SOLUSDT,5m,125.21,125.29,125.21,125.25,1630.408
1710021300000,SOLUSDT,5m,125.26,125.32,125.22,125.3,1994.526
1710021600000,SOLUSDT,5m,125.3,125.32,125.18,125.27,2300.27
1710021900000,SOLUSDT,5m,125.28,125.28,125.15,125.15,1457.085
1710022200000,SOLUSDT,5m,125.16,125.23,125.13,125.22,1875.025
1710022500000,SOLUSDT,5m,125.23,125.27,125.15,125.15,2727.722
1710022800000,SOLUSDT,5m,125.16,125.16,125.14,125.15,1061.899
1710023100000,SOLUSDT,5m,125.15,125.15,125.07,125.1,1519.884
1710023400000,SOLUSDT,5m,125.1,125.1,125.03,125.07,1516.283
1710023700000,SOLUSDT,5m,125.06,125.07,125.01,125.03,1736.84
1710024000000,SOLUSDT,5m,125.02,125.06,125.0,125.01,898.204
1710024300000,SOLUSDT,5m,125.0,125.02,124.97,124.99,1522.877
1710024600000,SOLUSDT,5m,124.99,125.01,124.92,124.94,1256.196
