timestamp_ms,symbol,timeframe,open,high,low,close,volume
1727107200000,SOLUSDT,15m,144.2,145.03,143.8,144.15,48598.715
1727108100000,SOLUSDT,15m,144.15,144.46,143.29,143.43,44935.631
1727109000000,SOLUSDT,15m,143.42,143.64,143.02,143.39,34936.38
1727109900000,SOLUSDT,15m,143.39,143.58,143.13,143.17,21094.987
1727110800000,SOLUSDT,15m,143.17,143.46,142.79,143.09,32897.762
1727111700000,SOLUSDT,15m,143.09,143.23,142.76,143.22,23056.979
1727112600000,SOLUSDT,15m,143.22,143.72,143.06,143.06,21855.177
1727113500000,SOLUSDT,15m,143.06,143.7,143.0,143.51,19859.917
1727114400000,SOLUSDT,15m,143.5,143.96,143.4,143.76,20613.779
1727115300000,SOLUSDT,15m,143.75,143.82,143.45,143.61,21206.31
1727116200000,SOLUSDT,15m,143.61,144.24,143.55,144.22,25022.086
1727117100000,SOLUSDT,15m,144.22,144.32,143.92,143.92,23901.777
1727118000000,SOLUSDT,15m,143.91,144.15,143.61,143.98,20488.205
1727118900000,SOLUSDT,15m,143.98,144.2,143.87,144.03,11684.487
1727119800000,SOLUSDT,15m,144.03,144.16,143.63,143.73,17762.257
1727120700000,SOLUSDT,15m,143.73,143.98,143.18,143.31,22137.037
1727121600000,SOLUSDT,15m,143.31,143.63,143.16,143.53,16926.86
1727122500000,SOLUSDT,15m,143.53,143.66,143.06,143.17,15686.734
1727123400000,SOLUSDT,15m,143.17,143.4,143.06,143.4,14417.251
1727124300000,SOLUSDT,15m,143.4,143.71,143.34,143.39,14221.62
1727125200000,SOLUSDT,15m,143.4,143.8,143.32,143.64,19270.703
1727126100000,SOLUSDT,15m,143.64,144.0,142.42,143.41,89719.612
1727127000000,SOLUSDT,15m,143.41,144.13,143.34,143.53,37069.501
1727127900000,SOLUSDT,15m,143.52,144.33,143.43,144.11,21284.577
1727128800000,SOLUSDT,15m,144.12,144.22,143.68,144.18,24196.99
1727129700000,SOLUSDT,15m,144.18,144.34,144.03,144.12,11878.415
1727130600000,SOLUSDT,15m,144.11,144.26,143.92,143.97,11184.88
1727131500000,SOLUSDT,15m,143.97,144.5,143.92,144.4,15517.679
1727132400000,SOLUSDT,15m,144.39,144.8,144.26,144.64,16080.675
1727133300000,SOLUSDT,15m,144.63,144.92,144.02,144.35,20622.777
1727134200000,SOLUSDT,15m,144.34,145.2,144.33,145.0,19687.241
1727135100000,SOLUSDT,15m,144.99,145.2,144.69,144.79,18586.99
1727136000000,SOLUSDT,15m,144.79,144.95,144.45,144.51,30339.259
1727136900000,SOLUSDT,15m,144.52,144.86,144.32,144.8,13493.786
1727137800000,SOLUSDT,15m,144.8,145.2,143.09,144.88,77233.855
1727138700000,SOLUSDT,15m,144.88,144.91,143.69,143.95,42707.265
1727139600000,SOLUSDT,15m,143.96,144.6,143.7,144.45,22934.939
1727140500000,SOLUSDT,15m,144.45,145.2,143.51,143.65,28285.263
1727141400000,SOLUSDT,15m,143.66,144.42,143.16,144.41,42541.878
1727142300000,SOLUSDT,15m,144.4,144.73,144.01,144.37,25649.875
1727143200000,SOLUSDT,15m,144.36,144.48,143.34,143.54,26018.255
1727144100000,SOLUSDT,15m,143.54,145.14,143.44,144.94,43559.63
1727145000000,SOLUSDT,15m,144.94,146.1,144.86,146.06,52743.134
1727145900000,SOLUSDT,15m,146.06,146.76,145.81,146.66,77593.374
1727146800000,SOLUSDT,15m,146.66,146.88,145.95,146.75,46849.609
1727147700000,SOLUSDT,15m,146.75,146.9,146.01,146.05,34668.502
1727148600000,SOLUSDT,15m,146.04,146.34,145.8,146.2,23277.91
1727149500000,SOLUSDT,15m,146.19,146.73,146.16,146.63,23916.431
1727150400000,SOLUSDT,15m,146.64,146.91,146.32,146.59,30283.498
1727151300000,SOLUSDT,15m,146.59,146.59,145.96,146.34,22668.939
1727152200000,SOLUSDT,15m,146.35,146.37,145.88,145.9,24008.318
1727153100000,SOLUSDT,15m,145.9,146.06,145.35,145.53,27349.362
1727154000000,SOLUSDT,15m,145.53,146.53,145.46,146.36,36032.209
1727154900000,SOLUSDT,15m,146.36,146.47,146.04,146.31,17832.331
1727155800000,SOLUSDT,15m,146.32,146.55,145.86,145.92,26354.72
1727156700000,SOLUSDT,15m,145.92,146.5,145.9,146.24,17768.335
1727157600000,SOLUSDT,15m,146.23,146.46,146.08,146.31,12470.843
1727158500000,SOLUSDT,15m,146.31,146.73,146.06,146.08,20713.916
