timestamp_ms,symbol,timeframe,open,high,low,close,volume
1698036000000,SOLUSDT,5m,31.01,31.12,30.96,31.05,39963.08
1698036300000,SOLUSDT,5m,31.04,31.2,31.01,31.16,44884.71
1698036600000,SOLUSDT,5m,31.16,31.26,31.11,31.23,27772.4
1698036900000,SOLUSDT,5m,31.23,31.24,31.07,31.07,33057.1
1698037200000,SOLUSDT,5m,31.07,31.1,30.82,30.84,82365.34
1698037500000,SOLUSDT,5m,30.84,31.08,30.81,31.07,32663.96
1698037800000,SOLUSDT,5m,31.08,31.21,31.01,31.19,26417.94
1698038100000,SOLUSDT,5m,31.19,31.36,31.15,31.29,45090.5
1698038400000,SOLUSDT,5m,31.28,31.31,31.0,31.08,55442.44
1698038700000,SOLUSDT,5m,31.07,31.21,31.04,31.14,25828.81
1698039000000,SOLUSDT,5m,31.13,31.27,31.0,31.23,51631.95
1698039300000,SOLUSDT,5m,31.22,31.29,31.0,31.03,40112.34
1698039600000,SOLUSDT,5m,31.02,31.14,30.88,30.9,64619.63
1698039900000,SOLUSDT,5m,30.9,31.01,30.87,30.92,28143.72
1698040200000,SOLUSDT,5m,30.91,30.99,30.8,30.85,27393.65
1698040500000,SOLUSDT,5m,30.85,30.87,30.77,30.79,21018.1
1698040800000,SOLUSDT,5m,30.79,30.95,30.77,30.93,26755.2
1698041100000,SOLUSDT,5m,30.93,31.17,30.93,31.12,54019.81
1698041400000,SOLUSDT,5m,31.12,31.15,30.93,30.96,33148.3
1698041700000,SOLUSDT,5m,30.97,31.04,30.77,30.78,31438.46
1698042000000,SOLUSDT,5m,30.78,30.84,30.66,30.76,58604.86
1698042300000,SOLUSDT,5m,30.76,30.82,30.64,30.78,55959.18
1698042600000,SOLUSDT,5m,30.78,30.83,30.68,30.71,26652.13
1698042900000,SOLUSDT,5m,30.71,30.78,30.68,30.69,13008.96
1698043200000,SOLUSDT,5m,30.68,30.79,30.68,30.79,12141.14
1698043500000,SOLUSDT,5m,30.8,30.84,30.79,30.8,38357.07
1698043800000,SOLUSDT,5m,30.8,30.82,30.54,30.6,47951.17
1698044100000,SOLUSDT,5m,30.6,30.66,30.54,30.55,20779.46
1698044400000,SOLUSDT,5m,30.55,30.61,30.38,30.43,102891.63
1698044700000,SOLUSDT,5m,30.43,30.46,30.19,30.23,59195.77
1698045000000,SOLUSDT,5m,30.23,30.34,30.12,30.29,60465.17
1698045300000,SOLUSDT,5m,30.3,30.47,30.28,30.4,43342.92
1698045600000,SOLUSDT,5m,30.41,30.46,30.38,30.44,24015.39
1698045900000,SOLUSDT,5m,30.44,30.44,30.33,30.35,15663.74
1698046200000,SOLUSDT,5m,30.36,30.49,30.33,30.49,14824.78
1698046500000,SOLUSDT,5m,30.49,30.55,30.47,30.47,39928.13
1698046800000,SOLUSDT,5m,30.46,30.49,30.39,30.44,26513.21
1698047100000,SOLUSDT,5m,30.44,30.5,30.4,30.42,15765.97
1698047400000,SOLUSDT,5m,30.41,30.42,29.88,29.95,83244.59
1698047700000,SOLUSDT,5m,29.96,30.12,29.9,30.1,70897.68
1698048000000,SOLUSDT,5m,30.1,30.17,29.99,30.07,36366.43
1698048300000,SOLUSDT,5m,30.08,30.14,29.99,30.04,35743.75
1698048600000,SOLUSDT,5m,30.03,30.1,30.0,30.03,22377.58
1698048900000,SOLUSDT,5m,30.03,30.04,29.88,29.9,28155.62
1698049200000,SOLUSDT,5m,29.9,29.93,29.82,29.9,43831.49
1698049500000,SOLUSDT,5m,29.91,30.08,29.89,30.06,37697.64
1698049800000,SOLUSDT,5m,30.07,30.1,29.96,30.0,19491.39
1698050100000,SOLUSDT,5m,30.0,30.07,29.97,30.06,16411.66
1698050400000,SOLUSDT,5m,30.07,30.11,30.01,30.11,26756.1
1698050700000,SOLUSDT,5m,30.1,30.2,30.07,30.18,52199.06
1698051000000,SOLUSDT,5m,30.18,30.31,30.18,30.31,47732.57
1698051300000,SOLUSDT,5m,30.3,30.35,30.27,30.29,52167.21
1698051600000,SOLUSDT,5m,30.29,30.3,30.12,30.14,31332.18
1698051900000,SOLUSDT,5m,30.14,30.18,30.12,30.18,17822.05
1698052200000,SOLUSDT,5m,30.18,30.21,30.09,30.16,32395.84
1698052500000,SOLUSDT,5m,30.16,30.18,30.04,30.05,21417.29
1698052800000,SOLUSDT,5m,30.05,30.05,29.88,29.98,46523.74
1698053100000,SOLUSDT,5m,29.97,30.02,29.77,29.8,46350.34
1698053400000,SOLUSDT,5m,29.79,29.79,29.43,29.49,156873.75
1698053700000,SOLUSDT,5m,29.49,29.56,29.31,29.54,82852.8
1698054000000,SOLUSDT,5m,29.54,29.58,29.37,29.47,42545.93
1698054300000,SOLUSDT,5m,29.46,29.58,29.35,29.57,59884.44
1698054600000,SOLUSDT,5m,29.56,29.59,29.48,29.56,32931.86
1698054900000,SOLUSDT,5m,29.56,29.64,29.52,29.57,23494.55
1698055200000,SOLUSDT,5m,29.57,29.63,29.54,29.63,27419.08
1698055500000,SOLUSDT,5m,29.63,29.73,29.61,29.71,17090.73
1698055800000,SOLUSDT,5m,29.71,29.73,29.67,29.68,12393.96
1698056100000,SOLUSDT,5m,29.68,29.74,29.67,29.73,18979.52
1698056400000,SOLUSDT,5m,29.73,29.79,29.72,29.78,27600.95
1698056700000,SOLUSDT,5m,29.78,29.79,29.74,29.77,27549.84
1698057000000,SOLUSDT,5m,29.77,29.79,29.67,29.69,23349.72
1698057300000,SOLUSDT,5m,29.68,29.7,29.6,29.69,26275.72
1698057600000,SOLUSDT,5m,29.69,29.72,29.63,29.67,14010.6
1698057900000,SOLUSDT,5m,29.68,29.75,29.66,29.72,23921.53
1698058200000,SOLUSDT,5m,29.71,29.71,29.58,29.61,16195.95
1698058500000,SOLUSDT,5m,29.6,29.64,29.5,29.52,20361.18
1698058800000,SOLUSDT,5m,29.51,29.66,29.49,29.65,16781.88
1698059100000,SOLUSDT,5m,29.65,29.69,29.59,29.59,13880.55
1698059400000,SOLUSDT,5m,29.6,29.67,29.54,29.55,15101.95
1698059700000,SOLUSDT,5m,29.55,29.66,29.53,29.65,10301.94
1698060000000,SOLUSDT,5m,29.66,29.76,29.57,29.58,48810.31
