timestamp_ms,symbol,timeframe,open,high,low,close,volume
1704067200000,XRPUSDT,5m,0.6155,0.617,0.615,0.6168,1232039.0
1704067500000,XRPUSDT,5m,0.6167,0.6172,0.6163,0.6167,1266770.0
1704067800000,XRPUSDT,5m,0.6167,0.6171,0.6163,0.6165,534144.0
1704068100000,XRPUSDT,5m,0.6164,0.6169,0.6158,0.6161,1695824.0
1704068400000,XRPUSDT,5m,0.6161,0.6166,0.6154,0.6157,2842362.0
1704068700000,XRPUSDT,5m,0.6158,0.6164,0.6154,0.6161,1337105.0
1704069000000,XRPUSDT,5m,0.6161,0.6165,0.6146,0.6149,1673863.0
1704069300000,XRPUSDT,5m,0.6149,0.6161,0.6148,0.6159,738761.0
1704069600000,XRPUSDT,5m,0.6159,0.6161,0.6153,0.6154,831377.0
1704069900000,XRPUSDT,5m,0.6153,0.6157,0.6152,0.6154,749043.0
1704070200000,XRPUSDT,5m,0.6154,0.616,0.6152,0.616,595465.0
1704070500000,XRPUSDT,5m,0.6159,0.6166,0.6155,0.6162,1001975.0
1704070800000,XRPUSDT,5m,0.6161,0.6162,0.615,0.6151,560665.0
1704071100000,XRPUSDT,5m,0.615,0.6159,0.615,0.6155,616530.0
1704071400000,XRPUSDT,5m,0.6156,0.6176,0.6155,0.6167,1428924.0
1704071700000,XRPUSDT,5m,0.6168,0.6171,0.6166,0.6167,411691.0
1704072000000,XRPUSDT,5m,0.6168,0.6172,0.6166,0.6169,381088.0
1704072300000,XRPUSDT,5m,0.6169,0.6176,0.6169,0.6173,673482.0
1704072600000,XRPUSDT,5m,0.6173,0.6176,0.6171,0.6173,759748.0
1704072900000,XRPUSDT,5m,0.6172,0.618,0.6164,0.618,2213550.0
1704073200000,XRPUSDT,5m,0.618,0.6186,0.6179,0.6184,852871.0
1704073500000,XRPUSDT,5m,0.6185,0.619,0.6184,0.6188,472070.0
1704073800000,XRPUSDT,5m,0.6189,0.6189,0.6184,0.6186,322499.0
1704074100000,XRPUSDT,5m,0.6186,0.6188,0.6184,0.6185,336031.0
1704074400000,XRPUSDT,5m,0.6184,0.6186,0.6177,0.6178,541481.0
1704074700000,XRPUSDT,5m,0.6177,0.6181,0.6172,0.6172,712919.0
1704075000000,XRPUSDT,5m,0.6173,0.6175,0.6169,0.6173,664881.0
1704075300000,XRPUSDT,5m,0.6172,0.6172,0.6169,0.617,438613.0
1704075600000,XRPUSDT,5m,0.617,0.6175,0.6169,0.617,345271.0
1704075900000,XRPUSDT,5m,0.617,0.617,0.6168,0.6169,254204.0
1704076200000,XRPUSDT,5m,0.6168,0.6168,0.6161,0.6163,457882.0
1704076500000,XRPUSDT,5m,0.6163,0.6168,0.616,0.6161,714170.0
1704076800000,XRPUSDT,5m,0.6161,0.6162,0.6156,0.6161,611622.0
1704077100000,XRPUSDT,5m,0.6161,0.6162,0.6153,0.6154,513721.0
1704077400000,XRPUSDT,5m,0.6153,0.6162,0.6149,0.6159,661721.0
1704077700000,XRPUSDT,5m,0.6159,0.6159,0.6153,0.6154,637267.0
1704078000000,XRPUSDT,5m,0.6154,0.6157,0.615,0.6154,475551.0
1704078300000,XRPUSDT,5m,0.6153,0.6153,0.6146,0.6146,568109.0
1704078600000,XRPUSDT,5m,0.6146,0.6152,0.6142,0.6146,793529.0
1704078900000,XRPUSDT,5m,0.6145,0.6146,0.613,0.6137,1065436.0
1704079200000,XRPUSDT,5m,0.6138,0.614,0.6131,0.6135,699517.0
1704079500000,XRPUSDT,5m,0.6135,0.6138,0.613,0.6133,474441.0
1704079800000,XRPUSDT,5m,0.6133,0.6137,0.6128,0.6132,479800.0
1704080100000,XRPUSDT,5m,0.6132,0.614,0.6132,0.6133,293761.0
1704080400000,XRPUSDT,5m,0.6133,0.6133,0.6112,0.6123,1133120.0
1704080700000,XRPUSDT,5m,0.6123,0.6131,0.6115,0.6129,754437.0
1704081000000,XRPUSDT,5m,0.6129,0.6129,0.612,0.6125,694062.0
1704081300000,XRPUSDT,5m,0.6125,0.6133,0.6124,0.613,569847.0
1704081600000,XRPUSDT,5m,0.6129,0.6131,0.6123,0.613,392036.0
1704081900000,XRPUSDT,5m,0.6131,0.6134,0.613,0.6132,490129.0
1704082200000,XRPUSDT,5m,0.6131,0.6132,0.6114,0.6118,1820988.0
1704082500000,XRPUSDT,5m,0.6118,0.6121,0.6106,0.6108,1614767.0
1704082800000,XRPUSDT,5m,0.6108,0.6116,0.6093,0.6114,1366326.0
1704083100000,XRPUSDT,5m,0.6114,0.6117,0.6107,0.6116,981379.0
1704083400000,XRPUSDT,5m,0.6116,0.6117,0.6112,0.6114,795292.0
1704083700000,XRPUSDT,5m,0.6114,0.6117,0.611,0.6111,679104.0
1704084000000,XRPUSDT,5m,0.6112,0.6114,0.6101,0.6105,1021277.0
1704084300000,XRPUSDT,5m,0.6105,0.6115,0.6102,0.6113,573343.0
1704084600000,XRPUSDT,5m,0.6113,0.6119,0.6112,0.6113,502223.0
1704084900000,XRPUSDT,5m,0.6114,0.6117,0.6111,0.6116,277756.0
1704085200000,XRPUSDT,5m,0.6116,0.6118,0.6107,0.6108,577616.0
1704085500000,XRPUSDT,5m,0.6108,0.6117,0.6108,0.6117,390193.0
1704085800000,XRPUSDT,5m,0.6117,0.6123,0.6116,0.6123,837936.0
1704086100000,XRPUSDT,5m,0.6122,0.6124,0.612,0.6121,264609.0
1704086400000,XRPUSDT,5m,0.612,0.6123,0.6118,0.6122,462753.0
1704086700000,XRPUSDT,5m,0.6122,0.6122,0.611,0.6112,451870.0
1704087000000,XRPUSDT,5m,0.6111,0.6115,0.611,0.6113,615407.0
1704087300000,XRPUSDT,5m,0.6113,0.6114,0.6107,0.6112,479692.0
1704087600000,XRPUSDT,5m,0.6111,0.6114,0.6108,0.6111,434686.0
1704087900000,XRPUSDT,5m,0.611,0.611,0.61,0.61,838870.0
1704088200000,XRPUSDT,5m,0.61,0.6104,0.6093,0.6097,725052.0
1704088500000,XRPUSDT,5m,0.6097,0.6098,0.6083,0.6087,1543639.0
1704088800000,XRPUSDT,5m,0.6087,0.61,0.6084,0.6094,1943282.0
1704089100000,XRPUSDT,5m,0.6094,0.6105,0.6093,0.6105,311908.0
1704089400000,XRPUSDT,5m,0.6104,0.6107,0.6102,0.6102,470302.0
1704089700000,XRPUSDT,5m,0.6102,0.6113,0.6101,0.611,408094.0
1704090000000,XRPUSDT,5m,0.611,0.6113,0.6106,0.611,587268.0
1704090300000,XRPUSDT,5m,0.611,0.6115,0.611,0.6113,114461.0
1704090600000,XRPUSDT,5m,0.6113,0.6114,0.611,0.6112,448973.0
1704090900000,XRPUSDT,5m,0.6113,0.6119,0.6112,0.6118,254991.0
1704091200000,XRPUSDT,5m,0.6118,0.6126,0.6118,0.6122,244812.0
1704091500000,XRPUSDT,5m,0.6122,0.6125,0.6122,0.6122,184640.0
1704091800000,XRPUSDT,5m,0.6122,0.6129,0.6122,0.6129,157226.0
1704092100000,XRPUSDT,5m,0.6129,0.6129,0.6125,0.6127,389791.0
1704092400000,XRPUSDT,5m,0.6127,0.6136,0.6127,0.6132,349493.0
1704092700000,XRPUSDT,5m,0.6131,0.614,0.613,0.6139,328065.0
1704093000000,XRPUSDT,5m,0.6139,0.6142,0.6139,0.6142,182774.0
1704093300000,XRPUSDT,5m,0.6141,0.6142,0.6138,0.6138,661762.0
1704093600000,XRPUSDT,5m,0.6137,0.6138,0.6132,0.6134,260223.0
1704093900000,XRPUSDT,5m,0.6134,0.6142,0.6133,0.6141,290510.0
1704094200000,XRPUSDT,5m,0.6141,0.6143,0.6138,0.6142,362466.0
1704094500000,XRPUSDT,5m,0.6142,0.6146,0.6142,0.6145,265299.0
1704094800000,XRPUSDT,5m,0.6144,0.6146,0.6143,0.6145,215341.0
1704095100000,XRPUSDT,5m,0.6144,0.6148,0.6143,0.6147,189015.0
1704095400000,XRPUSDT,5m,0.6147,0.6149,0.6147,0.6147,139029.0
1704095700000,XRPUSDT,5m,0.6148,0.6153,0.6148,0.615,363709.0
1704096000000,XRPUSDT,5m,0.615,0.6158,0.615,0.615,688985.0
1704096300000,XRPUSDT,5m,0.615,0.6156,0.615,0.6156,338856.0
1704096600000,XRPUSDT,5m,0.6156,0.616,0.6155,0.6157,380762.0
1704096900000,XRPUSDT,5m,0.6157,0.6157,0.6152,0.6153,175454.0
1704097200000,XRPUSDT,5m,0.6153,0.6156,0.6152,0.6152,403180.0
1704097500000,XRPUSDT,5m,0.6152,0.6153,0.6145,0.6145,725665.0
1704097800000,XRPUSDT,5m,0.6145,0.615,0.6143,0.6144,326782.0
1704098100000,XRPUSDT,5m,0.6144,0.6148,0.6143,0.6146,305995.0
1704098400000,XRPUSDT,5m,0.6145,0.6152,0.6145,0.6152,185999.0
1704098700000,XRPUSDT,5m,0.6151,0.6163,0.6151,0.6159,504367.0
1704099000000,XRPUSDT,5m,0.6158,0.6161,0.6158,0.6161,197040.0
1704099300000,XRPUSDT,5m,0.6161,0.6161,0.6157,0.6161,203795.0
1704099600000,XRPUSDT,5m,0.6161,0.6162,0.6159,0.6162,462498.0
1704099900000,XRPUSDT,5m,0.6162,0.6162,0.6152,0.6155,700679.0
1704100200000,XRPUSDT,5m,0.6155,0.616,0.6155,0.616,373192.0
1704100500000,XRPUSDT,5m,0.6159,0.6162,0.6159,0.6161,150629.0
1704100800000,XRPUSDT,5m,0.6162,0.6164,0.6161,0.6164,206119.0
1704101100000,XRPUSDT,5m,0.6164,0.6165,0.6161,0.6163,275066.0
1704101400000,XRPUSDT,5m,0.6163,0.617,0.6163,0.6169,431699.0
1704101700000,XRPUSDT,5m,0.6169,0.6177,0.6169,0.6176,471933.0
