"timestamp_ms","symbol","timeframe","open","high","low","close","volume"
"1735689600000000","DOGEUSDT","5m","0.316","0.317","0.3156","0.3168","1328951.0"
"1735689900000000","DOGEUSDT","5m","0.3168","0.31755","0.31677","0.31703","1541989.0"
"1735690200000000","DOGEUSDT","5m","0.31702","0.31776","0.31689","0.31775","2366989.0"
"1735690500000000","DOGEUSDT","5m","0.31775","0.31881","0.31764","0.31811","2427607.0"
"1735690800000000","DOGEUSDT","5m","0.31811","0.31882","0.31788","0.31803","2885641.0"
"1735691100000000","DOGEUSDT","5m","0.31803","0.31862","0.318","0.31856","758688.0"
"1735691400000000","DOGEUSDT","5m","0.31855","0.31968","0.3185","0.31906","5932130.0"
"1735691700000000","DOGEUSDT","5m","0.31905","0.31919","0.31877","0.31919","1584954.0"
"1735692000000000","DOGEUSDT","5m","0.31918","0.31924","0.31861","0.31886","4370981.0"
"1735692300000000","DOGEUSDT","5m","0.31886","0.31954","0.31865","0.31939","742710.0"
"1735692600000000","DOGEUSDT","5m","0.3194","0.32057","0.3193","0.32035","5723146.0"
"1735692900000000","DOGEUSDT","5m","0.32034","0.3215","0.31999","0.3212","4208251.0"
"1735693200000000","DOGEUSDT","5m","0.3212","0.32124","0.31971","0.31984","3888113.0"
"1735693500000000","DOGEUSDT","5m","0.31984","0.31985","0.31919","0.31974","2482271.0"
"1735693800000000","DOGEUSDT","5m","0.31974","0.32035","0.3196","0.31986","5052452.0"
"1735694100000000","DOGEUSDT","5m","0.31985","0.31985","0.3188","0.31905","1788842.0"
"1735694400000000","DOGEUSDT","5m","0.31906","0.31939","0.31874","0.31912","8601739.0"
"1735694700000000","DOGEUSDT","5m","0.31911","0.31944","0.31871","0.31876","982386.0"
"1735695000000000","DOGEUSDT","5m","0.31876","0.3198","0.31871","0.31972","1720553.0"
"1735695300000000","DOGEUSDT","5m","0.31971","0.32029","0.31971","0.31992","1609706.0"
"1735695600000000","DOGEUSDT","5m","0.31991","0.32038","0.31984","0.31994","1210832.0"
"1735695900000000","DOGEUSDT","5m","0.31995","0.32024","0.31908","0.31946","5723910.0"
"1735696200000000","DOGEUSDT","5m","0.31946","0.31946","0.31832","0.31845","2837969.0"
"1735696500000000","DOGEUSDT","5m","0.31846","0.31871","0.31809","0.31841","2011438.0"
"1735696800000000","DOGEUSDT","5m","0.31842","0.31935","0.31835","0.31919","986178.0"
"1735697100000000","DOGEUSDT","5m","0.31919","0.31928","0.31869","0.31883","1423508.0"
"1735697400000000","DOGEUSDT","5m","0.31882","0.31939","0.31876","0.3192","1110227.0"
"1735697700000000","DOGEUSDT","5m","0.31919","0.31919","0.31848","0.31875","1359740.0"
"1735698000000000","DOGEUSDT","5m","0.31875","0.31889","0.31819","0.31847","1108556.0"
"1735698300000000","DOGEUSDT","5m","0.31847","0.31847","0.31816","0.31842","715434.0"
"1735698600000000","DOGEUSDT","5m","0.31841","0.31887","0.31826","0.3185","798879.0"
"1735698900000000","DOGEUSDT","5m","0.31849","0.31944","0.31849","0.31923","6401068.0"
"1735699200000000","DOGEUSDT","5m","0.31923","0.3195","0.31909","0.31928","870804.0"
"1735699500000000","DOGEUSDT","5m","0.31929","0.31966","0.31905","0.31938","1317665.0"
"1735699800000000","DOGEUSDT","5m","0.31936","0.32005","0.31924","0.31957","1722113.0"
"1735700100000000","DOGEUSDT","5m","0.31956","0.32005","0.31956","0.32005","2934466.0"
"1735700400000000","DOGEUSDT","5m","0.32005","0.32015","0.3192","0.31954","845518.0"
"1735700700000000","DOGEUSDT","5m","0.31955","0.31977","0.31929","0.31934","1560632.0"
"1735701000000000","DOGEUSDT","5m","0.31935","0.31954","0.31928","0.31953","530957.0"
"1735701300000000","DOGEUSDT","5m","0.31952","0.31952","0.31873","0.31898","1224190.0"
"1735701600000000","DOGEUSDT","5m","0.31897","0.3192","0.31857","0.31905","1262732.0"
"1735701900000000","DOGEUSDT","5m","0.31905","0.31916","0.31899","0.31906","420553.0"
"1735702200000000","DOGEUSDT","5m","0.31905","0.31934","0.31905","0.31922","346503.0"
"1735702500000000","DOGEUSDT","5m","0.31922","0.31929","0.3188","0.31919","2806006.0"
"1735702800000000","DOGEUSDT","5m","0.31919","0.31946","0.31892","0.31928","575733.0"
"1735703100000000","DOGEUSDT","5m","0.31927","0.31946","0.31874","0.31906","875681.0"
"1735703400000000","DOGEUSDT","5m","0.31907","0.31932","0.31907","0.31913","234646.0"
"1735703700000000","DOGEUSDT","5m","0.31912","0.31912","0.31879","0.31893","574716.0"
"1735704000000000","DOGEUSDT","5m","0.31892","0.31918","0.31844","0.31903","801571.0"
"1735704300000000","DOGEUSDT","5m","0.31903","0.31904","0.31862","0.31864","484724.0"
"1735704600000000","DOGEUSDT","5m","0.31864","0.31876","0.31829","0.31847","1143357.0"
"1735704900000000","DOGEUSDT","5m","0.31848","0.31851","0.31735","0.31805","4205321.0"
"1735705200000000","DOGEUSDT","5m","0.31804","0.31844","0.31784","0.31817","594427.0"
"1735705500000000","DOGEUSDT","5m","0.31818","0.31825","0.31759","0.31768","562204.0"
"1735705800000000","DOGEUSDT","5m","0.31768","0.31791","0.31689","0.31693","1749584.0"
"1735706100000000","DOGEUSDT","5m","0.31693","0.31721","0.31677","0.31691","1260086.0"
"1735706400000000","DOGEUSDT","5m","0.31691","0.31703","0.31626","0.31678","3682674.0"
"1735706700000000","DOGEUSDT","5m","0.31679","0.31726","0.31634","0.31674","1144358.0"
"1735707000000000","DOGEUSDT","5m","0.31675","0.31707","0.31653","0.31668","996355.0"
