"timestamp_ms","symbol","timeframe","open","high","low","close","volume"
"1740189600000000","SOLUSDT","5m","171.88","171.99","171.61","171.66","6084.41"
"1740189900000000","SOLUSDT","5m","171.66","171.66","171.1","171.17","9415.182"
"1740190200000000","SOLUSDT","5m","171.16","171.24","171.08","171.14","5083.818"
"1740190500000000","SOLUSDT","5m","171.13","171.3","170.98","171.25","6039.068"
"1740190800000000","SOLUSDT","5m","171.24","171.24","170.7","170.75","3745.72"
"1740191100000000","SOLUSDT","5m","170.75","170.82","170.48","170.49","9601.95"
"1740191400000000","SOLUSDT","5m","170.49","171.19","170.31","171.18","14389.805"
"1740191700000000","SOLUSDT","5m","171.17","171.3","171.0","171.14","6636.327"
"1740192000000000","SOLUSDT","5m","171.15","171.47","171.14","171.31","4827.79"
"1740192300000000","SOLUSDT","5m","171.31","171.31","170.86","170.99","2917.769"
"1740192600000000","SOLUSDT","5m","170.99","171.12","170.8","170.89","2201.876"
"1740192900000000","SOLUSDT","5m","170.89","171.0","170.7","171.0","2701.173"
"1740193200000000","SOLUSDT","5m","170.99","171.05","170.5","170.58","4265.952"
"1740193500000000","SOLUSDT","5m","170.59","170.71","170.45","170.66","2548.929"
"1740193800000000","SOLUSDT","5m","170.67","170.91","170.62","170.84","3565.43"
"1740194100000000","SOLUSDT","5m","170.84","171.4","170.76","171.26","7935.265"
"1740194400000000","SOLUSDT","5m","171.26","171.43","171.18","171.2","2047.871"
"1740194700000000","SOLUSDT","5m","171.2","171.35","171.16","171.17","4573.0"
"1740195000000000","SOLUSDT","5m","171.17","171.17","170.76","170.77","5445.706"
"1740195300000000","SOLUSDT","5m","170.76","170.95","170.45","170.61","5010.104"
"1740195600000000","SOLUSDT","5m","170.61","170.62","170.01","170.13","5137.768"
"1740195900000000","SOLUSDT","5m","170.14","170.2","169.76","170.04","10470.162"
"1740196200000000","SOLUSDT","5m","170.04","170.55","169.99","170.54","6446.109"
"1740196500000000","SOLUSDT","5m","170.55","170.55","170.31","170.35","3507.622"
"1740196800000000","SOLUSDT","5m","170.35","170.57","170.09","170.51","5427.02"
"1740197100000000","SOLUSDT","5m","170.51","170.63","170.34","170.6","6649.825"
"1740197400000000","SOLUSDT","5m","170.61","170.64","170.37","170.58","5418.075"
"1740197700000000","SOLUSDT","5m","170.58","170.61","170.22","170.27","5660.033"
"1740198000000000","SOLUSDT","5m","170.28","170.83","170.22","170.71","4468.452"
"1740198300000000","SOLUSDT","5m","170.71","171.25","170.71","170.85","9341.415"
"1740198600000000","SOLUSDT","5m","170.85","171.01","170.61","170.94","2983.178"
"1740198900000000","SOLUSDT","5m","170.94","171.34","170.86","171.19","10693.443"
"1740199200000000","SOLUSDT","5m","171.2","171.3","170.97","171.21","4918.329"
"1740199500000000","SOLUSDT","5m","171.22","171.35","171.02","171.23","3858.339"
