timestamp_ms,symbol,timeframe,open,high,low,close,volume
1704967200000,XRPUSDT,5m,0.599,0.6006,0.5987,0.6002,744773.0
1704967500000,XRPUSDT,5m,0.6003,0.6012,0.5998,0.5998,583801.0
1704967800000,XRPUSDT,5m,0.5999,0.6009,0.5997,0.6008,847579.0
1704968100000,XRPUSDT,5m,0.6008,0.6023,0.6006,0.6019,2357047.0
1704968400000,XRPUSDT,5m,0.6019,0.603,0.6018,0.6026,995749.0
1704968700000,XRPUSDT,5m,0.6025,0.6042,0.6023,0.604,1558658.0
1704969000000,XRPUSDT,5m,0.604,0.604,0.6013,0.6016,1431891.0
1704969300000,XRPUSDT,5m,0.6016,0.6038,0.6016,0.6036,555637.0
1704969600000,XRPUSDT,5m,0.6036,0.6047,0.6035,0.6046,718555.0
1704969900000,XRPUSDT,5m,0.6046,0.6049,0.6031,0.6047,1165345.0
1704970200000,XRPUSDT,5m,0.6047,0.6099,0.6044,0.6098,2898912.0
1704970500000,XRPUSDT,5m,0.6098,0.6098,0.6075,0.6084,1838774.0
1704970800000,XRPUSDT,5m,0.6085,0.6085,0.6051,0.6057,1580003.0
1704971100000,XRPUSDT,5m,0.6056,0.6064,0.6049,0.606,1244066.0
1704971400000,XRPUSDT,5m,0.6059,0.6076,0.6059,0.6076,1203354.0
1704971700000,XRPUSDT,5m,0.6076,0.6076,0.6043,0.6054,1474936.0
1704972000000,XRPUSDT,5m,0.6054,0.6098,0.6053,0.6088,1899978.0
1704972300000,XRPUSDT,5m,0.6088,0.6096,0.6075,0.6096,1795734.0
1704972600000,XRPUSDT,5m,0.6096,0.6098,0.607,0.6071,2111779.0
1704972900000,XRPUSDT,5m,0.6072,0.6077,0.6063,0.6069,1940738.0
1704973200000,XRPUSDT,5m,0.6069,0.6098,0.6069,0.6096,2302436.0
1704973500000,XRPUSDT,5m,0.6095,0.615,0.6093,0.6116,9203547.0
1704973800000,XRPUSDT,5m,0.6115,0.6132,0.6112,0.613,2265025.0
1704974100000,XRPUSDT,5m,0.613,0.6131,0.6114,0.6117,3411686.0
1704974400000,XRPUSDT,5m,0.6117,0.6138,0.6107,0.6134,3870091.0
1704974700000,XRPUSDT,5m,0.6134,0.6148,0.6129,0.6136,2965779.0
1704975000000,XRPUSDT,5m,0.6137,0.6137,0.6111,0.6112,1487006.0
1704975300000,XRPUSDT,5m,0.6112,0.6127,0.6101,0.6107,2276832.0
1704975600000,XRPUSDT,5m,0.6108,0.6169,0.6106,0.6149,4905425.0
1704975900000,XRPUSDT,5m,0.615,0.6152,0.6134,0.6146,2898419.0
1704976200000,XRPUSDT,5m,0.6146,0.6156,0.6135,0.6149,3223679.0
1704976500000,XRPUSDT,5m,0.6148,0.6179,0.6144,0.6171,4129352.0
