timestamp_ms,symbol,timeframe,open,high,low,close,volume
1704067200000,SYN_RHYTHM_REGULAR_LOW,5m,100.0,100.254,99.8032,100.0572,233112.0
1704067500000,SYN_RHYTHM_REGULAR_LOW,5m,100.0572,100.27315912,99.84033626,100.01820229,234719.8658
1704067800000,SYN_RHYTHM_REGULAR_LOW,5m,100.01820229,100.31760516,99.85762966,100.08450614,236021.3718
1704068100000,SYN_RHYTHM_REGULAR_LOW,5m,100.08450614,100.3315358,99.90502648,100.05192943,236776.2543
1704068400000,SYN_RHYTHM_REGULAR_LOW,5m,100.05192943,100.37676993,99.9140748,100.12082017,236841.5942
1704068700000,SYN_RHYTHM_REGULAR_LOW,5m,100.12082017,100.38031982,99.95184611,100.086422,236197.8704
1704069000000,SYN_RHYTHM_REGULAR_LOW,5m,100.086422,100.40625853,99.94931222,100.14942815,234952.559
1704069300000,SYN_RHYTHM_REGULAR_LOW,5m,100.14942815,100.39812821,99.96052723,100.10601533,233320.6232
1704069600000,SYN_RHYTHM_REGULAR_LOW,5m,100.10601533,100.39388666,99.94738428,100.15850042,231585.4447
1704069900000,SYN_RHYTHM_REGULAR_LOW,5m,100.15850042,100.37713657,99.92925063,100.10483835,231952.6895
1704070200000,SYN_RHYTHM_REGULAR_LOW,5m,100.10483835,100.34874102,99.91042938,100.14913735,233031.1672
1704070500000,SYN_RHYTHM_REGULAR_LOW,5m,100.14913735,100.32965793,99.87705656,100.09072298,233472.7613
1704070800000,SYN_RHYTHM_REGULAR_LOW,5m,100.09072298,100.29726609,99.85959997,100.13443202,233217.784
1704071100000,SYN_RHYTHM_REGULAR_LOW,5m,100.13443202,100.28300482,99.83403072,100.07958704,232334.8309
1704071400000,SYN_RHYTHM_REGULAR_LOW,5m,100.07958704,100.26898901,99.82446101,100.13020179,231008.1609
1704071700000,SYN_RHYTHM_REGULAR_LOW,5m,100.13020179,100.26489835,99.82480105,100.08421697,232495.991
1704072000000,SYN_RHYTHM_REGULAR_LOW,5m,100.08421697,100.28027896,99.82670344,100.14386101,233878.0329
1704072300000,SYN_RHYTHM_REGULAR_LOW,5m,100.14386101,100.2879202,99.85516013,100.10526718,234859.7149
1704072600000,SYN_RHYTHM_REGULAR_LOW,5m,100.10526718,100.32578227,99.86786653,100.16916858,235234.9473
1704072900000,SYN_RHYTHM_REGULAR_LOW,5m,100.16916858,100.34235359,99.90963369,100.13071453,234907.4852
1704073200000,SYN_RHYTHM_REGULAR_LOW,5m,100.13071453,100.38234768,99.92846573,100.19048198,233908.6171
1704073500000,SYN_RHYTHM_REGULAR_LOW,5m,100.19048198,100.40171578,99.96102681,100.14414275,232391.6363
1704073800000,SYN_RHYTHM_REGULAR_LOW,5m,100.14414275,100.42261783,99.97901652,100.19357671,231395.8999
1704074100000,SYN_RHYTHM_REGULAR_LOW,5m,100.19357671,100.43759665,99.98578288,100.13612486,233157.0727
1704074400000,SYN_RHYTHM_REGULAR_LOW,5m,100.13612486,100.42980453,99.99626359,100.17553002,234599.4923
1704074700000,SYN_RHYTHM_REGULAR_LOW,5m,100.17553002,100.43484736,99.9758169,100.11079044,235488.3654
