timestamp_ms,symbol,timeframe,open,high,low,close,volume,melody_phase
1704067200000,SYN_MELODY,5m,100.0,100.2937827,99.8272,100.12755803,234080.0,block
1704067500000,SYN_MELODY,5m,100.12755803,100.44093767,99.96965515,100.25938344,234475.5599,block
1704067800000,SYN_MELODY,5m,100.25938344,100.59055367,100.11514594,100.39488712,234812.8594,block
1704068100000,SYN_MELODY,5m,100.39488712,100.74039023,100.26192069,100.53299323,235045.3816,block
1704068400000,SYN_MELODY,5m,100.53299323,100.88805327,100.40793743,100.67227742,235140.2182,block
1704068700000,SYN_MELODY,5m,100.67227742,101.03126249,100.55108335,100.81115271,235082.5316,block
1704069000000,SYN_MELODY,5m,100.81115271,101.16811939,100.68941918,100.94807824,234877.5729,block
1704069300000,SYN_MELODY,5m,100.94807824,101.2973421,100.8214189,101.08176253,234549.9836,block
1704069600000,SYN_MELODY,5m,101.08176253,101.41843685,100.9461733,101.21133398,234140.477,block
1704069900000,SYN_MELODY,5m,101.21133398,101.53178199,101.06352969,101.3364549,233700.3453,block
1704070200000,SYN_MELODY,5m,101.3364549,101.63861101,101.17414669,101.45736363,233284.5387,block
1704070500000,SYN_MELODY,5m,101.45736363,101.74089365,101.27945317,101.57483863,233455.7487,block
1704070800000,SYN_MELODY,5m,101.57483863,101.84112673,101.38151244,101.69008917,233679.9823,block
1704071100000,SYN_MELODY,5m,101.69008917,101.8342462,101.35876394,101.57273431,233763.7449,block
1704071400000,SYN_MELODY,5m,101.57273431,101.70563536,101.23135166,101.45616472,233702.012,block
1704071700000,SYN_MELODY,5m,101.45616472,101.58139128,101.10967292,101.34174995,233509.8001,block
1704072000000,SYN_MELODY,5m,101.34174995,101.46350018,100.99535641,101.23050682,233220.1003,block
1704072300000,SYN_MELODY,5m,101.23050682,101.35324398,100.88918867,101.12296038,233520.6218,block
1704072600000,SYN_MELODY,5m,101.12296038,101.25104033,100.79102163,101.01907179,233858.7515,block
1704072900000,SYN_MELODY,5m,101.01907179,101.15638046,100.69978739,100.91824298,234140.8195,block
1704073200000,SYN_MELODY,5m,100.91824298,101.06787346,100.61361827,100.81939695,234320.7773,block
1704073500000,SYN_MELODY,5m,100.81939695,100.98339296,100.53005802,100.72112307,234366.2694,block
1704073800000,SYN_MELODY,5m,100.72112307,100.90030981,100.44633936,100.62186756,234263.053,block
1704074100000,SYN_MELODY,5m,100.62186756,100.81578431,100.359695,100.52014365,234016.9659,block
1704074400000,SYN_MELODY,5m,100.52014365,100.7270838,100.2676658,100.41473281,233653.1781,block
1704074700000,SYN_MELODY,5m,100.41473281,100.63188837,100.16836956,100.30484992,233212.8255,block
1704075000000,SYN_MELODY,5m,100.30484992,100.63604817,100.1818949,100.41894499,233652.5166,block
1704075300000,SYN_MELODY,5m,100.41894499,100.74856712,100.29842701,100.5286401,234087.7733,block
1704075600000,SYN_MELODY,5m,100.5286401,100.85308228,100.40613869,100.6347668,234441.7849,block
