timestamp_ms,symbol,timeframe,open,high,low,close,volume
1746489600000000,XRPUSDT,1h,2.1306,2.1355,2.1226,2.1287,3450919.1
1746493200000000,XRPUSDT,1h,2.1288,2.1406,2.1115,2.1127,4932630.6
1746496800000000,XRPUSDT,1h,2.1127,2.1147,2.0939,2.113,8596793.9
1746500400000000,XRPUSDT,1h,2.113,2.121,2.1058,2.1185,3940183.4
1746504000000000,XRPUSDT,1h,2.1186,2.1247,2.1141,2.1228,2628637.4
1746507600000000,XRPUSDT,1h,2.1227,2.1243,2.1055,2.1063,3376054.7
1746511200000000,XRPUSDT,1h,2.1064,2.1155,2.1019,2.1071,4237649.1
1746514800000000,XRPUSDT,1h,2.1071,2.1145,2.0929,2.099,6330636.8
1746518400000000,XRPUSDT,1h,2.0989,2.1034,2.0803,2.097,7622014.1
1746522000000000,XRPUSDT,1h,2.097,2.1087,2.0932,2.1065,2745117.4
1746525600000000,XRPUSDT,1h,2.1065,2.1075,2.0876,2.0926,3513925.4
1746529200000000,XRPUSDT,1h,2.0926,2.1046,2.083,2.0903,4616629.9
1746532800000000,XRPUSDT,1h,2.0903,2.1035,2.0864,2.1013,3212986.1
1746536400000000,XRPUSDT,1h,2.1013,2.1033,2.0777,2.0854,6817639.3
1746540000000000,XRPUSDT,1h,2.0854,2.1229,2.084,2.1056,8194379.5
1746543600000000,XRPUSDT,1h,2.1055,2.121,2.1016,2.1109,3724887.6
1746547200000000,XRPUSDT,1h,2.111,2.1275,2.1035,2.1111,4119684.1
1746550800000000,XRPUSDT,1h,2.1111,2.1287,2.1111,2.1213,3246854.0
1746554400000000,XRPUSDT,1h,2.1213,2.1422,2.1213,2.1415,3349803.8
1746558000000000,XRPUSDT,1h,2.1415,2.1468,2.1344,2.1367,3693791.3
1746561600000000,XRPUSDT,1h,2.1366,2.1407,2.1216,2.1275,3524985.8
1746565200000000,XRPUSDT,1h,2.1275,2.1327,2.1112,2.1189,2968216.8
1746568800000000,XRPUSDT,1h,2.1188,2.1517,2.1184,2.1491,5945432.0
1746572400000000,XRPUSDT,1h,2.149,2.1595,2.141,2.155,5231361.9
1746576000000000,XRPUSDT,1h,2.155,2.1706,2.1489,2.167,5277289.6
1746579600000000,XRPUSDT,1h,2.167,2.1716,2.1563,2.158,3664553.6
1746583200000000,XRPUSDT,1h,2.158,2.1591,2.1429,2.1477,3576586.6
1746586800000000,XRPUSDT,1h,2.1476,2.1492,2.1377,2.148,3393567.0
1746590400000000,XRPUSDT,1h,2.1479,2.1545,2.143,2.1465,2483359.5
1746594000000000,XRPUSDT,1h,2.1466,2.1466,2.1311,2.1333,4433698.1
1746597600000000,XRPUSDT,1h,2.1333,2.1391,2.1284,2.1324,3794870.4
1746601200000000,XRPUSDT,1h,2.1325,2.1418,2.1305,2.1412,5110249.2
1746604800000000,XRPUSDT,1h,2.1411,2.1492,2.1365,2.1479,3769093.8
1746608400000000,XRPUSDT,1h,2.1478,2.1514,2.1413,2.1451,2411678.4
1746612000000000,XRPUSDT,1h,2.1451,2.1456,2.1359,2.1431,2561197.9
1746615600000000,XRPUSDT,1h,2.143,2.1436,2.1381,2.1428,2136634.6
1746619200000000,XRPUSDT,1h,2.1429,2.1438,2.1304,2.1343,4093118.5
1746622800000000,XRPUSDT,1h,2.1343,2.1394,2.125,2.1351,4073316.6
1746626400000000,XRPUSDT,1h,2.1351,2.145,2.122,2.1288,4114364.2
1746630000000000,XRPUSDT,1h,2.1288,2.1333,2.1216,2.1268,4012601.5
1746633600000000,XRPUSDT,1h,2.1268,2.1275,2.1125,2.1232,4472056.8
1746637200000000,XRPUSDT,1h,2.1231,2.1259,2.1087,2.1144,3777274.6
1746640800000000,XRPUSDT,1h,2.1144,2.1346,2.1039,2.1235,10306263.1
1746644400000000,XRPUSDT,1h,2.1236,2.1245,2.1055,2.1124,5026158.4
1746648000000000,XRPUSDT,1h,2.1125,2.1191,2.107,2.1171,2123591.6
1746651600000000,XRPUSDT,1h,2.1172,2.1347,2.1171,2.1301,2556342.3
1746655200000000,XRPUSDT,1h,2.1301,2.1368,2.1269,2.1276,2477089.0
1746658800000000,XRPUSDT,1h,2.1275,2.1364,2.124,2.1265,2114563.3
1746662400000000,XRPUSDT,1h,2.1264,2.1362,2.1176,2.1352,3572757.5
1746666000000000,XRPUSDT,1h,2.1352,2.1478,2.1309,2.1381,6807244.8
1746669600000000,XRPUSDT,1h,2.1382,2.1714,2.1382,2.1704,10233482.3
1746673200000000,XRPUSDT,1h,2.1704,2.1857,2.1664,2.1857,9167318.4
1746676800000000,XRPUSDT,1h,2.1856,2.2068,2.1819,2.1822,12496178.3
1746680400000000,XRPUSDT,1h,2.1823,2.1905,2.1735,2.1749,5995434.2
1746684000000000,XRPUSDT,1h,2.1749,2.1815,2.1684,2.1767,6422677.6
1746687600000000,XRPUSDT,1h,2.1766,2.198,2.1766,2.1889,6053005.6
1746691200000000,XRPUSDT,1h,2.189,2.2188,2.1882,2.2117,8083309.4
1746694800000000,XRPUSDT,1h,2.2117,2.2158,2.2016,2.2099,4858306.2
1746698400000000,XRPUSDT,1h,2.21,2.2172,2.2063,2.215,5218817.0
1746702000000000,XRPUSDT,1h,2.215,2.2154,2.203,2.2082,4630685.1
1746705600000000,XRPUSDT,1h,2.2082,2.2216,2.205,2.2081,8084032.2
1746709200000000,XRPUSDT,1h,2.2081,2.219,2.2025,2.209,7262331.4
1746712800000000,XRPUSDT,1h,2.209,2.2392,2.2028,2.2227,9849710.8
1746716400000000,XRPUSDT,1h,2.2226,2.275,2.2225,2.2437,22733033.5
1746720000000000,XRPUSDT,1h,2.2437,2.2618,2.2357,2.2519,11565356.7
