pair,signature,events,worlds,share,pressure_delta,rekopplung_delta
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,rekoppelnde_lage->rekoppelnde_lage->rekoppelnde_lage,39,2,0.378641,0.003200,-0.000388
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,offene_lage->offene_lage->offene_lage,30,1,0.291262,0.001754,0.002371
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,offene_lage->rekoppelnde_lage->rekoppelnde_lage,5,1,0.048544,-0.003207,0.007882
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,bewegungsbruch->rekoppelnde_lage->rekoppelnde_lage,5,1,0.048544,-0.031631,0.016928
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,rekoppelnde_lage->rekoppelnde_lage->offene_lage,4,1,0.038835,0.038994,-0.005682
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,bewegungsbruch->offene_lage->offene_lage,3,1,0.029126,0.022500,-0.012240
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,rekoppelnde_lage->rekoppelnde_lage->druck_lage,3,2,0.029126,0.136026,-0.036581
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,offene_lage->rekoppelnde_lage->offene_lage,3,2,0.029126,0.007606,-0.028621
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,offene_lage->rekoppelnde_lage->druck_lage,2,1,0.019417,0.103848,-0.053548
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,offene_lage->offene_lage->druck_lage,1,1,0.009709,0.160731,-0.070426
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,offene_lage->offene_lage->bewegungsbruch,1,1,0.009709,-0.035156,0.014835
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,offene_lage->gehaltene_form->offene_lage,1,1,0.009709,0.110115,-0.018198
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,offene_lage->gehaltene_form->gehaltene_form,1,1,0.009709,0.091802,-0.022284
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,offene_lage->offene_lage->gehaltene_form,1,1,0.009709,0.032882,0.006649
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,bewegungsbruch->rekoppelnde_lage->offene_lage,1,1,0.009709,-0.014887,-0.022099
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,druck_lage->rekoppelnde_lage->rekoppelnde_lage,1,1,0.009709,-0.044782,0.003178
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,rekoppelnde_lage->bewegungsbruch->rekoppelnde_lage,1,1,0.009709,-0.021332,0.001619
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,rekoppelnde_lage->bewegungsbruch->bewegungsbruch,1,1,0.009709,0.061765,-0.028785
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,rekoppelnde_lage->rekoppelnde_lage->rekoppelnde_lage,10,3,0.103093,-0.012052,0.011519
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,offene_lage->offene_lage->offene_lage,9,1,0.092784,-0.030909,0.008608
