pair,world,events,top_quality,top_share,quality_count,ticks,form_change,form_stability,energy_shift,energy_tone,contact_pressure,contact_alignment,mcm_strain,mcm_rekopplung
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,BTC_2024_15M,1,bruchuebergang,1.000000,1,1994.000000,0.188808,0.008772,0.212875,0.210076,0.190204,0.565402,0.178995,0.647961
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,BTC_2024_1H,14,druckuebergang,0.357143,5,1994.000000,0.186773,0.026223,0.214436,0.206698,0.192577,0.567391,0.179725,0.648425
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,BTC_2024_30M,13,offen_stabil,0.384615,4,1994.000000,0.188197,0.032441,0.203458,0.204968,0.194637,0.568125,0.180276,0.648163
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,BTC_2024_5M,3,druckuebergang,0.333333,3,1994.000000,0.190838,0.027422,0.215769,0.201499,0.197351,0.567778,0.181753,0.647036
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,KAS_2024_1H,1,offen_stabil,1.000000,1,1994.000000,0.203274,0.024350,0.216525,0.212778,0.208661,0.566490,0.186472,0.644507
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,KAS_2024_30M,4,offen_stabil,0.250000,4,1994.000000,0.199483,0.041100,0.224284,0.214294,0.208383,0.568401,0.186576,0.645124
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,SOL_2024_15M,10,offen_stabil,0.400000,5,1994.000000,0.212690,0.031738,0.217180,0.209299,0.207693,0.567259,0.185992,0.645161
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,SOL_2024_1H,19,offen_stabil,0.368421,6,1994.000000,0.198360,0.029464,0.212851,0.216239,0.206724,0.567104,0.185714,0.645113
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,SOL_2024_30M,6,offen_stabil,0.666667,3,1994.000000,0.208947,0.036982,0.218426,0.209145,0.204888,0.567936,0.184699,0.645976
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,SOL_2024_5M,2,offen_stabil,0.500000,2,1994.000000,0.217915,0.046362,0.222730,0.206769,0.213491,0.568873,0.187721,0.645096
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,BTC_2024_15M,2,offen_stabil,1.000000,1,1994.000000,0.188808,0.008772,0.212875,0.210076,0.190204,0.565402,0.178995,0.647961
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,BTC_2024_1H,13,offen_stabil,0.692308,4,1994.000000,0.186773,0.026223,0.214436,0.206698,0.192577,0.567391,0.179725,0.648425
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,BTC_2024_30M,13,offen_stabil,0.692308,3,1994.000000,0.188197,0.032441,0.203458,0.204968,0.194637,0.568125,0.180276,0.648163
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,BTC_2024_5M,5,offen_stabil,0.800000,2,1994.000000,0.190838,0.027422,0.215769,0.201499,0.197351,0.567778,0.181753,0.647036
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,KAS_2024_30M,4,offen_stabil,1.000000,1,1994.000000,0.199483,0.041100,0.224284,0.214294,0.208383,0.568401,0.186576,0.645124
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,SOL_2024_15M,12,offen_stabil,0.750000,4,1994.000000,0.212690,0.031738,0.217180,0.209299,0.207693,0.567259,0.185992,0.645161
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,SOL_2024_1H,20,offen_stabil,0.850000,4,1994.000000,0.198360,0.029464,0.212851,0.216239,0.206724,0.567104,0.185714,0.645113
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,SOL_2024_30M,7,offen_stabil,0.857143,2,1994.000000,0.208947,0.036982,0.218426,0.209145,0.204888,0.567936,0.184699,0.645976
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,SOL_2024_5M,2,offen_stabil,1.000000,1,1994.000000,0.217915,0.046362,0.222730,0.206769,0.213491,0.568873,0.187721,0.645096
