pair,count,worlds,dominant_world,dominant_role_shift,pressure_delta,sharpness_delta,focus_delta,rekopplung_delta,loudness_delta
dio_mcm_episode_1hdpu9s->dio_mcm_episode_0e7qvj1,57,2,PAXG_2024_1H_YEAR (41/57),zentrum_stabil->offene_variante (30/57),0.060361,-0.043696,0.030846,-0.042512,0.166052
dio_mcm_episode_0e7qvj1->dio_mcm_episode_1hdpu9s,54,2,PAXG_2024_1H_YEAR (38/54),zentrum_stabil->zentrum_stabil (48/54),-0.028931,0.094384,-0.018057,0.016935,-0.076504
dio_mcm_episode_0z748ck->dio_mcm_episode_0e7qvj1,14,2,PAXG_2024_1H_YEAR (7/14),zentrum_stabil->zentrum_stabil (11/14),0.010927,0.026389,0.018611,-0.000435,0.049623
dio_mcm_episode_1hdpu9s->dio_mcm_episode_1rxdw4p,14,2,PAXG_2025_1H_YEAR (10/14),zentrum_stabil->zentrum_stabil (12/14),0.017772,0.121675,0.010975,-0.006442,0.086368
dio_mcm_episode_0qzjuvj->dio_mcm_episode_0z748ck,12,2,PAXG_2024_1H_YEAR (6/12),zentrum_stabil->zentrum_stabil (9/12),-0.010367,0.117142,-0.022646,0.000097,-0.042923
dio_mcm_episode_0jbl5pq->dio_mcm_episode_0qzjuvj,11,2,PAXG_2024_1H_YEAR (7/11),zentrum_stabil->zentrum_stabil (7/11),-0.016777,-0.052551,-0.011698,0.008577,-0.062181
dio_mcm_episode_0mji3u6->dio_mcm_episode_0e7qvj1,11,2,PAXG_2024_1H_YEAR (7/11),zentrum_stabil->zentrum_stabil (10/11),-0.000451,0.145125,0.001286,0.002134,0.030217
dio_mcm_episode_1rxdw4p->dio_mcm_episode_1hdpu9s,11,2,PAXG_2025_1H_YEAR (9/11),zentrum_stabil->zentrum_stabil (8/11),-0.001121,-0.129046,-0.004823,-0.004539,-0.045522
dio_mcm_episode_0lne9ax->dio_mcm_episode_0jbl5pq,9,2,PAXG_2024_1H_YEAR (6/9),zentrum_stabil->zentrum_stabil (7/9),-0.021132,0.125510,-0.016776,0.012128,-0.042918
dio_mcm_episode_1jwnjz4->dio_mcm_episode_0gqol8d,8,2,PAXG_2025_1H_YEAR (5/8),zentrum_stabil->zentrum_stabil (8/8),-0.014483,0.070672,-0.003165,0.002531,-0.051086
dio_mcm_episode_0hjnwsk->dio_mcm_episode_18n06fj,7,2,PAXG_2025_1H_YEAR (4/7),offene_variante->zentrum_stabil (2/7),0.004540,-0.033188,0.019513,0.008986,0.009946
dio_mcm_episode_0e7qvj1->dio_mcm_episode_0mji3u6,7,2,PAXG_2024_1H_YEAR (5/7),zentrum_stabil->offene_variante (4/7),-0.003041,-0.137913,-0.006767,-0.000449,-0.060009
dio_mcm_episode_0gqol8d->dio_mcm_episode_1jwnjz4,6,2,PAXG_2025_1H_YEAR (4/6),zentrum_stabil->zentrum_stabil (3/6),0.069427,-0.006234,0.053941,-0.056585,0.173278
dio_mcm_episode_1jwnjz4->dio_mcm_episode_0e7qvj1,6,2,PAXG_2025_1H_YEAR (4/6),zentrum_stabil->zentrum_stabil (3/6),0.014470,-0.099267,0.004827,-0.014396,0.046985
dio_mcm_episode_0l3i7ey->dio_mcm_episode_0aztxel,6,2,PAXG_2025_1H_YEAR (5/6),zentrum_stabil->zentrum_stabil (3/6),0.004529,0.062122,0.013446,0.013661,0.056637
dio_mcm_episode_1ahj81f->dio_mcm_episode_1jx2k4i,6,1,PAXG_2025_1H_YEAR (6/6),zentrum_stabil->zentrum_stabil (2/6),0.020311,-0.087068,0.010498,-0.028385,0.011379
dio_mcm_episode_18n06fj->dio_mcm_episode_0mji3u6,5,2,PAXG_2024_1H_YEAR (3/5),zentrum_stabil->zentrum_stabil (3/5),0.057544,0.098278,0.099483,-0.035497,0.222330
dio_mcm_episode_1q3us3f->dio_mcm_episode_1hdpu9s,5,2,PAXG_2025_1H_YEAR (3/5),zentrum_stabil->offene_variante (2/5),0.046376,-0.043446,-0.008271,-0.031371,0.095052
dio_mcm_episode_1rxdw4p->dio_mcm_episode_1hs3jsa,5,2,PAXG_2025_1H_YEAR (4/5),zentrum_stabil->zentrum_stabil (5/5),-0.023314,0.080412,-0.031794,0.006033,-0.072058
dio_mcm_episode_0e7qvj1->dio_mcm_episode_1jwnjz4,5,2,PAXG_2025_1H_YEAR (4/5),zentrum_stabil->zentrum_stabil (3/5),-0.004895,0.050367,-0.002316,0.008824,-0.003640
dio_mcm_episode_1jx2k4i->dio_mcm_episode_1ahj81f,5,1,PAXG_2025_1H_YEAR (5/5),zentrum_stabil->zentrum_stabil (3/5),0.002664,0.188021,-0.004339,-0.010080,0.017643
dio_mcm_episode_0e7qvj1->dio_mcm_episode_19a388p,4,2,PAXG_2024_1H_YEAR (2/4),zentrum_stabil->spannungsrand_kippnaehe (4/4),0.260937,-0.039420,0.140360,-0.174869,0.720326
dio_mcm_episode_1hdpu9s->dio_mcm_episode_1q3us3f,4,2,PAXG_2024_1H_YEAR (2/4),zentrum_stabil->zentrum_stabil (4/4),-0.011624,0.080424,0.018675,0.014352,0.008802
dio_mcm_episode_0aztxel->dio_mcm_episode_0hjnwsk,4,2,PAXG_2025_1H_YEAR (3/4),zentrum_stabil->zentrum_stabil (3/4),0.000246,-0.092068,0.006952,-0.006093,-0.027325
