pair,count,worlds,dominant_world,role_shift,role_share,effect,pressure_delta,sharpness_delta,focus_delta,rekopplung_delta,loudness_delta
0e7qvj1->1hdpu9s,33,2,XRP_2025_5M_10K (20/33),zentrum_stabil->zentrum_stabil,0.939394,rekoppelnd_entlastend,-0.015140,0.111982,-0.008134,0.006722,-0.032011
1hdpu9s->0e7qvj1,29,2,XRP_2025_5M_10K (18/29),zentrum_stabil->offene_variante,0.482759,oeffnend_belastend,0.062539,-0.129532,0.031336,-0.041888,0.157851
0mji3u6->0e7qvj1,21,2,XRP_2025_5M_10K (11/21),zentrum_stabil->zentrum_stabil,0.857143,spannungsnah,0.011889,0.047377,0.031272,-0.004889,0.063894
1hdpu9s->1rxdw4p,14,2,XRP_2024_5M_10K (10/14),zentrum_stabil->zentrum_stabil,0.857143,oeffnend_belastend,0.014892,0.041860,0.016682,-0.012394,0.056609
1rxdw4p->1hdpu9s,14,2,XRP_2024_5M_10K (10/14),zentrum_stabil->offene_variante,0.500000,oeffnend_belastend,0.009075,-0.203996,-0.014940,-0.016165,-0.025573
1rxdw4p->0nyb3ro,12,1,XRP_2025_5M_10K (12/12),zentrum_stabil->zentrum_stabil,0.916667,rekoppelnd_entlastend,-0.013359,0.015527,0.013966,0.010663,-0.039643
0nyb3ro->1rxdw4p,11,1,XRP_2025_5M_10K (11/11),zentrum_stabil->zentrum_stabil,0.454545,oeffnend_belastend,0.071001,-0.075984,0.020583,-0.050347,0.209028
0z748ck->0e7qvj1,11,2,XRP_2025_5M_10K (8/11),zentrum_stabil->zentrum_stabil,0.545455,oeffnend_belastend,0.036146,-0.125320,0.030565,-0.025926,0.093885
0qzjuvj->0z748ck,10,2,XRP_2025_5M_10K (6/10),zentrum_stabil->zentrum_stabil,0.600000,rekoppelnd_entlastend,-0.014175,-0.000241,-0.005816,0.011004,-0.044127
18n06fj->0mji3u6,10,2,XRP_2024_5M_10K (6/10),zentrum_stabil->zentrum_stabil,0.400000,bewegung_offen,-0.001338,-0.143969,0.002170,0.001981,-0.011619
1hdpu9s->1q3us3f,10,1,XRP_2024_5M_10K (10/10),zentrum_stabil->zentrum_stabil,1.000000,rekoppelnd_entlastend,-0.030998,0.078376,-0.037864,0.012900,-0.092037
1q3us3f->1hdpu9s,10,1,XRP_2024_5M_10K (10/10),zentrum_stabil->offene_variante,0.400000,oeffnend_belastend,0.068370,0.026709,0.043757,-0.037773,0.216445
0e7qvj1->1jwnjz4,9,2,XRP_2024_5M_10K (8/9),zentrum_stabil->zentrum_stabil,0.888889,rekoppelnd_entlastend,-0.011714,-0.027697,-0.003547,0.007113,-0.034585
0hjnwsk->18n06fj,9,2,XRP_2025_5M_10K (5/9),zentrum_stabil->zentrum_stabil,0.333333,bewegung_offen,-0.009058,0.131897,-0.022623,-0.004811,-0.023400
0jbl5pq->0qzjuvj,9,2,XRP_2025_5M_10K (6/9),zentrum_stabil->zentrum_stabil,0.666667,oeffnend_belastend,0.019240,0.058948,-0.011121,-0.029029,0.007951
