world,role,count,share,avg_rekopplung,avg_carry,avg_strain,avg_sensory,avg_visual_gap,avg_hearing_gap,rekopplung_top_share,carry_top_share,strain_top_share,dominant_effect_class,dominant_awareness,dominant_preview_symbol,dominant_symbol_family
BTC_5M,zentrum_stabil,1582,0.7933801404212638,0.7056252022756005,0.5266801156763591,0.14314216750948167,0.8586528008849558,0.1489296396965866,0.08474539696586599,0.3147914032869785,0.3141592920353982,0.10556257901390645,stabil,inner_effect_stable,dio_mcm_episode_1joiyc3,dio_104t
BTC_5M,offene_variante,394,0.19759277833500502,0.6576446649746194,0.4663771802030457,0.19344554314720813,0.7788211319796954,0.3048754086294416,0.15806720050761422,0.0025380710659898475,0.005076142131979695,0.7969543147208121,tragend_unruhig,inner_effect_carried_unrest,dio_mcm_episode_1joiyc3,dio_0jkk
BTC_5M,spannungsrand_kippnaehe,18,0.009027081243731194,0.5719941111111111,0.35491138888888885,0.2988846111111111,0.6657961111111111,0.38845944444444447,0.3945311111111111,0.0,0.0,1.0,kippend,inner_effect_tipping,dio_mcm_episode_1joiyc3,dio_1x3j
BTC_1H,zentrum_stabil,1578,0.7913741223671013,0.7075555171102662,0.5295119556400507,0.14289134410646387,0.8599874442332066,0.14861820849176172,0.08318384093789608,0.3155893536121673,0.31432192648922685,0.09695817490494296,stabil,inner_effect_stable,dio_mcm_episode_0e7qvj1,dio_104t
BTC_1H,offene_variante,391,0.19608826479438315,0.6562226521739131,0.4645822787723785,0.19604129411764706,0.777750820971867,0.3039498618925831,0.16638957544757033,0.0025575447570332483,0.0076726342710997444,0.8209718670076727,tragend_unruhig,inner_effect_carried_unrest,dio_mcm_episode_0e7qvj1,dio_0m9z
BTC_1H,spannungsrand_kippnaehe,25,0.012537612838515547,0.57272252,0.3565026,0.29725496,0.66962684,0.33449368,0.42526608000000005,0.0,0.0,1.0,kippend,inner_effect_tipping,dio_mcm_episode_0e7qvj1,dio_1j51
SOL_5M,zentrum_stabil,1504,0.7542627883650953,0.7040858078457446,0.5244046309840426,0.14400215624999999,0.857627133643617,0.14971750132978723,0.08724030718085106,0.331781914893617,0.32513297872340424,0.08577127659574468,stabil,inner_effect_stable,dio_mcm_episode_1joiyc3,dio_104t
SOL_5M,offene_variante,473,0.23721163490471414,0.6603001437632136,0.47282683298097256,0.1923298625792812,0.7784946173361522,0.31719659830866803,0.15150593446088795,0.0,0.021141649048625793,0.7463002114164905,tragend_unruhig,inner_effect_carried_unrest,dio_mcm_episode_1joiyc3,dio_00ja
SOL_5M,spannungsrand_kippnaehe,17,0.008525576730190571,0.567589294117647,0.35045017647058824,0.30179817647058826,0.6619076470588235,0.34285847058823526,0.4263118823529412,0.0,0.0,1.0,kippend,inner_effect_tipping,dio_mcm_episode_1joiyc3,dio_19yo
SOL_1H,zentrum_stabil,1560,0.7823470411233701,0.7039847403846153,0.524210441025641,0.1444554935897436,0.8572438955128205,0.14883917435897437,0.08907294871794871,0.31987179487179485,0.3128205128205128,0.10384615384615385,stabil,inner_effect_stable,dio_mcm_episode_0e7qvj1,dio_104t
SOL_1H,offene_variante,419,0.21013039117352056,0.6583102887828163,0.4687212315035799,0.1933194988066826,0.7780604439140811,0.30842950835322197,0.15859536992840095,0.0,0.026252983293556086,0.7684964200477327,tragend_unruhig,inner_effect_carried_unrest,dio_mcm_episode_0e7qvj1,dio_0m9z
SOL_1H,spannungsrand_kippnaehe,15,0.007522567703109328,0.5715691333333334,0.3515954666666667,0.29781573333333333,0.6681046666666667,0.3119809333333333,0.43236453333333336,0.0,0.0,1.0,kippend,inner_effect_tipping,dio_mcm_episode_0e7qvj1,dio_0ku7
KAS_5M,zentrum_stabil,1552,0.7783350050150452,0.7035956204896907,0.5230726275773195,0.14410388853092784,0.8578241494845361,0.14719126288659795,0.08863778737113402,0.32152061855670105,0.3125,0.09858247422680412,stabil,inner_effect_stable,dio_mcm_episode_1joiyc3,dio_104t
KAS_5M,offene_variante,425,0.2131394182547643,0.6600540964705882,0.4715489341176471,0.19231203294117646,0.78007468,0.30526648470588236,0.15551248470588233,0.0,0.03294117647058824,0.7741176470588236,tragend_unruhig,inner_effect_carried_unrest,dio_mcm_episode_1joiyc3,dio_00ja
KAS_5M,spannungsrand_kippnaehe,17,0.008525576730190571,0.571889,0.35515188235294115,0.2959657647058824,0.6686468235294117,0.35862629411764707,0.39965276470588235,0.0,0.0,1.0,kippend,inner_effect_tipping,dio_mcm_episode_1joiyc3,dio_16i6
KAS_1H,zentrum_stabil,1533,0.7688064192577733,0.7044279106327463,0.5250595375081539,0.14432745988258316,0.8574184892367906,0.15114114024787997,0.08567346705805609,0.32550554468362686,0.3202870189171559,0.09393346379647749,stabil,inner_effect_stable,dio_mcm_episode_0e7qvj1,dio_104t
KAS_1H,offene_variante,439,0.220160481444333,0.6577767266514807,0.4688701138952164,0.19480113439635535,0.7760509407744876,0.31471451936218675,0.15905007061503418,0.0,0.018223234624145785,0.7585421412300684,tragend_unruhig,inner_effect_carried_unrest,dio_mcm_episode_0e7qvj1,dio_05yg
KAS_1H,spannungsrand_kippnaehe,22,0.011033099297893681,0.5690677272727273,0.35190231818181816,0.3022692727272727,0.6692196818181818,0.3340663636363636,0.4331025909090909,0.0,0.0,1.0,kippend,inner_effect_tipping,dio_mcm_episode_0e7qvj1,dio_07eb
PAXG_5M,zentrum_stabil,8469,0.8474084450670403,0.7223096613531704,0.5496863184555437,0.14045345436297083,0.8644814197662062,0.1466505085606329,0.07732446144763254,0.29460384933286105,0.2950761601133546,0.13767859251387413,stabil,inner_effect_stable,dio_mcm_episode_0ybr5e3,dio_104t
PAXG_5M,offene_variante,1496,0.149689813888333,0.6741891524064171,0.49072189505347596,0.18896898061497325,0.7864473395721925,0.267464172459893,0.1692326577540107,0.00267379679144385,0.0,0.8716577540106952,tragend_unruhig,inner_effect_carried_unrest,dio_mcm_episode_0ybr5e3,dio_00ja
PAXG_5M,spannungsrand_kippnaehe,29,0.002901741044626776,0.5760577931034483,0.35124772413793104,0.29449355172413794,0.6838046206896552,0.252956,0.4357158275862069,0.0,0.0,1.0,kippend,inner_effect_tipping,dio_mcm_episode_0ybr5e3,dio_19v1
PAXG_1H,zentrum_stabil,6951,0.7918660287081339,0.7144725675442383,0.54507185484103,0.1425878837577327,0.8579600953819595,0.14894205625089915,0.08530649604373472,0.3143432599625953,0.3153503093080132,0.10113652711840022,stabil,inner_effect_stable,dio_mcm_episode_0b7nep9,dio_104t
PAXG_1H,offene_variante,1773,0.20198222829801776,0.6692911472081218,0.49120633051325435,0.1902850953186689,0.778933451212634,0.2976931878172589,0.16165288042865197,0.0056401579244218835,0.001692047377326565,0.8110547095318669,tragend_unruhig,inner_effect_carried_unrest,dio_mcm_episode_0b7nep9,dio_0m9z
PAXG_1H,spannungsrand_kippnaehe,54,0.006151742993848257,0.571693462962963,0.35375064814814816,0.29971437037037035,0.6565066666666667,0.3841710740740741,0.4095661296296296,0.0,0.0,1.0,kippend,inner_effect_tipping,dio_mcm_episode_0b7nep9,dio_05cl
DOGE_5M,zentrum_stabil,7958,0.796277766659996,0.7151631857250565,0.5496209542598642,0.14199189519979896,0.8589223259612968,0.14570893252073383,0.08719045513948227,0.3137723045991455,0.3137723045991455,0.0993968333752199,stabil,inner_effect_stable,dio_mcm_episode_0e7qvj1,dio_104t
DOGE_5M,offene_variante,1967,0.1968180908545127,0.6683553523131672,0.49330815149974583,0.19055804829689882,0.7764506131164209,0.30830936705643114,0.16006647534316218,0.0010167768174885613,0.0010167768174885613,0.833248601931876,tragend_unruhig,inner_effect_carried_unrest,dio_mcm_episode_0e7qvj1,dio_00ja
DOGE_5M,spannungsrand_kippnaehe,69,0.006904142485491295,0.5710944782608696,0.35614240579710144,0.29967778260869565,0.6600041449275362,0.3656186811594203,0.4226224927536232,0.0,0.0,1.0,kippend,inner_effect_tipping,dio_mcm_episode_0e7qvj1,dio_1c6r
DOGE_1H,zentrum_stabil,6986,0.79585326953748,0.7154979808187804,0.550140431720584,0.14208931176638992,0.859350196535929,0.1478050833094761,0.08486624305754366,0.3140566847981678,0.3139135413684512,0.0954766676209562,stabil,inner_effect_stable,dio_mcm_episode_0e7qvj1,dio_104t
DOGE_1H,offene_variante,1735,0.19765322396901344,0.6666636155619596,0.4902377469740634,0.19261543919308358,0.7759582224783862,0.3049223527377522,0.16687359999999998,0.0005763688760806917,0.0011527377521613833,0.8478386167146974,tragend_unruhig,inner_effect_carried_unrest,dio_mcm_episode_0b7nep9,dio_0m9z
DOGE_1H,spannungsrand_kippnaehe,57,0.006493506493506494,0.5723745789473684,0.3589715614035088,0.29855952631578947,0.6598965789473684,0.34725547368421056,0.4316554736842105,0.0,0.0,1.0,kippend,inner_effect_tipping,dio_mcm_episode_0e7qvj1,dio_15yz
XRP_5M,zentrum_stabil,7955,0.7959775865519312,0.7159267969830295,0.5503563785040855,0.14103800754242612,0.859910360779384,0.1473206313010685,0.0837826867379007,0.3140163419233187,0.3140163419233187,0.097171590194846,stabil,inner_effect_stable,dio_mcm_episode_0e7qvj1,dio_104t
XRP_5M,offene_variante,1957,0.1958174904942966,0.6683015247828309,0.4932112064384262,0.1910174241185488,0.7765936234031681,0.3069938339294839,0.16162324833929484,0.000510986203372509,0.000510986203372509,0.8400613183444047,tragend_unruhig,inner_effect_carried_unrest,dio_mcm_episode_0e7qvj1,dio_00ja
XRP_5M,spannungsrand_kippnaehe,82,0.008204922953772264,0.5706345243902439,0.36254162195121953,0.3007013292682927,0.6509471951219512,0.3765127317073171,0.4339618292682927,0.0,0.0,1.0,kippend,inner_effect_tipping,dio_mcm_episode_0e7qvj1,dio_0ku7
XRP_1H,zentrum_stabil,7142,0.8136249715197084,0.7165920228227387,0.5516261860823299,0.14173743601232147,0.8606617006440772,0.1443153542425091,0.08494485494259311,0.3073368804256511,0.3073368804256511,0.10627275273032764,stabil,inner_effect_stable,dio_mcm_episode_0e7qvj1,dio_104t
XRP_1H,offene_variante,1563,0.17805878332194122,0.6637876378758797,0.484323886756238,0.19418022200895715,0.7738432316058861,0.3072192245681382,0.16771626103646833,0.0,0.0,0.872040946896993,tragend_unruhig,inner_effect_carried_unrest,dio_mcm_episode_0e7qvj1,dio_0m9z
XRP_1H,spannungsrand_kippnaehe,73,0.008316245158350421,0.5723804246575342,0.36313956164383565,0.3010724794520548,0.6532334109589041,0.36631790410958903,0.4416880410958904,0.0,0.0,1.0,kippend,inner_effect_tipping,dio_mcm_episode_0e7qvj1,dio_17qo
