after_hits;avg_afterimage;avg_carry;avg_hearing_gap;avg_hearing_stimulation;avg_rekopplung;avg_strain;avg_trust;avg_visual_gap;before_hits;bridge_role;dominant_class;dominant_inner_state;family;family_ticks_total;fieldtime_embedding;group_count;groups;neighbor_hits;selected_neighbors;stable_bridge_count;stable_share;target_avg_strain;target_avg_trust;target_dominant_class;target_embedding;target_family;target_ticks;total_neighbor_hits;type;unique_mcm_episodes;unrest_neighbor_count;unrest_share
;;;;;;;;;;;;;;;;;;;12;6;;0.2249812016806723;0.6067392184873949;tragend_unruhig;0.6498977760504201;dio_1un4;119;238;target_summary;;1;
6;0.35916444027565086;0.5623755980091883;0.123041134762634;0.24330576684532926;0.716110267611026;0.1554488472434916;0.8172482538284839;0.1315649808575804;8;stabile_bruecke;stabil;inner_effect_stable;dio_155c;2612;0.7779957438361408;3;lang_10k:9,asset_mixed_2k:3,kurz_2k:2;14;;;0.9808575803981623;;;;;;;;neighbor_summary;1;;0.01914241960183767
0;0.35494408614945266;0.573902494526416;0.03433207758210376;0.08751180342693955;0.7281215168967158;0.135567192289386;0.8155609771537363;0.20325644883388863;13;stabiler_nachbar;stabil;inner_effect_stable;dio_0l7p;2101;0.7823020907900999;3;lang_10k:7,asset_mixed_2k:3,kurz_2k:3;13;;;1.0;;;;;;;;neighbor_summary;2;;0.0
0;0.42790120604099247;0.5724131885113269;0.06541261299892125;0.1436208104099245;0.7224461739482201;0.148518155609493;0.8390560674217907;0.20632133333333333;13;stabiler_nachbar;stabil;inner_effect_stable;dio_104t;3708;0.7960932874190939;1;lang_10k:13;13;;;0.9854368932038835;;;;;;;;neighbor_summary;1;;0.014563106796116505
3;0.33751960378169316;0.5561423240223464;0.11906587107864203;0.23374374645466264;0.7089970077352815;0.16391623506660938;0.8097980356682424;0.21119212376450366;9;stabile_bruecke;stabil;inner_effect_stable;dio_0m9z;2327;0.7701819813064031;3;lang_10k:7,kurz_2k:3,asset_mixed_2k:2;12;;;0.7430167597765364;;;;;;;;neighbor_summary;3;;0.2569832402234637
9;0.14313727654867256;0.5308553716814159;0.12661811061946904;0.24815398008849557;0.6961065663716814;0.16547117920353982;0.7183749800884955;0.2343680553097345;1;unbestimmt;tragend_unruhig;inner_effect_carried_unrest;dio_04uf;452;0.7149118755530973;3;lang_10k:6,asset_mixed_2k:3,kurz_2k:1;10;;;0.45353982300884954;;;;;;;;neighbor_summary;1;;0.5464601769911505
9;0.2094830930232558;0.5558834785801714;0.12287718482252141;0.2360170611995104;0.7167778298653611;0.14674111627906977;0.7576054418604652;0.11170500734394125;1;stabile_bruecke;stabil;inner_effect_stable;dio_17ct;817;0.7418622253977968;3;lang_10k:8,asset_mixed_2k:1,kurz_2k:1;10;;;1.0;;;;;;;;neighbor_summary;2;;0.0
0;0.2988806874524715;0.5733584699619773;0.009885241825095058;0.03892921064638783;0.7324250745247148;0.12540642509505703;0.7937361923954372;0.2007809505703422;8;stabiler_nachbar;stabil;inner_effect_stable;dio_14wj;1315;0.7707500882889734;3;lang_10k:4,kurz_2k:3,asset_mixed_2k:1;8;;;1.0;;;;;;;;neighbor_summary;1;;0.0
2;0.28782482624768946;0.5670652341343191;0.07012117313616759;0.1510651404805915;0.7244092988293285;0.13823860382008626;0.7937612649414665;0.14581008934072706;5;stabile_bruecke;stabil;inner_effect_stable;dio_0h9h;1623;0.765606073629082;3;lang_10k:4,asset_mixed_2k:2,kurz_2k:1;7;;;1.0;;;;;;;;neighbor_summary;1;;0.0
4;0.08525586547085201;0.535400533632287;0.13036385650224216;0.25061724663677126;0.7129217713004485;0.1377777802690583;0.6662397174887893;0.042099336322869954;1;stabile_bruecke;stabil;inner_effect_stable;dio_1mwv;223;0.7001449201793722;2;lang_10k:4,asset_mixed_2k:1;5;;;1.0;;;;;;;;neighbor_summary;1;;0.0
2;0.15709509971910113;0.5375894199438203;0.13372788764044943;0.2698960997191011;0.7059695575842697;0.15538916151685395;0.7413899452247191;0.11968866994382023;3;stabile_bruecke;stabil;inner_effect_stable;dio_0obq;712;0.7264461649578653;1;lang_10k:5;5;;;0.9929775280898876;;;;;;;;neighbor_summary;3;;0.007022471910112359
5;0.013628492753623189;0.485644;0.19753381159420288;0.36474797101449274;0.6764961739130435;0.17533484057971013;0.5602685942028985;0.15009039130434781;0;unbestimmt;stabil;inner_effect_stable;dio_0u2x;69;0.6474872427536231;2;lang_10k:4,asset_mixed_2k:1;5;;;0.5507246376811594;;;;;;;;neighbor_summary;1;;0.4492753623188406
5;0.1380823235908142;0.5250318204592902;0.12050313152400836;0.2390749770354906;0.6882870542797495;0.17600751565762002;0.7195388413361169;0.32113637578288096;0;randnahe_unruhe;tragend_unruhig;inner_effect_carried_unrest;dio_05yg;479;0.7113314217118998;3;lang_10k:3,asset_mixed_2k:1,kurz_2k:1;5;;;0.008350730688935281;;;;;;;;neighbor_summary;1;;0.9916492693110647
