token,base_zone,follow_zone,movement,base_observations,follow_observations,observation_delta,base_worlds,follow_worlds,world_delta,base_dominant_role,follow_dominant_role,base_top_next,follow_top_next,rekopplung_delta,strain_delta,sensory_delta,tension_delta,loudness_delta,visual_blur_delta
dio_mcm_episode_0v5p8er,hoeherer_cluster_uebergang,driftzone,oeffnung_oder_drift,2013,135,-1878,4,2,-2,zentrum_stabil,offene_variante,dio_mcm_episode_14l8khu,dio_mcm_episode_0wjn8vm,-0.027447,0.018745,-0.037036,0.016171,0.036933,0.119387
dio_mcm_episode_1xx3u1e,hoeherer_cluster_uebergang,stabile_bedeutungsinsel,reifung_oder_verdichtung,2964,1854,-1110,2,3,1,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0ybr5e3,dio_mcm_episode_077r0df,-0.000328,0.002361,-0.001843,0.009957,0.020179,0.005418
dio_mcm_episode_14l8khu,hoeherer_cluster_uebergang,driftzone,oeffnung_oder_drift,906,211,-695,3,1,-2,zentrum_stabil,offene_variante,dio_mcm_episode_0v5p8er,dio_mcm_episode_1q3us3f,-0.031942,0.024983,-0.042884,0.02071,0.047978,0.113368
dio_mcm_episode_1q3us3f,stabile_bedeutungsinsel,rekopplungszone,reifung_oder_verdichtung,1093,464,-629,3,3,0,zentrum_stabil,zentrum_stabil,dio_mcm_episode_18l3thm,dio_mcm_episode_0e7qvj1,0.006351,-0.006695,0.019099,-0.013078,-0.029795,-0.061163
dio_mcm_episode_077r0df,rekopplungszone,stabile_bedeutungsinsel,reifung_oder_verdichtung,70,613,543,2,4,2,zentrum_stabil,zentrum_stabil,dio_mcm_episode_1xx3u1e,dio_mcm_episode_1xx3u1e,-0.010618,0.016449,-0.033489,0.037774,0.079596,0.098391
dio_mcm_episode_1jx2k4i,stabile_bedeutungsinsel,hoeherer_cluster_uebergang,reifung_oder_verdichtung,338,843,505,2,5,3,zentrum_stabil,zentrum_stabil,dio_mcm_episode_1joiyc3,dio_mcm_episode_1joiyc3,0.004692,-0.000804,-0.002102,-0.00685,-0.02032,0.022191
dio_mcm_episode_18l3thm,hoeherer_cluster_uebergang,stabile_bedeutungsinsel,reifung_oder_verdichtung,598,153,-445,2,3,1,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0e7qvj1,dio_mcm_episode_0e7qvj1,0.004968,-0.004487,0.004712,-0.010327,-0.023366,-0.005824
dio_mcm_episode_14coypf,hoeherer_cluster_uebergang,stabile_bedeutungsinsel,reifung_oder_verdichtung,1584,1234,-350,2,1,-1,zentrum_stabil,zentrum_stabil,dio_mcm_episode_14l8khu,dio_mcm_episode_15cyz2v,0.004193,-0.002197,0.009562,0.005638,0.0153,-0.032836
dio_mcm_episode_01s42m6,stabile_bedeutungsinsel,driftzone,oeffnung_oder_drift,94,6,-88,1,1,0,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0b7nep9,dio_mcm_episode_0b7nep9,0.010608,-0.012116,0.017247,-0.019562,-0.047245,-0.011812
dio_mcm_episode_0db07p4,stabile_bedeutungsinsel,hoeherer_cluster_uebergang,reifung_oder_verdichtung,37,74,37,1,3,2,zentrum_stabil,zentrum_stabil,dio_mcm_episode_1joiyc3,dio_mcm_episode_1joiyc3,-0.000958,0.000749,-0.002414,-0.004919,-0.011859,0.012265
dio_mcm_episode_0mji3u6,hoeherer_cluster_uebergang,stabile_bedeutungsinsel,reifung_oder_verdichtung,163,189,26,2,4,2,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0e7qvj1,dio_mcm_episode_0e7qvj1,-0.002191,0.000846,-0.00371,-0.000594,-0.002738,0.015217
dio_mcm_episode_0hjnwsk,hoeherer_cluster_uebergang,driftzone,oeffnung_oder_drift,16,5,-11,2,2,0,zentrum_stabil,offene_variante,dio_mcm_episode_18n06fj,dio_mcm_episode_18n06fj,-0.011265,0.012167,-0.015785,0.024482,0.047195,0.107858
dio_mcm_episode_18n06fj,stabile_bedeutungsinsel,hoeherer_cluster_uebergang,reifung_oder_verdichtung,18,9,-9,2,3,1,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0mji3u6,dio_mcm_episode_0mji3u6,0.013348,-0.013251,0.020391,-0.017012,-0.031174,-0.071524
dio_mcm_episode_0aztxel,stabile_bedeutungsinsel,junge_spur,verjuengung_oberflaeche,8,1,-7,2,1,-1,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0hjnwsk,dio_mcm_episode_0hjnwsk,-0.004446,-0.02914,0.021662,-0.060364,-0.142849,-0.030033
dio_mcm_episode_1n2f96o,junge_spur,rekopplungszone,reifung_oder_verdichtung,1,7,6,1,2,1,zentrum_stabil,zentrum_stabil,dio_mcm_episode_1xm3b1l,dio_mcm_episode_02ujuqf,-0.002883,-0.00769,0.001536,0.005767,0.004533,0.007703
dio_mcm_episode_1y2gc2i,driftzone,stabile_bedeutungsinsel,reifung_oder_verdichtung,4,10,6,2,4,2,zentrum_stabil,zentrum_stabil,dio_mcm_episode_1y26981,dio_mcm_episode_1y26981,0.000502,-0.001725,-0.020571,-0.031281,-0.077499,0.041924
dio_mcm_episode_0393v08,offene_bedeutungszone,stabile_bedeutungsinsel,reifung_oder_verdichtung,2,7,5,1,3,2,zentrum_stabil,zentrum_stabil,dio_mcm_episode_0dsrwv5,dio_mcm_episode_0dsrwv5,-0.000197,0.004046,0.008162,0.024199,0.065718,-0.058977
