token,short_token,direction,neighbor,short_neighbor,neighbor_anchor_class,neighbor_path_class,neighbor_movement,neighbor_role,relation,edge_kind,count,worlds,duration_avg,exit_phase,exit_rekopplung_delta_avg,exit_strain_delta_avg,subrole
dio_mcm_episode_0b7nep9,0b7nep9,eingehend,dio_mcm_episode_00nzcuc,00nzcuc,lokaler_anschlussanker,-,-,-->-,eintritt,aussen_zu_bruecke,8,2,232.25,oeffnend_belastender_austritt,-0.018757,0.015556,tiefer_verteilender_anschlussanker
dio_mcm_episode_0b7nep9,0b7nep9,ausgehend,dio_mcm_episode_00nzcuc,00nzcuc,lokaler_anschlussanker,-,-,-->-,austritt,bruecke_zu_aussen,6,2,3.166667,gemischter_austritt,-0.002783,-0.00111,tiefer_verteilender_anschlussanker
dio_mcm_episode_0b7nep9,0b7nep9,ausgehend,dio_mcm_episode_0w4x7xs,0w4x7xs,schwacher_anschluss,rekoppelnder_pfad,reifung_oder_verdichtung,zentrum_stabil->zentrum_stabil,austritt,bruecke_zu_aussen,5,1,114.4,rekoppelnder_austritt,0.00628,-0.005428,tiefer_verteilender_anschlussanker
dio_mcm_episode_0b7nep9,0b7nep9,eingehend,dio_mcm_episode_0w4x7xs,0w4x7xs,schwacher_anschluss,rekoppelnder_pfad,reifung_oder_verdichtung,zentrum_stabil->zentrum_stabil,eintritt,aussen_zu_bruecke,4,1,134.5,gemischter_austritt,-0.179455,-0.034284,tiefer_verteilender_anschlussanker
dio_mcm_episode_0b7nep9,0b7nep9,eingehend,dio_mcm_episode_0ykar6i,0ykar6i,schwacher_anschluss,offener_driftpfad,oeffnung_oder_drift,zentrum_stabil->zentrum_stabil,eintritt,aussen_zu_bruecke,2,2,1036.0,oeffnend_belastender_austritt,-0.172091,0.184253,tiefer_verteilender_anschlussanker
dio_mcm_episode_0b7nep9,0b7nep9,eingehend,dio_mcm_episode_1f4jh6c,1f4jh6c,schwacher_anschluss,rekoppelnder_pfad,reifung_oder_verdichtung,zentrum_stabil->zentrum_stabil,eintritt,aussen_zu_bruecke,2,1,14.5,rekoppelnder_austritt,0.012252,-0.012709,tiefer_verteilender_anschlussanker
dio_mcm_episode_0b7nep9,0b7nep9,eingehend,dio_mcm_episode_17c7qwp,17c7qwp,schwacher_anschluss,brueckenpfad,reifung_oder_verdichtung,zentrum_stabil->zentrum_stabil,eintritt,aussen_zu_bruecke,1,1,1972.0,rekoppelnder_austritt,0.008901,-0.028097,tiefer_verteilender_anschlussanker
dio_mcm_episode_0b7nep9,0b7nep9,eingehend,dio_mcm_episode_1fej2vb,1fej2vb,schwacher_anschluss,-,-,-->-,eintritt,aussen_zu_bruecke,1,1,2034.0,gemischter_austritt,0.030813,0.00773,tiefer_verteilender_anschlussanker
dio_mcm_episode_0b7nep9,0b7nep9,ausgehend,dio_mcm_episode_0fljihc,0fljihc,schwacher_anschluss,-,-,-->-,austritt,bruecke_zu_aussen,1,1,931.0,oeffnend_belastender_austritt,-0.177129,0.186092,tiefer_verteilender_anschlussanker
dio_mcm_episode_0b7nep9,0b7nep9,ausgehend,dio_mcm_episode_0mm85pw,0mm85pw,schwacher_anschluss,randpfad,stabil,spannungsrand_kippnaehe->spannungsrand_kippnaehe,austritt,bruecke_zu_aussen,1,1,1284.0,oeffnend_belastender_austritt,-0.134429,0.141143,tiefer_verteilender_anschlussanker
dio_mcm_episode_0b7nep9,0b7nep9,ausgehend,dio_mcm_episode_0mw7rev,0mw7rev,schwacher_anschluss,randpfad,stabil,spannungsrand_kippnaehe->spannungsrand_kippnaehe,austritt,bruecke_zu_aussen,1,1,1141.0,oeffnend_belastender_austritt,-0.167054,0.182414,tiefer_verteilender_anschlussanker
dio_mcm_episode_0b7nep9,0b7nep9,ausgehend,dio_mcm_episode_0rz7ra9,0rz7ra9,schwacher_anschluss,-,-,-->-,austritt,bruecke_zu_aussen,1,1,2034.0,gemischter_austritt,0.030813,0.00773,tiefer_verteilender_anschlussanker
dio_mcm_episode_0b7nep9,0b7nep9,ausgehend,dio_mcm_episode_0tosxof,0tosxof,schwacher_anschluss,junge_oberflaeche,stabil,zentrum_stabil->zentrum_stabil,austritt,bruecke_zu_aussen,1,1,1972.0,rekoppelnder_austritt,0.008901,-0.028097,tiefer_verteilender_anschlussanker
dio_mcm_episode_0b7nep9,0b7nep9,ausgehend,dio_mcm_episode_0ykar6i,0ykar6i,schwacher_anschluss,offener_driftpfad,oeffnung_oder_drift,zentrum_stabil->zentrum_stabil,austritt,bruecke_zu_aussen,1,1,27.0,rekoppelnder_austritt,0.015733,-0.026082,tiefer_verteilender_anschlussanker
dio_mcm_episode_1jx2k4i,1jx2k4i,ausgehend,dio_mcm_episode_1joiyc3,1joiyc3,brueckenkern,brueckenpfad,stabil,zentrum_stabil->zentrum_stabil,eintritt,aussen_zu_bruecke,17,5,203.117647,gemischter_austritt,-0.034954,-0.019077,weltbreiter_kernnaher_inselanker
dio_mcm_episode_1jx2k4i,1jx2k4i,eingehend,dio_mcm_episode_1joiyc3,1joiyc3,brueckenkern,brueckenpfad,stabil,zentrum_stabil->zentrum_stabil,austritt,bruecke_zu_aussen,16,5,58.875,rekoppelnder_austritt,0.015843,-0.022255,weltbreiter_kernnaher_inselanker
