token,short_token,anchor_class,total_weight,max_world_span,weighted_duration,edge_count,outside_bridge_edges,bridge_to_bridge_edges,bidirectional_neighbors,incoming_neighbors,outgoing_neighbors,path_class,movement,base_zone,follow_zone,base_role,follow_role,dominant_edge_kind,edge_kind_profile,dominant_exit_phase,phase_profile,relation_profile,in_known_core_pair,known_core_pairs
dio_mcm_episode_0e7qvj1,0e7qvj1,brueckenkern,276,6,123.326087,30,16,14,6,8,15,brueckenpfad,stabil,hoeherer_cluster_uebergang,hoeherer_cluster_uebergang,zentrum_stabil,zentrum_stabil,bruecke_zu_bruecke,bruecke_zu_bruecke:14; bruecke_zu_aussen:12; aussen_zu_bruecke:4,oeffnend_belastender_austritt,oeffnend_belastender_austritt:19; rekoppelnder_austritt:6; gemischter_austritt:5,austritt:19; eintritt:11,1,4
dio_mcm_episode_0b7nep9,0b7nep9,brueckenkern,228,4,85.149123,19,15,4,5,8,9,brueckenpfad,stabil,hoeherer_cluster_uebergang,hoeherer_cluster_uebergang,zentrum_stabil,zentrum_stabil,bruecke_zu_aussen,bruecke_zu_aussen:8; aussen_zu_bruecke:7; bruecke_zu_bruecke:4,rekoppelnder_austritt,rekoppelnder_austritt:11; oeffnend_belastender_austritt:7; gemischter_austritt:1,austritt:10; eintritt:9,1,1
dio_mcm_episode_0ykar6i,0ykar6i,brueckenkern,215,4,71.018605,10,6,4,3,4,4,brueckenpfad,stabil,hoeherer_cluster_uebergang,hoeherer_cluster_uebergang,zentrum_stabil,zentrum_stabil,bruecke_zu_bruecke,bruecke_zu_bruecke:4; aussen_zu_bruecke:3; bruecke_zu_aussen:3,oeffnend_belastender_austritt,oeffnend_belastender_austritt:5; rekoppelnder_austritt:4; gemischter_austritt:1,austritt:5; eintritt:5,1,1
dio_mcm_episode_18l3thm,18l3thm,brueckenkern,171,6,55.426901,12,4,8,3,4,4,brueckenpfad,reifung_oder_verdichtung,hoeherer_cluster_uebergang,stabile_bedeutungsinsel,zentrum_stabil,zentrum_stabil,bruecke_zu_bruecke,bruecke_zu_bruecke:8; bruecke_zu_aussen:2; aussen_zu_bruecke:2,oeffnend_belastender_austritt,oeffnend_belastender_austritt:5; gemischter_austritt:4; rekoppelnder_austritt:3,austritt:6; eintritt:6,1,2
dio_mcm_episode_1jx2k4i,1jx2k4i,brueckenkern,115,6,66.347826,12,8,4,4,5,5,brueckenpfad,reifung_oder_verdichtung,stabile_bedeutungsinsel,hoeherer_cluster_uebergang,zentrum_stabil,zentrum_stabil,bruecke_zu_bruecke,bruecke_zu_bruecke:4; aussen_zu_bruecke:4; bruecke_zu_aussen:4,oeffnend_belastender_austritt,oeffnend_belastender_austritt:8; rekoppelnder_austritt:3; gemischter_austritt:1,eintritt:6; austritt:6,1,1
dio_mcm_episode_1joiyc3,1joiyc3,brueckenkern,101,6,146.900990,17,9,8,4,4,9,brueckenpfad,stabil,hoeherer_cluster_uebergang,hoeherer_cluster_uebergang,zentrum_stabil,zentrum_stabil,bruecke_zu_bruecke,bruecke_zu_bruecke:8; bruecke_zu_aussen:7; aussen_zu_bruecke:2,oeffnend_belastender_austritt,oeffnend_belastender_austritt:9; rekoppelnder_austritt:6; gemischter_austritt:2,austritt:11; eintritt:6,1,2
dio_mcm_episode_0mji3u6,0mji3u6,brueckenkern,97,6,94.061856,8,2,6,1,4,1,brueckenpfad,reifung_oder_verdichtung,hoeherer_cluster_uebergang,stabile_bedeutungsinsel,zentrum_stabil,zentrum_stabil,bruecke_zu_bruecke,bruecke_zu_bruecke:6; aussen_zu_bruecke:2,rekoppelnder_austritt,rekoppelnder_austritt:4; oeffnend_belastender_austritt:3; gemischter_austritt:1,eintritt:5; austritt:3,1,2
dio_mcm_episode_14coypf,14coypf,brueckenkern,57,3,100.070175,18,10,8,5,5,9,brueckenpfad,reifung_oder_verdichtung,hoeherer_cluster_uebergang,stabile_bedeutungsinsel,zentrum_stabil,zentrum_stabil,bruecke_zu_bruecke,bruecke_zu_bruecke:8; bruecke_zu_aussen:7; aussen_zu_bruecke:3,oeffnend_belastender_austritt,oeffnend_belastender_austritt:11; rekoppelnder_austritt:5; gemischter_austritt:2,austritt:11; eintritt:7,1,2
dio_mcm_episode_1xx3u1e,1xx3u1e,brueckenkern,49,3,125.081633,10,8,2,3,4,5,brueckenpfad,reifung_oder_verdichtung,hoeherer_cluster_uebergang,stabile_bedeutungsinsel,zentrum_stabil,zentrum_stabil,bruecke_zu_aussen,bruecke_zu_aussen:5; aussen_zu_bruecke:3; bruecke_zu_bruecke:2,oeffnend_belastender_austritt,oeffnend_belastender_austritt:7; rekoppelnder_austritt:3,austritt:6; eintritt:4,1,1
dio_mcm_episode_0qzjuvj,0qzjuvj,brueckenkern,33,6,2.666667,6,2,4,0,1,3,brueckenpfad,reifung_oder_verdichtung,hoeherer_cluster_uebergang,stabile_bedeutungsinsel,offene_variante,zentrum_stabil,bruecke_zu_bruecke,bruecke_zu_bruecke:4; bruecke_zu_aussen:2,gemischter_austritt,gemischter_austritt:3; rekoppelnder_austritt:2; oeffnend_belastender_austritt:1,austritt:4; eintritt:2,1,2
