world,data_file,pair,events,tick_min,tick_mid,tick_max,window_candles,chart_zone,main_return_pct,main_range_pct,before_return_pct,after_return_pct,main_open,main_close,main_high,main_low,main_volume_avg,dominant_movement,dominant_tick_zone,mcm_pressure_abs,mcm_rekopplung_abs,passive_only,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
EXT_EXPANSION_2023,data/kontrolliert_2023_extreme_expansion_test1_1000_5m_SOLUSDT.csv,183drjy->1t5bcxp,4,506,515,526,21,gerichtete_uebergangsbewegung,1.345291,3.318386,0.360036,0.530973,11.15,11.3,11.49,11.12,20199.93,rekopplungs_uebergang,spaet_mitte,0.040209,0.006682,1,0,0,0,0,0,0
EXT_EXPANSION_2023,data/kontrolliert_2023_extreme_expansion_test1_1000_5m_SOLUSDT.csv,1t5bcxp->183drjy,4,503,514,517,15,ruhige_konsolidierung,-0.089767,0.897666,0.269784,1.705566,11.14,11.13,11.22,11.12,9705.754667,rekopplungs_uebergang,spaet_mitte,0.05399,0.020894,1,0,0,0,0,0,0
EXT_EXPANSION_2023,data/kontrolliert_2023_extreme_expansion_test1_1000_5m_SOLUSDT.csv,02xikfk->1t5bcxp,3,394,397,660,267,expansion_getragen,5.183199,10.455764,12.349398,0.254669,11.19,11.77,12.05,10.88,24704.653745,offene_uebergangszone,frueh_mitte,0.024754,0.010769,1,0,0,0,0,0,0
EXT_EXPANSION_2023,data/kontrolliert_2023_extreme_expansion_test1_1000_5m_SOLUSDT.csv,1t5bcxp->02xikfk,3,396,398,655,260,gerichtete_uebergangsbewegung,5.903399,10.375671,12.012012,-0.759494,11.18,11.84,12.04,10.88,23723.821308,bewegungsbruch_zone,frueh_mitte,0.050122,0.014597,1,0,0,0,0,0,0
NEG_STRESS_2023,data/kontrolliert_2023_negative_stress_test1_1000_5m_SOLUSDT.csv,183drjy->1t5bcxp,2,802,802,816,15,ruhige_konsolidierung,-0.683761,0.769231,0.3861,-0.516351,23.4,23.24,23.41,23.23,7137.254,druck_uebergang,spaet,0.072906,0.025184,1,0,0,0,0,0,0
NEG_STRESS_2023,data/kontrolliert_2023_negative_stress_test1_1000_5m_SOLUSDT.csv,1t5bcxp->183drjy,2,771,771,815,45,ruhige_konsolidierung,0.128921,0.816502,0.085985,-0.858001,23.27,23.3,23.45,23.26,9670.702667,rekopplungs_uebergang,spaet,0.041473,0.016539,1,0,0,0,0,0,0
NEG_STRESS_2024,data/kontrolliert_2024_negative_stress_test1_1000_5m_SOLUSDT.csv,02xikfk->1t5bcxp,5,700,961,977,278,abverkauf_getragen,-4.359002,4.985541,0.263073,-0.87346,186.74,178.6,186.99,177.68,10644.150349,rekopplungs_uebergang,spaet,0.070313,0.018908,1,0,0,0,0,0,0
NEG_STRESS_2024,data/kontrolliert_2024_negative_stress_test1_1000_5m_SOLUSDT.csv,1t5bcxp->02xikfk,3,760,973,975,216,abverkauf_getragen,-2.435145,3.987276,-1.389941,-0.477823,182.33,177.89,184.95,177.68,11299.276986,bewegungsbruch_zone,spaet,0.081516,0.020171,1,0,0,0,0,0,0
POS_EXPANSION_2023,data/kontrolliert_2023_positive_expansion_test1_1000_5m_SOLUSDT.csv,02xikfk->1t5bcxp,6,228,328,356,129,gerichtete_uebergangsbewegung,1.603814,3.164283,1.140351,1.023891,23.07,23.44,23.76,23.03,14000.228915,bewegungsbruch_zone,frueh_mitte,0.074446,0.019902,1,0,0,0,0,0,0
POS_EXPANSION_2023,data/kontrolliert_2023_positive_expansion_test1_1000_5m_SOLUSDT.csv,1t5bcxp->02xikfk,5,235,329,355,121,konsolidierung_mit_spannung,0.299401,2.010265,1.080847,1.023454,23.38,23.45,23.76,23.29,13383.68157,bewegungsbruch_zone,frueh_mitte,0.036181,0.011746,1,0,0,0,0,0,0
POS_EXPANSION_2023,data/kontrolliert_2023_positive_expansion_test1_1000_5m_SOLUSDT.csv,183drjy->1t5bcxp,3,572,646,653,82,gerichtete_uebergangsbewegung,1.511226,2.115717,-0.429738,-0.340136,23.16,23.51,23.57,23.08,5942.768537,rekopplungs_uebergang,spaet_mitte,0.10574,0.025239,1,0,0,0,0,0,0
POS_EXPANSION_2023,data/kontrolliert_2023_positive_expansion_test1_1000_5m_SOLUSDT.csv,1t5bcxp->183drjy,3,571,576,651,81,gerichtete_uebergangsbewegung,1.036717,1.382289,-0.643777,0.34188,23.15,23.39,23.4,23.08,5316.599383,rekopplungs_uebergang,spaet_mitte,0.090003,0.022843,1,0,0,0,0,0,0
SIDEWAYS_2024,data/kontrolliert_2024_moderate_sideways_test1_1000_5m_SOLUSDT.csv,02xikfk->1t5bcxp,3,608,636,665,58,konsolidierung_mit_spannung,0.01536,2.979802,0.369999,1.174754,130.21,130.23,130.68,126.8,14970.179603,rekopplungs_uebergang,spaet_mitte,0.018927,0.007954,1,0,0,0,0,0,0
SIDEWAYS_2024,data/kontrolliert_2024_moderate_sideways_test1_1000_5m_SOLUSDT.csv,183drjy->1t5bcxp,2,920,920,934,15,ruhige_konsolidierung,-0.8221,1.096134,-0.354244,-0.19416,135.02,133.91,135.02,133.54,7829.1582,druck_uebergang,spaet,0.040909,0.025331,1,0,0,0,0,0,0
SIDEWAYS_2024,data/kontrolliert_2024_moderate_sideways_test1_1000_5m_SOLUSDT.csv,1t5bcxp->183drjy,2,917,917,927,11,ruhige_konsolidierung,-0.645209,0.889944,-0.662983,-0.403075,134.84,133.97,135.11,133.91,6235.603273,rekopplungs_uebergang,spaet,0.021714,0.005346,1,0,0,0,0,0,0
