passive_only,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal,world_group,world,run,family,pattern,tick,timestamp_ms,visual,tone,field,before_tension,target_tension,delta_tension,before_rekopplung,target_rekopplung,delta_rekopplung,before_strain,target_strain,delta_strain,visual_sharpness,visual_distance,auditory_loudness,auditory_listen,raw_field_intake,adapted_field_intake
1,0,0,0,0,0,0,feld_5m,follow_candidate_expansion_2023_5m_1k,dio_mini_lauf_1,dio_104t,tragende_verarbeitung,34,1696546200000,stabile_scharfe_form,geordnetes_hinhoeren_mit_wechsel,offen,0.104397875,0.063045,-0.041352875,0.6647415,0.709875,0.04513350000000005,0.170530375,0.127483,-0.043047375,0.758216,0.241784,0.119699,0.838662,0.071092,0.063045
1,0,0,0,0,0,0,feld_5m,follow_candidate_expansion_2023_5m_1k,dio_mini_lauf_1,dio_104t,tragende_verarbeitung,76,1696558800000,stabile_scharfe_form,geordnetes_hinhoeren_mit_wechsel,offen,0.113454,0.06884,-0.044614,0.664709875,0.71057,0.04586012500000003,0.171113,0.134674,-0.036439,0.734598,0.265402,0.132022,0.848031,0.077722,0.06884
1,0,0,0,0,0,0,feld_5m,follow_candidate_expansion_2023_5m_1k,dio_mini_lauf_1,dio_104t,tragende_verarbeitung,95,1696564500000,wechselnde_form,geordnetes_hinhoeren_mit_wechsel,offen,0.082401625,0.072761,-0.009640625,0.682963125,0.718236,0.03527287499999998,0.154939375,0.130505,-0.02443437499999998,0.661993,0.338007,0.117453,0.847907,0.082671,0.072761
1,0,0,0,0,0,0,feld_5m,follow_candidate_expansion_2023_5m_1k,dio_mini_lauf_1,dio_104t,tragende_verarbeitung,499,1696685700000,wechselnde_form,geordnetes_hinhoeren_mit_wechsel,rekoppelt,0.112403625,0.072146,-0.04025762499999999,0.6979252499999999,0.72278,0.024854750000000037,0.15481625,0.133735,-0.021081249999999996,0.641726,0.358274,0.127136,0.83882,0.082364,0.072146
1,0,0,0,0,0,0,feld_5m,follow_candidate_expansion_2023_5m_1k,dio_mini_lauf_1,dio_104t,tragende_verarbeitung,500,1696686000000,wechselnde_form,geordnetes_hinhoeren,rekoppelt,0.118895375,0.069138,-0.04975737499999999,0.697610125,0.726052,0.02844187500000006,0.155877,0.132973,-0.02290399999999998,0.628963,0.371037,0.104879,0.858006,0.078733,0.069138
1,0,0,0,0,0,0,feld_5m,follow_candidate_expansion_2023_5m_1k,dio_mini_lauf_1,dio_104t,tragende_verarbeitung,945,1696819500000,wechselnde_form,geordnetes_hinhoeren_mit_wechsel,rekoppelt,0.062010375,0.067477,0.005466624999999996,0.717487875,0.726288,0.008800125000000047,0.1344015,0.138899,0.004497499999999988,0.663495,0.336505,0.104688,0.853443,0.076568,0.067477
1,0,0,0,0,0,0,feld_5m,follow_candidate_expansion_2023_5m_1k,dio_mini_lauf_1,dio_104t,tragende_verarbeitung,948,1696820400000,wechselnde_form,geordnetes_hinhoeren_mit_wechsel,rekoppelt,0.064149625,0.075025,0.010875374999999993,0.715724875,0.725487,0.009762124999999955,0.131536625,0.139657,0.008120375000000013,0.662623,0.337377,0.148668,0.805584,0.085938,0.075025
1,0,0,0,0,0,0,feld_5m,follow_candidate_expansion_2023_5m_1k,dio_mini_lauf_2,dio_104t,tragende_verarbeitung,34,1696546200000,stabile_scharfe_form,geordnetes_hinhoeren_mit_wechsel,offen,0.104397875,0.063045,-0.041352875,0.6630245,0.708266,0.045241499999999935,0.169465375,0.12629,-0.04317537499999999,0.758216,0.241784,0.119699,0.838662,0.071092,0.063045
1,0,0,0,0,0,0,feld_5m,follow_candidate_expansion_2023_5m_1k,dio_mini_lauf_2,dio_104t,tragende_verarbeitung,76,1696558800000,stabile_scharfe_form,geordnetes_hinhoeren_mit_wechsel,offen,0.113454,0.06884,-0.044614,0.663214375,0.708917,0.045702625,0.17017125,0.133572,-0.03659925,0.734598,0.265402,0.132022,0.848031,0.077722,0.06884
1,0,0,0,0,0,0,feld_5m,follow_candidate_expansion_2023_5m_1k,dio_mini_lauf_2,dio_104t,tragende_verarbeitung,95,1696564500000,wechselnde_form,geordnetes_hinhoeren_mit_wechsel,offen,0.082401625,0.072761,-0.009640625,0.681811375,0.716944,0.03513262500000003,0.154144375,0.12964,-0.024504374999999995,0.661993,0.338007,0.117453,0.847907,0.082671,0.072761
