family,candidate_class,relation,distance_to_dio_00ly,distance_to_dio_104t,axis_distance,between_balance,between_closeness,support,event_support,between_score,tragend_events,kipp_events,tragend_worlds,kipp_worlds,rekopplung_gap,strain_gap,tension_gap,filtered_relation
dio_00ly,neuer_starker_brueckenkandidat,axis_a_dio_00ly,0.0,0.034961,0.034961,0.0,0.5,1.0,1.0,0.475,474,12,11,6,0.057811,0.034296,0.020439,axis_a_dio_00ly
dio_104t,neuer_lokaler_brueckenkandidat,axis_b_dio_104t,0.034961,0.0,0.034961,0.0,0.5,0.8125,1.0,0.446875,342,6,11,2,0.037638,0.034150,0.033094,axis_b_dio_104t
dio_0g2r,bekannte_karte,candidate,0.026571,0.021603,0.034961,0.896875,0.311026,0.9375,0.633333,0.65839,38,38,6,9,0.036675,0.033736,0.020443,possible_between_family
dio_1ewh,bekannte_karte,candidate,0.032132,0.017642,0.034961,0.7089,0.288148,1.0,1.0,0.648967,112,22,11,5,0.033731,0.029657,0.022794,possible_between_family
dio_1o4z,neuer_lokaler_brueckenkandidat,candidate,0.023052,0.027567,0.034961,0.91081,0.276069,0.625,0.166667,0.534158,5,15,3,7,0.041878,0.038969,0.018474,possible_between_family
dio_0pq6,neuer_starker_brueckenkandidat,candidate,0.024587,0.031849,0.034961,0.871313,0.192866,0.625,0.283333,0.508713,10,24,4,6,0.049771,0.050905,0.025721,possible_between_family
dio_1gp2,bekannte_karte,candidate,0.042117,0.020839,0.034961,0.662017,0.099632,0.9375,0.441667,0.473452,27,26,9,6,0.025491,0.032411,0.026147,near_dio_104t_side
dio_0h6t,neuer_lokaler_brueckenkandidat,candidate,0.012979,0.037041,0.034961,0.518956,0.28463,0.375,0.116667,0.355005,8,6,3,3,0.056836,0.036382,0.027518,near_dio_00ly_side
dio_17ct,bekannte_karte,candidate,0.070558,0.051744,0.034961,0.846163,0.0,0.75,0.65,0.506157,52,26,9,3,0.028229,0.031514,0.037242,too_far_from_axis
dio_161t,neuer_lokaler_brueckenkandidat,candidate,0.080935,0.080035,0.034961,0.994411,0.0,0.75,0.233333,0.495544,8,20,4,8,0.029931,0.031652,0.013162,too_far_from_axis
dio_155c,bekannte_karte,candidate,0.062266,0.042799,0.034961,0.814713,0.0,0.8125,0.525,0.485775,35,28,7,6,0.027892,0.037730,0.027556,too_far_from_axis
dio_0z9t,neuer_lokaler_brueckenkandidat,candidate,0.0458,0.042425,0.034961,0.961743,0.0,0.5625,0.208333,0.452235,6,19,3,6,0.052541,0.031904,0.029975,too_far_from_axis
dio_07uk,neuer_lokaler_brueckenkandidat,candidate,0.060748,0.065467,0.034961,0.962609,0.0,0.5625,0.166667,0.446288,8,12,3,6,0.062955,0.041672,0.038035,too_far_from_axis
dio_1xrt,neuer_lokaler_brueckenkandidat,candidate,0.028908,0.051252,0.034961,0.721255,0.0,0.625,0.466667,0.416189,50,6,7,3,0.051552,0.039176,-0.000175,too_far_from_axis
dio_0jqc,neuer_lokaler_brueckenkandidat,candidate,0.047374,0.056214,0.034961,0.914666,0.0,0.5,0.133333,0.415133,8,8,3,5,0.060886,0.031640,0.021913,too_far_from_axis
dio_1sa0,neuer_lokaler_brueckenkandidat,candidate,0.061265,0.050086,0.034961,0.899609,0.0,0.4375,0.216667,0.412988,6,20,2,5,0.036731,0.035846,0.035003,too_far_from_axis
dio_0obq,neuer_lokaler_brueckenkandidat,candidate,0.075186,0.060648,0.034961,0.892972,0.0,0.5,0.166667,0.41254,10,10,4,4,0.020465,0.025194,0.021595,too_far_from_axis
dio_0n0i,schwacher_kontakt,candidate,0.57028,0.561485,0.034961,0.99223,0.0,0.8125,1.0,0.619155,324,2,11,2,0.134748,0.182183,0.412453,excluded_weak_contact
dio_03uk,schwacher_kontakt,candidate,0.667632,0.661044,0.034961,0.995042,0.0,0.5625,1.0,0.58264,413,2,8,1,0.177719,0.222664,0.449679,excluded_weak_contact
dio_0pxr,schwacher_kontakt,candidate,0.056721,0.049815,0.034961,0.935177,0.0,0.6875,1.0,0.580437,2,202,1,10,0.035156,0.035108,0.018862,excluded_weak_contact
dio_0dd2,schwacher_kontakt,candidate,0.013763,0.036433,0.034961,0.548374,0.282117,0.75,1.0,0.553172,271,2,11,1,0.055270,0.026702,0.016839,excluded_weak_contact
dio_1lsu,schwacher_kontakt,candidate,0.063175,0.043597,0.034961,0.816635,0.0,0.6875,1.0,0.538947,4,151,2,9,0.030981,0.032858,0.039641,excluded_weak_contact
dio_00ja,schwacher_kontakt,candidate,0.047528,0.028986,0.034961,0.757669,0.0,0.625,1.0,0.508934,3,229,1,9,0.021970,0.026150,0.022178,excluded_weak_contact
dio_0fe7,schwacher_kontakt,candidate,0.021625,0.038103,0.034961,0.72411,0.145793,0.6875,0.591667,0.496341,67,4,9,2,0.059301,0.036371,0.034505,excluded_weak_contact
dio_0ein,schwacher_kontakt,candidate,0.077393,0.076013,0.034961,0.991005,0.0,0.625,0.366667,0.495602,43,1,9,1,0.025048,0.036086,0.006735,excluded_weak_contact
dio_16mm,schwacher_kontakt,candidate,0.153211,0.150909,0.034961,0.992431,0.0,0.625,0.116667,0.458601,12,2,8,2,0.043614,0.060474,0.073813,excluded_weak_contact
dio_1t33,schwacher_kontakt,candidate,0.393895,0.384978,0.034961,0.988552,0.0,0.625,0.083333,0.452243,8,2,8,2,0.051830,0.103233,0.220820,excluded_weak_contact
dio_0tay,schwacher_kontakt,candidate,0.008751,0.035728,0.034961,0.393508,0.363875,0.6875,0.558333,0.451959,66,1,10,1,0.058925,0.035560,0.023996,excluded_weak_contact
dio_06jk,schwacher_kontakt,candidate,0.067031,0.052284,0.034961,0.8764,0.0,0.5625,0.308333,0.437365,1,36,1,8,0.037769,0.028905,0.051996,excluded_weak_contact
dio_1puk,schwacher_kontakt,candidate,0.424427,0.417213,0.034961,0.991428,0.0,0.5,0.083333,0.4345,8,2,6,2,0.074947,0.126997,0.230690,excluded_weak_contact
dio_1c94,schwacher_kontakt,candidate,0.33218,0.323502,0.034961,0.986765,0.0,0.5,0.083333,0.432868,8,2,6,2,0.057846,0.111714,0.204958,excluded_weak_contact
dio_0jb8,schwacher_kontakt,candidate,0.3064,0.296763,0.034961,0.984022,0.0,0.5,0.083333,0.431908,6,4,4,4,0.033492,0.077119,0.167598,excluded_weak_contact
dio_0bu4,schwacher_kontakt,candidate,0.181026,0.174272,0.034961,0.980992,0.0,0.5,0.083333,0.430847,6,4,4,4,0.041319,0.047580,0.111202,excluded_weak_contact
dio_0f4r,schwacher_kontakt,candidate,0.062029,0.064272,0.034961,0.98224,0.0,0.375,0.15,0.422534,14,4,4,2,0.059126,0.048651,0.042428,excluded_weak_contact
dio_06qi,schwacher_kontakt,candidate,0.036016,0.041169,0.034961,0.93325,0.0,0.5,0.133333,0.421638,2,14,1,7,0.052479,0.034739,0.029182,excluded_weak_contact
dio_1w94,schwacher_kontakt,candidate,0.244931,0.241342,0.034961,0.99262,0.0,0.375,0.108333,0.419917,9,4,3,3,0.102189,0.115071,0.170017,excluded_weak_contact
dio_0sn8,schwacher_kontakt,candidate,0.174973,0.174217,0.034961,0.997835,0.0,0.375,0.083333,0.417992,8,2,4,2,0.049997,0.071827,0.067371,excluded_weak_contact
dio_1iw7,schwacher_kontakt,candidate,0.215862,0.215522,0.034961,0.999211,0.0,0.375,0.05,0.413474,2,4,2,4,0.053678,0.057198,0.053020,excluded_weak_contact
dio_1gp7,schwacher_kontakt,candidate,0.337784,0.330484,0.034961,0.989076,0.0,0.375,0.05,0.409927,2,4,2,4,0.055612,0.086945,0.171010,excluded_weak_contact
dio_00cy,schwacher_kontakt,candidate,0.229653,0.226769,0.034961,0.993679,0.0,0.3125,0.1,0.409663,10,2,3,2,0.102613,0.117304,0.154960,excluded_weak_contact
dio_1j8g,schwacher_kontakt,candidate,0.587119,0.573503,0.034961,0.988269,0.0,0.375,0.05,0.409644,4,2,4,2,0.028213,0.118660,0.384908,excluded_weak_contact
dio_0iy3,schwacher_kontakt,candidate,0.258116,0.249707,0.034961,0.983442,0.0,0.375,0.05,0.407955,4,2,4,2,0.035556,0.061357,0.132023,excluded_weak_contact
dio_1yme,schwacher_kontakt,candidate,0.04636,0.044292,0.034961,0.977186,0.0,0.3125,0.083333,0.40139,4,6,2,3,0.048017,0.043967,0.033924,excluded_weak_contact
dio_03la,schwacher_kontakt,candidate,0.565119,0.553067,0.034961,0.989222,0.0,0.25,0.05,0.391228,4,2,2,2,0.054612,0.141315,0.365557,excluded_weak_contact
dio_0enw,schwacher_kontakt,candidate,0.342707,0.334685,0.034961,0.988157,0.0,0.25,0.05,0.390855,4,2,2,2,0.054409,0.106229,0.191913,excluded_weak_contact
dio_1c2e,schwacher_kontakt,candidate,0.418355,0.413932,0.034961,0.994686,0.0,0.25,0.033333,0.39064,2,2,2,2,0.110074,0.159968,0.218863,excluded_weak_contact
dio_00lw,schwacher_kontakt,candidate,0.581889,0.575381,0.034961,0.994376,0.0,0.25,0.033333,0.390532,2,2,2,2,0.110063,0.192798,0.324020,excluded_weak_contact
dio_14rw,schwacher_kontakt,candidate,0.622582,0.615586,0.034961,0.99435,0.0,0.25,0.033333,0.390523,2,2,2,2,0.133788,0.213029,0.393168,excluded_weak_contact
dio_1d3a,schwacher_kontakt,candidate,0.243054,0.240131,0.034961,0.99395,0.0,0.25,0.033333,0.390383,2,2,2,2,0.047303,0.050230,0.067808,excluded_weak_contact
dio_0qwq,schwacher_kontakt,candidate,0.316467,0.312002,0.034961,0.992897,0.0,0.25,0.033333,0.390014,2,2,2,2,0.078381,0.122453,0.168767,excluded_weak_contact
