name,count,follow_top,quality_top,raw_top,raw_return,range_ratio,expansion_ratio,direction_consistency,delta_follow_rekopplung,delta_follow_strain,rand_loudness,rand_strain
SOL,516,"{'offene_variante_entlastend_gehalten': 382, 'rekopplungsnaehe_entlastend_gehalten': 60, 'zentrum_stabil_entlastend_gehalten': 35, 'offenheit_kurz_getragen_dann_rueckfall': 34}","{'entlastender_folgehalt': 373, 'stark_entlastender_folgehalt': 104, 'rueckfall_bei_bruch': 30, 'rueckfall_bei_starker_expansion': 8}","{'bewegungsbruch': 408, 'starker_bruchimpuls': 98, 'gemischte_rohwelt': 9}",0.0033891363759689925,0.052918588914728684,3.420017150368217,0.09039426523255814,0.08085824031007753,-0.09737709883720931,0.6936326298449613,0.27750718798449614
XRP,162,"{'offene_variante_entlastend_gehalten': 113, 'zentrum_stabil_entlastend_gehalten': 18, 'rekopplungsnaehe_entlastend_gehalten': 16, 'offenheit_kurz_getragen_dann_rueckfall': 13}","{'entlastender_folgehalt': 110, 'stark_entlastender_folgehalt': 37, 'rueckfall_bei_starker_expansion': 10, 'rueckfall_bei_bruch': 5}","{'bewegungsbruch': 99, 'starker_bruchimpuls': 63}",-0.004819398888888889,0.03405263790123456,4.446645803641975,0.08024516660493827,0.08415189506172839,-0.1008493024691358,0.7034923518518519,0.27902401851851855
DOGE,139,"{'offene_variante_entlastend_gehalten': 95, 'rekopplungsnaehe_entlastend_gehalten': 16, 'offenheit_kurz_getragen_dann_rueckfall': 14, 'zentrum_stabil_entlastend_gehalten': 12}","{'entlastender_folgehalt': 98, 'stark_entlastender_folgehalt': 25, 'rueckfall_bei_starker_expansion': 10, 'rueckfall_bei_bruch': 6}","{'bewegungsbruch': 92, 'starker_bruchimpuls': 47}",-0.0051392669064748205,0.038484832589928054,4.017745559568346,0.08305878431654676,0.08203751079136691,-0.09832430215827338,0.680459654676259,0.2772104100719424
PAXG,87,"{'offene_variante_entlastend_gehalten': 60, 'zentrum_stabil_entlastend_gehalten': 13, 'rekopplungsnaehe_entlastend_gehalten': 12, 'offene_variante_gemischt_gehalten': 1}","{'entlastender_folgehalt': 64, 'stark_entlastender_folgehalt': 21, 'gemischte_folge': 1, 'rueckfall_bei_starker_expansion': 1}","{'starker_bruchimpuls': 55, 'bewegungsbruch': 32}",-4.0041724137931034e-05,0.006507343563218392,4.984915732988506,0.07613867793103449,0.08410732183908046,-0.09607834482758619,0.7242348850574712,0.2732439540229885
BTC,80,"{'offene_variante_entlastend_gehalten': 61, 'offenheit_kurz_getragen_dann_rueckfall': 8, 'rekopplungsnaehe_entlastend_gehalten': 7, 'zentrum_stabil_entlastend_gehalten': 4}","{'entlastender_folgehalt': 51, 'stark_entlastender_folgehalt': 21, 'rueckfall_bei_starker_expansion': 4, 'rueckfall_bei_bruch': 4}","{'bewegungsbruch': 44, 'starker_bruchimpuls': 36}",0.0115484425,0.068402998,4.439920381125001,0.08989628562499999,0.0837212375,-0.102260325,0.6771990875,0.27826135
KAS,37,"{'offene_variante_entlastend_gehalten': 29, 'offenheit_kurz_getragen_dann_rueckfall': 5, 'rekopplungsnaehe_entlastend_gehalten': 2, 'zentrum_stabil_entlastend_gehalten': 1}","{'entlastender_folgehalt': 29, 'stark_entlastender_folgehalt': 3, 'rueckfall_bei_bruch': 3, 'rueckfall_bei_starker_expansion': 2}","{'bewegungsbruch': 24, 'starker_bruchimpuls': 13}",-0.022297076756756753,0.0909409727027027,4.4110124256756755,0.07569778810810811,0.07788321621621622,-0.09781627027027028,0.6573411621621621,0.2741080810810811
asset_real_5m,493,"{'offene_variante_entlastend_gehalten': 351, 'rekopplungsnaehe_entlastend_gehalten': 52, 'zentrum_stabil_entlastend_gehalten': 46, 'offenheit_kurz_getragen_dann_rueckfall': 39}","{'entlastender_folgehalt': 350, 'stark_entlastender_folgehalt': 99, 'rueckfall_bei_starker_expansion': 27, 'rueckfall_bei_bruch': 16}","{'bewegungsbruch': 291, 'starker_bruchimpuls': 202}",-0.0051962649290060855,0.036290619695740364,4.4048172505476675,0.08167926308316431,0.0823227200811359,-0.09860835902636916,0.6923401744421906,0.2770264381338743
expansion_5m,157,"{'offene_variante_entlastend_gehalten': 118, 'rekopplungsnaehe_entlastend_gehalten': 14, 'offenheit_kurz_getragen_dann_rueckfall': 13, 'zentrum_stabil_entlastend_gehalten': 9}","{'entlastender_folgehalt': 117, 'stark_entlastender_folgehalt': 24, 'rueckfall_bei_bruch': 11, 'rueckfall_bei_starker_expansion': 5}","{'bewegungsbruch': 107, 'starker_bruchimpuls': 49, 'gemischte_rohwelt': 1}",0.0033027786624203826,0.04797895955414013,3.806508128089172,0.08820099082802547,0.08112801910828026,-0.09917074522292994,0.7079233248407644,0.2793973184713376
stress_5m,152,"{'offene_variante_entlastend_gehalten': 100, 'rekopplungsnaehe_entlastend_gehalten': 22, 'zentrum_stabil_entlastend_gehalten': 15, 'offenheit_kurz_getragen_dann_rueckfall': 13}","{'entlastender_folgehalt': 101, 'stark_entlastender_folgehalt': 36, 'rueckfall_bei_bruch': 14, 'gemischte_folge': 1}","{'bewegungsbruch': 138, 'starker_bruchimpuls': 12, 'gemischte_rohwelt': 2}",-0.0006001571052631577,0.03567674585526316,3.057518868355263,0.09372311118421053,0.08394773684210527,-0.09802536184210527,0.6859766710526316,0.27694442105263156
sideways_5m,128,"{'offene_variante_entlastend_gehalten': 96, 'rekopplungsnaehe_entlastend_gehalten': 19, 'zentrum_stabil_entlastend_gehalten': 7, 'offenheit_kurz_getragen_dann_rueckfall': 6}","{'entlastender_folgehalt': 91, 'stark_entlastender_folgehalt': 31, 'rueckfall_bei_bruch': 5, 'rueckfall_bei_starker_expansion': 1}","{'bewegungsbruch': 98, 'starker_bruchimpuls': 24, 'gemischte_rohwelt': 6}",-0.00039363742187500006,0.0384312965625,3.231519015078125,0.088322210859375,0.0773416328125,-0.0935183984375,0.69669178125,0.2770188046875
