followhold_kind,world,data_file,rand_start_tick,follow_role,follow_duration,after_role,delta_follow_rekopplung,delta_follow_strain,rand_loudness,rand_intake,rand_sharpness,rand_rekopplung,rand_strain,raw_rows,raw_return,range_ratio,body_ratio,direction_consistency,expansion_ratio,break_ratio,movement_class,raw_shape_bucket
offenheit_kurz_getragen_dann_rueckfall,BTC_1H_2K,kontrolliert_btc_2024_1h_test1_2000_BTCUSDT.csv,228,offene_variante,7,spannungsrand_kippnaehe,0.080931,-0.107664,0.585636,0.322698,0.4712,0.585859,0.27583,71,-0.01173669,0.09944657,0.00645119,0.05714286,5.22102748,0.49060949,bewegungsbruch,starker_bruchimpuls
offenheit_kurz_getragen_dann_rueckfall,BTC_1H_2K,kontrolliert_btc_2024_1h_test1_2000_BTCUSDT.csv,1064,offene_variante,1,spannungsrand_kippnaehe,0.073842,-0.105926,0.797743,0.45566,0.700973,0.576063,0.300126,71,0.04938159,0.09116668,0.00422777,0.22857143,3.07317311,0.51430732,bewegungsbruch,bewegungsbruch
offenheit_kurz_getragen_dann_rueckfall,BTC_1H_2K,kontrolliert_btc_2024_1h_test1_2000_BTCUSDT.csv,1678,offene_variante,1,spannungsrand_kippnaehe,0.055616,-0.058036,0.73384,0.421767,0.623557,0.613595,0.253096,71,0.04943141,0.08455266,0.00367311,0.0,3.88916098,0.48245012,bewegungsbruch,bewegungsbruch
offenheit_kurz_getragen_dann_rueckfall,BTC_5M_2K,kontrolliert_btc_2024_5m_test1_2000_BTCUSDT.csv,712,offene_variante,6,spannungsrand_kippnaehe,0.067092,-0.086322,0.601077,0.329206,0.633889,0.595319,0.263027,71,-0.06324276,0.10520636,0.00324931,0.08571429,9.32881427,0.6365472,bewegungsbruch,starker_bruchimpuls
offenheit_kurz_getragen_dann_rueckfall,BTC_5M_2K,kontrolliert_btc_2024_5m_test1_2000_BTCUSDT.csv,719,offene_variante,1,spannungsrand_kippnaehe,0.027747,-0.03747,0.667118,0.365596,0.660433,0.592029,0.269443,71,-0.06282364,0.10528829,0.00337228,0.11428571,8.83999465,0.62553285,bewegungsbruch,starker_bruchimpuls
offenheit_kurz_getragen_dann_rueckfall,BTC_5M_2K,kontrolliert_btc_2024_5m_test1_2000_BTCUSDT.csv,766,offene_variante,2,spannungsrand_kippnaehe,0.047985,-0.064574,0.851396,0.474177,0.439205,0.57882,0.289771,71,0.00497174,0.03572744,0.00233762,0.02857143,3.68225828,0.53246616,bewegungsbruch,bewegungsbruch
offenheit_kurz_getragen_dann_rueckfall,BTC_5M_2K,kontrolliert_btc_2024_5m_test1_2000_BTCUSDT.csv,803,offene_variante,6,spannungsrand_kippnaehe,0.116212,-0.149028,0.867327,0.485785,0.521659,0.545942,0.328776,71,0.00187666,0.0366068,0.00201615,0.14285714,4.21585269,0.53006215,bewegungsbruch,starker_bruchimpuls
offenheit_kurz_getragen_dann_rueckfall,BTC_5M_2K,kontrolliert_btc_2024_5m_test1_2000_BTCUSDT.csv,1173,offene_variante,1,spannungsrand_kippnaehe,0.054211,-0.080181,0.738336,0.418725,0.407975,0.556085,0.314711,71,-0.02064764,0.04357966,0.00144369,0.02857143,10.48952066,0.4553746,bewegungsbruch,starker_bruchimpuls
offenheit_kurz_getragen_dann_rueckfall,DOGE_5M_10K,kontrolliert_doge_2024_5m_10k_DOGEUSDT.csv,460,offene_variante,1,spannungsrand_kippnaehe,0.109868,-0.131844,0.77154,0.452186,0.355639,0.571477,0.29144,71,-0.0166309,0.02703863,0.00168803,0.13043478,3.08065339,0.57018887,bewegungsbruch,bewegungsbruch
offenheit_kurz_getragen_dann_rueckfall,DOGE_5M_10K,kontrolliert_doge_2024_5m_10k_DOGEUSDT.csv,710,offene_variante,8,spannungsrand_kippnaehe,0.076074,-0.097195,0.690633,0.386429,0.637496,0.582715,0.282893,71,-0.09973868,0.18652003,0.00428946,0.06060606,11.04999024,0.54618239,bewegungsbruch,starker_bruchimpuls
