world,worldlage,base_zentrum,base_rand,base_rekopplung,base_strain,delta_zentrum,delta_rand,delta_rekopplung,delta_strain,delta_raw_field,delta_auditory,delta_visual,adaptation_outcome
SOL_2025_5M,offen_suchend,0.661,0.0045,0.708549,0.153342,0.0105,-0.003,0.001206,-0.001647,-0.005725,-0.006626,0.006641,beruhigend
SOL_2025_1H,normale_weltspannung,0.7125,0.0095,0.709742,0.151847,0.008,-0.004,0.001128,-0.001554,-0.005456,-0.006301,0.005928,beruhigend
BTC_2025_5M,normale_weltspannung,0.7055,0.007,0.709641,0.151705,0.0055,-0.0025,0.000982,-0.001338,-0.004751,-0.005564,0.005463,beruhigend
BTC_2025_1H,normale_weltspannung,0.752,0.0095,0.71123,0.149626,0.006,-0.006,0.000991,-0.001358,-0.004687,-0.005351,0.005081,beruhigend
KAS_2024_5M,offen_suchend,0.6935,0.0065,0.70939,0.152239,0.0135,-0.0035,0.001104,-0.001502,-0.005311,-0.006148,0.006234,beruhigend
PAXG_2025_5M,ruhig_zentrumsnah,0.8305,0.002,0.717055,0.141289,0.005,-0.001,0.000626,-0.000864,-0.003684,-0.004193,0.002757,neutral
SOL_2023_NEG,normale_weltspannung,0.7113,0.0075,0.710037,0.151132,0.0081,-0.0046,0.001021,-0.001399,-0.004899,-0.005604,0.005341,beruhigend
SOL_2024_SIDE,offen_suchend,0.6919,0.0054,0.709555,0.151989,0.0088,-0.0036,0.001101,-0.001509,-0.005294,-0.006094,0.005723,beruhigend
SOL_2025_STRESS,normale_weltspannung,0.7011,0.006,0.709911,0.151539,0.0091,-0.0035,0.001021,-0.001403,-0.00491,-0.005692,0.005285,beruhigend
SOL_2026_STABLE,normale_weltspannung,0.7307,0.008,0.710592,0.150639,0.0082,-0.0042,0.001016,-0.001394,-0.004816,-0.005571,0.005134,beruhigend
BTC_2024_5M,normale_weltspannung,0.7132,0.0053,0.710275,0.150865,0.0062,-0.0031,0.000982,-0.001343,-0.00465,-0.005349,0.004964,beruhigend
DOGE_2025_5M,normale_weltspannung,0.7135,0.0068,0.710329,0.151004,0.0075,-0.0044,0.000973,-0.001336,-0.004734,-0.005411,0.004903,beruhigend
XRP_2025_5M,normale_weltspannung,0.7248,0.0057,0.710706,0.150429,0.0077,-0.0029,0.000958,-0.001312,-0.004556,-0.005228,0.0048,beruhigend
PAXG_2024_5M,normale_weltspannung,0.7566,0.0019,0.713269,0.146393,0.0082,-0.0012,0.000906,-0.001251,-0.004909,-0.005599,0.004298,beruhigend
SOL_2024_1H,offen_suchend,0.6965,0.006,0.709245,0.152436,0.0095,-0.0045,0.001108,-0.001506,-0.005252,-0.006065,0.00605,beruhigend
BTC_2024_1H,normale_weltspannung,0.7275,0.01,0.710111,0.15127,0.0055,-0.007,0.001052,-0.001447,-0.004971,-0.005737,0.005361,beruhigend
DOGE_2024_5M,normale_weltspannung,0.7133,0.006,0.710198,0.151138,0.0084,-0.0034,0.001012,-0.001393,-0.004895,-0.005589,0.005111,beruhigend
DOGE_2024_1H,normale_weltspannung,0.725524,0.007514,0.710311,0.151032,0.006716,-0.005693,0.001018,-0.001403,-0.004764,-0.00548,0.005045,beruhigend
XRP_2024_5M,normale_weltspannung,0.7218,0.0087,0.710483,0.150742,0.0058,-0.0055,0.001007,-0.00139,-0.004902,-0.005533,0.005055,beruhigend
XRP_2024_1H,normale_weltspannung,0.739868,0.008083,0.710978,0.150102,0.007286,-0.003188,0.000949,-0.00131,-0.004555,-0.005207,0.004671,beruhigend
PAXG_2025_1H,normale_weltspannung,0.73242,0.004795,0.710898,0.14999,0.006735,-0.002512,0.000986,-0.001345,-0.004616,-0.005279,0.005047,beruhigend
KAS_2024_1H,offen_suchend,0.6795,0.009,0.708656,0.153162,0.015,-0.004,0.001177,-0.001616,-0.005617,-0.006379,0.00645,beruhigend
DESYNC,ueberstabil_sinnesdominant,0.974471,0.009059,0.738534,0.113472,0.0,-0.008588,0.000176,-0.000265,-0.001114,-0.001001,0.000139,neutral
PURE_HEARING,ueberstabil_sinnesdominant,0.934881,0.006786,0.735318,0.118141,0.0,-0.000119,0.000146,-0.000219,-0.000919,-0.000827,0.000129,neutral
VISUAL_BREAKS,ueberstabil_sinnesdominant,0.931818,0.000303,0.727846,0.13037,0.000152,-0.000303,9e-06,-9e-06,-5.6e-05,-5.7e-05,0.000123,neutral
VISUAL_CHAOTIC_HEARING_STABLE,ueberstabil_sinnesdominant,0.999375,0.0,0.743456,0.105411,0.0,0.0,2e-06,1e-06,-1e-05,-1.3e-05,0.000125,neutral
VISUAL_STABLE_HEARING_CHAOTIC,ueberstabil_mit_randreiz,0.950541,0.024595,0.73676,0.116259,0.0,-0.023919,0.000463,-0.000704,-0.002897,-0.002584,0.000194,stabil_leicht
RECOUPLING_CHAOTIC_TONE,ueberstabil_mit_randreiz,0.931061,0.02303,0.731412,0.124196,0.0,-0.000303,0.000475,-0.000719,-0.00301,-0.002683,0.000218,neutral
RAND_KIPP,ueberstabil_sinnesdominant,0.880111,0.000556,0.730279,0.124282,0.003778,-0.000445,0.000503,-0.000642,-0.001874,-0.002319,0.003256,neutral
