world,start,end,class,role_count,durable_role_count,long_role_count,strain_role_count,unique_symbols,episodes,avg_rekopplung,avg_carry,avg_strain,avg_afterimage,top_roles,data_path
BRUCH_RAND_GEDAEMPFT,0,2000,einzelrekopplung,1,1,1,0,135,1994,0.7362750573859256,0.5786006158799023,0.12887339522150912,0.5926470470291015,dio_mcm_episode_0d9qets:field_carried:1994,data\scan_bruch-rand-gedaempft_start0_size2000.csv
BRUCH_RAND_GEDAEMPFT,1000,3000,einzelrekopplung,1,1,1,0,138,1994,0.7326288391050243,0.5711518467451929,0.12921770185389544,0.5228856835891699,dio_mcm_episode_0d9qets:field_carried:1994,data\scan_bruch-rand-gedaempft_start1000_size2000.csv
BRUCH_RAND_GEDAEMPFT,2000,4000,uebergang_mit_randkontakt,3,2,2,1,82,1994,0.7457253578585764,0.5939395791515688,0.12312489515721621,0.6832735359908311,dio_mcm_episode_11c3uxd:field_carried:1527; dio_mcm_episode_0wjn8vm:field_carried:466; dio_mcm_episode_15kj0zg:field_strained:1,data\scan_bruch-rand-gedaempft_start2000_size2000.csv
BRUCH_RAND_GEDAEMPFT,3000,5000,uebergang_mit_randkontakt,3,2,2,1,57,1994,0.7510163190460155,0.6038977429033332,0.12163903925903423,0.7568485725390044,dio_mcm_episode_0wjn8vm:field_carried:1466; dio_mcm_episode_1bdmoa8:field_carried:527; dio_mcm_episode_15kj0zg:field_strained:1,data\scan_bruch-rand-gedaempft_start3000_size2000.csv
BRUCH_RAND_GEDAEMPFT,4000,6000,einzelrekopplung,1,1,1,0,18,1994,0.7569522552147069,0.6152436447027768,0.11802230950879188,0.8203232057662465,dio_mcm_episode_1v8o9kh:field_carried:1994,data\scan_bruch-rand-gedaempft_start4000_size2000.csv
BRUCH_RAND_GEDAEMPFT,5000,7000,einzelrekopplung,1,1,1,0,3,1994,0.7584800405785433,0.6193498447657567,0.11825659403888233,0.8490684214347749,dio_mcm_episode_1v8o9kh:field_carried:1994,data\scan_bruch-rand-gedaempft_start5000_size2000.csv
BRUCH_RAND_GEDAEMPFT,6000,8000,einzelrekopplung,1,1,1,0,3,1994,0.7585065785185786,0.619400874584151,0.11829785416073489,0.850589693332096,dio_mcm_episode_1v8o9kh:field_carried:1994,data\scan_bruch-rand-gedaempft_start6000_size2000.csv
RAND_DOMINANZ_GEDAEMPFT,0,2000,mehrrollen_kandidat,5,3,3,2,163,1994,0.727932771397677,0.5647132569994442,0.13511427434276682,0.5174640104921976,dio_mcm_episode_1q3us3f:field_carried:1250; dio_mcm_episode_1bdmoa8:field_carried:371; dio_mcm_episode_1k5qdaq:field_carried:371; dio_mcm_episode_0eghs1d:field_strained:1; dio_mcm_episode_15kj0zg:field_strained:1,data\scan_rand-dominanz-gedaempft_start0_size2000.csv
RAND_DOMINANZ_GEDAEMPFT,1000,3000,einzelrekopplung,1,1,1,0,156,1994,0.7288937709231036,0.565210900302554,0.13283689249420697,0.48617537587810883,dio_mcm_episode_0f7nmol:field_carried:1994,data\scan_rand-dominanz-gedaempft_start1000_size2000.csv
RAND_DOMINANZ_GEDAEMPFT,2000,4000,einzelrekopplung,1,1,1,0,117,1994,0.736783799030652,0.5791946252591169,0.12858854157679386,0.5695726738091104,dio_mcm_episode_0d9qets:field_carried:1994,data\scan_rand-dominanz-gedaempft_start2000_size2000.csv
RAND_DOMINANZ_GEDAEMPFT,3000,5000,einzelrekopplung,1,1,1,0,75,1994,0.7473216753276187,0.5992576888659077,0.12526128174296516,0.7327745762533106,dio_mcm_episode_0d9qets:field_carried:1994,data\scan_rand-dominanz-gedaempft_start3000_size2000.csv
RAND_DOMINANZ_GEDAEMPFT,4000,6000,einzelrekopplung,1,1,1,0,15,1994,0.7559743370435626,0.612925843096493,0.11765705843339234,0.7948796079317536,dio_mcm_episode_1v8o9kh:field_carried:1994,data\scan_rand-dominanz-gedaempft_start4000_size2000.csv
RAND_DOMINANZ_GEDAEMPFT,5000,7000,einzelrekopplung,1,1,1,0,8,1994,0.7566012704197288,0.614700151712939,0.11778553087533254,0.8061963068802374,dio_mcm_episode_1v8o9kh:field_carried:1994,data\scan_rand-dominanz-gedaempft_start5000_size2000.csv
RAND_DOMINANZ_GEDAEMPFT,6000,8000,einzelrekopplung,1,1,1,0,8,1994,0.756525511242817,0.6146849560318866,0.11774483214170454,0.8054251768107129,dio_mcm_episode_1v8o9kh:field_carried:1994,data\scan_rand-dominanz-gedaempft_start6000_size2000.csv
