row_type,condition,asset,core_pairs,state_profile,quality_profile,family,phase,baseline_quality,followup_state,followup_quality,first_core_quality,second_core_quality
worldstate_core_summary,ruhig,BTC,27,lokale_qualitaet_reproduziert:16; lokale_qualitaet_wird_nullnah:3; lokale_qualitaet_wird_nachhallnah:3; lokale_qualitaet_wird_offen:3; fehlt_im_folgefenster:2,phase_nullnah:18; phase_offen_gemischt:4; phase_nachhallnah_ohne_kern:3; fehlt:2,,,,,,,
worldstate_core_summary,stress,BTC,27,lokale_qualitaet_reproduziert:19; lokale_qualitaet_wird_nachhallnah:3; lokale_qualitaet_wird_kernnah:2; lokale_qualitaet_wird_offen:2; lokale_qualitaet_wird_nullnah:1,phase_nullnah:18; phase_offen_gemischt:4; phase_nachhallnah_ohne_kern:3; phase_kernnah:2,,,,,,,
worldstate_core_detail,ruhig,BTC,,,,dio_00ly,spaet,phase_offen_gemischt,lokale_qualitaet_wird_nullnah,phase_nullnah,phase_offen_gemischt,phase_offen_gemischt
worldstate_core_detail,ruhig,BTC,,,,dio_06er,frueh,phase_nullnah,lokale_qualitaet_reproduziert,phase_nullnah,phase_nullnah,phase_nullnah
worldstate_core_detail,ruhig,BTC,,,,dio_06s7,frueh,phase_nullnah,lokale_qualitaet_reproduziert,phase_nullnah,phase_nullnah,phase_nullnah
worldstate_core_detail,ruhig,BTC,,,,dio_09bn,spaet,phase_nullnah,lokale_qualitaet_reproduziert,phase_nullnah,phase_nullnah,phase_nullnah
worldstate_core_detail,ruhig,BTC,,,,dio_0dd2,spaet,phase_offen_gemischt,lokale_qualitaet_reproduziert,phase_offen_gemischt,phase_offen_gemischt,phase_offen_gemischt
worldstate_core_detail,ruhig,BTC,,,,dio_0l7p,mitte,phase_nullnah,lokale_qualitaet_reproduziert,phase_nullnah,phase_nullnah,phase_nullnah
worldstate_core_detail,ruhig,BTC,,,,dio_0nlj,mitte,phase_nullnah,lokale_qualitaet_wird_nachhallnah,phase_nachhallnah_ohne_kern,phase_nullnah,phase_nullnah
worldstate_core_detail,ruhig,BTC,,,,dio_0nlj,spaet,phase_nullnah,lokale_qualitaet_wird_nachhallnah,phase_nachhallnah_ohne_kern,phase_nullnah,phase_nullnah
