asset,label,families,kernfamilien,brueckenfamilien,oberflaechen,source_family_overlap,source_kern_overlap,avg_afterimage_delta,avg_temporal_delta,dominant_reading,reproduction_state,kind,window_start,row_type,worlds,avg_kernfamilien,avg_source_family_overlap,avg_source_kern_overlap,states,source_edge,kern_edge,afterimage_edge,temporal_edge,field_edge_score,reading,source_year,family,total_count,phase_presence,dominant_role,count_frueh,share_frueh,rekopplung_frueh,strain_frueh,afterimage_frueh,temporal_frueh,count_mitte,share_mitte,rekopplung_mitte,strain_mitte,afterimage_mitte,temporal_mitte,count_spaet,share_spaet,rekopplung_spaet,strain_spaet,afterimage_spaet,temporal_spaet,share_delta_spaet_frueh,afterimage_delta_spaet_frueh,temporal_delta_spaet_frueh,strain_delta_spaet_frueh,family_reading
PAXG,start4000_null_random_6000,36,31,0,5,0.6153846153846154,0.2558139534883721,0.3106154567688455,0.1497967030225631,kernfamilie_mit_feldzeitverdichtung,reifungsrolle_reproduziert,null_random,4000,summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAXG,start4000_null_shuffle_6000,36,32,0,4,0.5555555555555556,0.2222222222222222,0.31565914785620924,0.15209281588338214,kernfamilie_mit_feldzeitverdichtung,reifungsrolle_reproduziert,null_shuffle,4000,summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAXG,start4000_real_6000,36,29,0,7,0.5849056603773585,0.2682926829268293,0.32875703730752925,0.15890538882294342,kernfamilie_mit_feldzeitverdichtung,reifungsrolle_reproduziert,real,4000,summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.32875703730752925,0.15890538882294342,,,real,,kind_summary,1,29.0,0.5849056603773585,0.2682926829268293,reifungsrolle_reproduziert:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.3106154567688455,0.1497967030225631,,,null_random,,kind_summary,1,31.0,0.6153846153846154,0.2558139534883721,reifungsrolle_reproduziert:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.31565914785620924,0.15209281588338214,,,null_shuffle,,kind_summary,1,32.0,0.5555555555555556,0.2222222222222222,reifungsrolle_reproduziert:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAXG,,,,,,,,,,,,,4000,window_summary,,,,,,-0.030478955007256947,0.012478729438457181,0.01309788945132001,0.006812572939561279,0.0009822588541236886,graduell_gemischt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAXG,start4000_real_6000,,,,,,,,,,,real,4000,detail,,,,,,,,,,,,2025,dio_104t,417,3,field_stabil,148,0.07407407407407407,0.7616787432432433,0.16015037837837837,0.7587181891891891,0.9068807094594594,123,0.06156156156156156,0.7619934552845529,0.16419073170731707,0.8309118048780487,0.9442920162601627,146,0.07307307307307308,0.7663966712328767,0.1629490616438356,0.8285010753424658,0.9451104863013698,-0.0010010010010009923,0.06978288615327666,0.03822977684191042,0.0027986832654572358,anschlussfaehige_oberflaeche
PAXG,start4000_real_6000,,,,,,,,,,,real,4000,detail,,,,,,,,,,,,2025,dio_14wj,362,3,field_stabil,133,0.06656656656656657,0.7787917518796992,0.140592,0.7593127819548873,0.9093215413533834,116,0.05805805805805806,0.7791511896551725,0.14364291379310345,0.8430770603448275,0.9505097499999999,113,0.05655655655655656,0.7815173097345134,0.14349940707964604,0.842124831858407,0.9524309646017698,-0.010010010010010006,0.08281204990351976,0.0431094232483864,0.0029074070796460405,anschlussfaehige_oberflaeche
PAXG,start4000_real_6000,,,,,,,,,,,real,4000,detail,,,,,,,,,,,,2025,dio_0l7p,203,3,field_stabil,73,0.03653653653653654,0.7664671780821918,0.14870950684931505,0.7197177397260274,0.8823497260273973,73,0.03653653653653654,0.7694687534246576,0.15388627397260274,0.8577418767123288,0.9496385753424658,57,0.028528528528528527,0.7701735789473685,0.1545928245614035,0.8660278596491228,0.9540100350877193,-0.008008008008008011,0.1463101199230954,0.07166030906032206,0.005883317712088443,anschlussfaehige_oberflaeche
