source,token,family,role,zone,worlds,observations,neighbor_count,avg_rekopplung,avg_strain,center_share,open_share,rand_share,drift_reading
962_MCM_VERDICHTUNGSZONEN_ACHTE_WELTGRUPPE.csv,dio_mcm_episode_0hx9wod,dio_1kvy,spannungsrand_kippnaehe,hoeherer_cluster_uebergang,"SOL2024_15M,SOL2024_30M,SOL2025_15M,SOL2025_30M",45,84,0.563267,0.346889,0.0,0.022222,0.977778,spaeter_spannungsrand
962_MCM_VERDICHTUNGSZONEN_ACHTE_WELTGRUPPE.csv,dio_mcm_episode_1be7j1w,dio_1uk7,offene_variante,hoeherer_cluster_uebergang,"SOL2024_15M,SOL2024_30M,SOL2025_15M,SOL2025_30M",40,75,0.604497,0.243103,0.2,0.6,0.2,spaete_offene_varianz
962_MCM_VERDICHTUNGSZONEN_ACHTE_WELTGRUPPE.csv,dio_mcm_episode_0je96vc,dio_1rx7,spannungsrand_kippnaehe,randnahe_verdichtung,"SOL2024_15M,SOL2024_30M,SOL2025_15M,SOL2025_30M",28,52,0.561711,0.330303,0.0,0.0,1.0,spaeter_spannungsrand
962_MCM_VERDICHTUNGSZONEN_ACHTE_WELTGRUPPE.csv,dio_mcm_episode_128nsns,dio_1l13,offene_variante,hoeherer_cluster_uebergang,"SOL2024_15M,SOL2024_30M,SOL2025_15M,SOL2025_30M",24,43,0.597847,0.23738,0.166667,0.666667,0.166667,spaete_offene_varianz
962_MCM_VERDICHTUNGSZONEN_ACHTE_WELTGRUPPE.csv,dio_mcm_episode_1hngpuz,dio_08iw,spannungsrand_kippnaehe,randnahe_verdichtung,"SOL2024_15M,SOL2024_30M,SOL2025_15M,SOL2025_30M",24,43,0.553569,0.3553,0.0,0.0,1.0,spaeter_spannungsrand
962_MCM_VERDICHTUNGSZONEN_ACHTE_WELTGRUPPE.csv,dio_mcm_episode_1ov3cz9,dio_1co8,offene_variante,hoeherer_cluster_uebergang,"SOL2024_15M,SOL2024_30M,SOL2025_15M,SOL2025_30M",22,42,0.588737,0.263177,0.0,0.590909,0.409091,spaete_offene_varianz
962_MCM_VERDICHTUNGSZONEN_ACHTE_WELTGRUPPE.csv,dio_mcm_episode_1pdseek,dio_03t5,spannungsrand_kippnaehe,randnahe_verdichtung,"SOL2024_15M,SOL2024_30M,SOL2025_15M,SOL2025_30M",21,40,0.549722,0.366879,0.0,0.0,1.0,spaeter_spannungsrand
962_MCM_VERDICHTUNGSZONEN_ACHTE_WELTGRUPPE.csv,dio_mcm_episode_1pns03j,dio_1djv,spannungsrand_kippnaehe,randnahe_verdichtung,"SOL2024_15M,SOL2024_30M,SOL2025_15M,SOL2025_30M",20,40,0.5565,0.343329,0.0,0.0,1.0,spaeter_spannungsrand
962_MCM_VERDICHTUNGSZONEN_ACHTE_WELTGRUPPE.csv,dio_mcm_episode_0hnaaze,dio_116x,spannungsrand_kippnaehe,randnahe_verdichtung,"SOL2024_15M,SOL2024_30M,SOL2025_15M,SOL2025_30M",19,37,0.559966,0.349584,0.0,0.0,1.0,spaeter_spannungsrand
962_MCM_VERDICHTUNGSZONEN_ACHTE_WELTGRUPPE.csv,dio_mcm_episode_1bna9pq,dio_1s4c,spannungsrand_kippnaehe,randnahe_verdichtung,"SOL2024_15M,SOL2024_30M,SOL2025_15M,SOL2025_30M",19,35,0.557937,0.348583,0.0,0.0,1.0,spaeter_spannungsrand
962_MCM_VERDICHTUNGSZONEN_ACHTE_WELTGRUPPE.csv,dio_mcm_episode_1bo74qv,dio_07ao,offene_variante,hoeherer_cluster_uebergang,"SOL2024_15M,SOL2024_30M,SOL2025_15M,SOL2025_30M",18,34,0.6027,0.238709,0.222222,0.611111,0.166667,spaete_offene_varianz
962_MCM_VERDICHTUNGSZONEN_ACHTE_WELTGRUPPE.csv,dio_mcm_episode_1cz6mbd,dio_01um,spannungsrand_kippnaehe,randnahe_verdichtung,"SOL2024_15M,SOL2024_30M,SOL2025_15M,SOL2025_30M",17,33,0.559547,0.334864,0.0,0.0,1.0,spaeter_spannungsrand
962_MCM_VERDICHTUNGSZONEN_ACHTE_WELTGRUPPE.csv,dio_mcm_episode_0jo8skb,dio_18ke,spannungsrand_kippnaehe,hoeherer_cluster_uebergang,"SOL2024_15M,SOL2024_30M,SOL2025_30M",16,32,0.560225,0.356544,0.0,0.0625,0.9375,spaeter_spannungsrand
962_MCM_VERDICHTUNGSZONEN_ACHTE_WELTGRUPPE.csv,dio_mcm_episode_1hd5g2b,dio_0zar,spannungsrand_kippnaehe,randnahe_verdichtung,"SOL2024_15M,SOL2024_30M,SOL2025_15M,SOL2025_30M",16,30,0.556034,0.369239,0.0,0.0,1.0,spaeter_spannungsrand
962_MCM_VERDICHTUNGSZONEN_ACHTE_WELTGRUPPE.csv,dio_mcm_episode_1fgike5,dio_00o1,spannungsrand_kippnaehe,randnahe_verdichtung,"SOL2024_15M,SOL2024_30M,SOL2025_15M,SOL2025_30M",15,30,0.56003,0.335585,0.0,0.0,1.0,spaeter_spannungsrand
962_MCM_VERDICHTUNGSZONEN_ACHTE_WELTGRUPPE.csv,dio_mcm_episode_1rc968y,dio_1yu0,spannungsrand_kippnaehe,randnahe_verdichtung,"SOL2024_15M,SOL2024_30M,SOL2025_15M,SOL2025_30M",15,30,0.546798,0.361703,0.0,0.0,1.0,spaeter_spannungsrand
962_MCM_VERDICHTUNGSZONEN_ACHTE_WELTGRUPPE.csv,dio_mcm_episode_1wq16f8,dio_1fjm,offene_variante,hoeherer_cluster_uebergang,"SOL2024_15M,SOL2024_30M,SOL2025_15M,SOL2025_30M",16,29,0.604731,0.223154,0.25,0.625,0.125,spaete_offene_varianz
962_MCM_VERDICHTUNGSZONEN_ACHTE_WELTGRUPPE.csv,dio_mcm_episode_1bdao0r,dio_0eld,spannungsrand_kippnaehe,randnahe_verdichtung,"SOL2024_15M,SOL2024_30M,SOL2025_15M,SOL2025_30M",15,29,0.55113,0.357844,0.0,0.0,1.0,spaeter_spannungsrand
962_MCM_VERDICHTUNGSZONEN_ACHTE_WELTGRUPPE.csv,dio_mcm_episode_1hdh460,dio_02em,spannungsrand_kippnaehe,randnahe_verdichtung,"SOL2024_15M,SOL2024_30M,SOL2025_15M,SOL2025_30M",14,28,0.562883,0.340329,0.0,0.0,1.0,spaeter_spannungsrand
962_MCM_VERDICHTUNGSZONEN_ACHTE_WELTGRUPPE.csv,dio_mcm_episode_1tktg9t,dio_097d,spannungsrand_kippnaehe,hoeherer_cluster_uebergang,"SOL2024_15M,SOL2024_30M,SOL2025_15M,SOL2025_30M",14,26,0.586821,0.305739,0.0,0.357143,0.642857,spaeter_spannungsrand
962_MCM_VERDICHTUNGSZONEN_ACHTE_WELTGRUPPE.csv,dio_mcm_episode_1r29kjz,dio_1m1t,spannungsrand_kippnaehe,randnahe_verdichtung,"SOL2024_15M,SOL2024_30M,SOL2025_30M",13,26,0.556234,0.344398,0.0,0.0,1.0,spaeter_spannungsrand
962_MCM_VERDICHTUNGSZONEN_ACHTE_WELTGRUPPE.csv,dio_mcm_episode_1xjzzi5,dio_1bxr,offene_variante,hoeherer_cluster_uebergang,"SOL2024_15M,SOL2024_30M,SOL2025_15M,SOL2025_30M",13,26,0.593032,0.270041,0.0,0.615385,0.384615,spaete_offene_varianz
962_MCM_VERDICHTUNGSZONEN_ACHTE_WELTGRUPPE.csv,dio_mcm_episode_11j7ij1,dio_13tg,spannungsrand_kippnaehe,randnahe_verdichtung,"SOL2024_15M,SOL2024_30M,SOL2025_15M,SOL2025_30M",13,24,0.555963,0.325663,0.0,0.0,1.0,spaeter_spannungsrand
962_MCM_VERDICHTUNGSZONEN_ACHTE_WELTGRUPPE.csv,dio_mcm_episode_11yciv4,dio_1buz,spannungsrand_kippnaehe,hoeherer_cluster_uebergang,"SOL2024_15M,SOL2024_30M,SOL2025_15M,SOL2025_30M",13,23,0.599884,0.26407,0.153846,0.384615,0.461538,spaeter_spannungsrand
962_MCM_VERDICHTUNGSZONEN_ACHTE_WELTGRUPPE.csv,dio_mcm_episode_1xpok4y,dio_0zyc,spannungsrand_kippnaehe,randnahe_verdichtung,"SOL2024_15M,SOL2024_30M,SOL2025_15M,SOL2025_30M",12,23,0.553845,0.345261,0.0,0.0,1.0,spaeter_spannungsrand
962_MCM_VERDICHTUNGSZONEN_ACHTE_WELTGRUPPE.csv,dio_mcm_episode_1197wu2,dio_0jlm,spannungsrand_kippnaehe,randnahe_verdichtung,"SOL2024_15M,SOL2024_30M,SOL2025_15M,SOL2025_30M",12,22,0.554762,0.337401,0.0,0.0,1.0,spaeter_spannungsrand
962_MCM_VERDICHTUNGSZONEN_ACHTE_WELTGRUPPE.csv,dio_mcm_episode_132mlqp,dio_0i9w,offene_variante,hoeherer_cluster_uebergang,"SOL2024_15M,SOL2024_30M,SOL2025_15M,SOL2025_30M",12,22,0.611287,0.225334,0.25,0.583333,0.166667,spaete_offene_varianz
962_MCM_VERDICHTUNGSZONEN_ACHTE_WELTGRUPPE.csv,dio_mcm_episode_1xji0ei,dio_1ybc,offene_variante,hoeherer_cluster_uebergang,"SOL2024_15M,SOL2024_30M,SOL2025_15M,SOL2025_30M",11,22,0.59551,0.25979,0.181818,0.454545,0.363636,spaete_offene_varianz
