preview_symbol,world,occurrences,target_profile_share,anchor_avg_rekopplung,anchor_avg_strain,anchor_avg_afterimage,anchor_avg_recurrence,anchor_effects,surface_cause,strength_reading
dio_mcm_episode_02xikfk,EXPANSION10K_AFTER,574,0.198606,0.641826,0.199477,0.001002,0.066806,stabil:382;tragend_unruhig:158;kippend:34,zu_breit_und_zu_wenig_nachhall,breite_oberflaeche
dio_mcm_episode_02xikfk,EXPANSION10K_REPRO,574,0.198606,0.641826,0.199477,0.001002,0.066806,stabil:382;tragend_unruhig:158;kippend:34,zu_breit_und_zu_wenig_nachhall,breite_oberflaeche
dio_mcm_episode_0vkdfwc,STABLE10K_AFTER,26,0.192308,0.649300,0.173471,0.001523,0.046474,stabil:23;tragend_unruhig:3,feld_traegt_aber_profil_zu_duenn,breite_oberflaeche
dio_mcm_episode_02xikfk,STABLE10K_AFTER,70,0.185714,0.649566,0.186468,0.004242,0.089590,stabil:55;tragend_unruhig:12;kippend:3,feld_traegt_aber_profil_zu_duenn,breite_oberflaeche
dio_mcm_episode_0vkdfwc,EXPANSION10K_AFTER,28,0.178571,0.646843,0.178148,0.001482,0.050737,stabil:26;tragend_unruhig:2,feld_traegt_aber_profil_zu_duenn,breite_oberflaeche
dio_mcm_episode_0vkdfwc,EXPANSION10K_REPRO,28,0.178571,0.646843,0.178148,0.001482,0.050737,stabil:26;tragend_unruhig:2,feld_traegt_aber_profil_zu_duenn,breite_oberflaeche
dio_mcm_episode_1t5bcxp,STABLE10K_AFTER,2599,0.176991,0.648933,0.184893,0.001687,0.049774,stabil:2085;tragend_unruhig:406;kippend:108,zu_breit_und_zu_wenig_nachhall,breite_oberflaeche
dio_mcm_episode_1t5bcxp,SIDEWAYS,656,0.176829,0.647826,0.179154,0.001525,0.014881,stabil:556;tragend_unruhig:84;kippend:16,zu_breit_und_zu_wenig_nachhall,breite_oberflaeche
dio_mcm_episode_02xikfk,STRESS10K_AFTER,153,0.176471,0.644018,0.190778,0.002290,0.056038,stabil:114;tragend_unruhig:31;kippend:8,feld_traegt_aber_profil_zu_duenn,breite_oberflaeche
dio_mcm_episode_0vkdfwc,STRESS10K_AFTER,46,0.173913,0.647205,0.191198,0.000107,0.021739,stabil:34;tragend_unruhig:10;kippend:2,feld_traegt_aber_profil_zu_duenn,breite_oberflaeche
dio_mcm_episode_1t5bcxp,STRESS10K_AFTER,2960,0.169932,0.648979,0.182718,0.001953,0.050867,stabil:2408;tragend_unruhig:433;kippend:119,zu_breit_und_zu_wenig_nachhall,breite_oberflaeche
dio_mcm_episode_1t5bcxp,EXPANSION10K_AFTER,2002,0.165335,0.648920,0.187142,0.001777,0.072012,stabil:1589;tragend_unruhig:326;kippend:87,zu_breit_und_zu_wenig_nachhall,breite_oberflaeche
dio_mcm_episode_1t5bcxp,EXPANSION10K_REPRO,2002,0.165335,0.648920,0.187142,0.001777,0.072012,stabil:1589;tragend_unruhig:326;kippend:87,zu_breit_und_zu_wenig_nachhall,breite_oberflaeche
dio_mcm_episode_02xikfk,SIDEWAYS,25,0.160000,0.640864,0.213529,0.000000,0.000000,stabil:16;tragend_unruhig:7;kippend:2,feld_traegt_aber_profil_zu_duenn,breite_oberflaeche
dio_mcm_episode_183drjy,EXPANSION10K_AFTER,5779,0.119052,0.657739,0.171334,0.002879,0.106681,stabil:4946;tragend_unruhig:668;kippend:165,zu_breit_und_zu_wenig_nachhall,breite_oberflaeche
dio_mcm_episode_183drjy,EXPANSION10K_REPRO,5779,0.119052,0.657739,0.171334,0.002879,0.106681,stabil:4946;tragend_unruhig:668;kippend:165,zu_breit_und_zu_wenig_nachhall,breite_oberflaeche
dio_mcm_episode_183drjy,SIDEWAYS,804,0.115672,0.653510,0.171249,0.002413,0.042945,stabil:692;tragend_unruhig:87;kippend:25,zu_breit_und_zu_wenig_nachhall,breite_oberflaeche
dio_mcm_episode_183drjy,STRESS10K_AFTER,5933,0.114782,0.658572,0.169046,0.003793,0.126699,stabil:5133;tragend_unruhig:636;kippend:164,zu_breit_und_zu_wenig_nachhall,breite_oberflaeche
dio_mcm_episode_183drjy,STABLE10K_AFTER,6107,0.110693,0.658442,0.171057,0.003282,0.120595,stabil:5190;tragend_unruhig:688;kippend:229,zu_breit_und_zu_wenig_nachhall,breite_oberflaeche
dio_mcm_episode_0vkdfwc,SIDEWAYS,3,0.000000,0.642091,0.211227,0.000000,0.000000,stabil:2;tragend_unruhig:1,feld_traegt_aber_profil_zu_duenn,breite_oberflaeche
