preview_symbol,binding_class,real_depth_state,null_depth_state,real_world_count,null_world_count,real_count,null_count,real_depth_score,null_depth_score,score_delta_real_minus_null,real_profile,null_profile
dio_mcm_episode_1rj8742,allgemeiner_strukturanker,multiworld_depth_seed,multiworld_depth_seed,10,4,3728,2904,0.716056,0.724564,-0.008508,0.705813,0.712979
dio_mcm_episode_1eav7xq,allgemeiner_strukturanker,multiworld_depth_seed,multiworld_depth_seed,10,4,68,38,0.710787,0.706984,0.003803,0.698843,0.696624
dio_mcm_episode_0vcr3lw,allgemeiner_strukturanker,multiworld_depth_seed,multiworld_depth_seed,10,4,69,30,0.693219,0.688802,0.004417,0.686043,0.681871
dio_mcm_episode_1qlxgj7,allgemeiner_strukturanker,multiworld_depth_seed,multiworld_depth_seed,10,4,1729,1058,0.692808,0.701067,-0.008259,0.684736,0.691679
dio_mcm_episode_0bsaqu1,allgemeiner_strukturanker,multiworld_depth_seed,multiworld_depth_seed,10,4,79,37,0.679997,0.684388,-0.004391,0.673294,0.677663
dio_mcm_episode_08g1nk4,allgemeiner_strukturanker,multiworld_depth_seed,multiworld_depth_seed,10,4,54,34,0.668672,0.699337,-0.030665,0.659798,0.685232
dio_mcm_episode_0tfzgic,allgemeiner_strukturanker,multiworld_depth_seed,multiworld_depth_seed,8,3,748,262,0.606447,0.601572,0.004875,0.615628,0.612125
dio_mcm_episode_0icnf2v,allgemeiner_strukturanker,multiworld_depth_seed,multiworld_depth_seed,8,4,15168,25893,0.836905,0.834419,0.002486,0.803236,0.801212
dio_mcm_episode_14sn1ov,allgemeiner_strukturanker,multiworld_depth_seed,multiworld_depth_seed,8,4,52,35,0.716564,0.726717,-0.010153,0.701162,0.709715
dio_mcm_episode_0hvxln3,allgemeiner_strukturanker,multiworld_depth_seed,multiworld_depth_seed,8,4,46,26,0.669266,0.679689,-0.010423,0.666275,0.675347
dio_mcm_episode_0wo0tz1,allgemeiner_strukturanker,multiworld_depth_seed,multiworld_depth_seed,7,3,1179,935,0.703216,0.686969,0.016247,0.695722,0.68291
dio_mcm_episode_0tnueiv,allgemeiner_strukturanker,multiworld_depth_seed,multiworld_depth_seed,7,3,24,8,0.700171,0.674511,0.02566,0.696155,0.673782
dio_mcm_episode_0he6atw,allgemeiner_strukturanker,multiworld_depth_seed,multiworld_depth_seed,5,3,13,6,0.761097,0.780024,-0.018927,0.747774,0.765117
dio_mcm_episode_0b8eoy2,allgemeiner_strukturanker,multiworld_depth_seed,multiworld_depth_seed,5,4,40,27,0.730355,0.718565,0.01179,0.710444,0.700134
