preview_symbol,before_role,after_role,count_delta,world_delta,depth_delta,top_world_after,top_world_before,top_world_changed
dio_mcm_episode_12tgchq,breite_grundrolle,breite_grundrolle,3926,1,0.001211,FOLLOW_EQ10K_XLM_2024_5M,FOLLOW_EQ10K_XLM_2024_5M,0
dio_mcm_episode_1qlxgj7,breite_grundrolle,breite_grundrolle,2722,1,0.002016,FOLLOW_EQ10K_PEPE_2024_5M,FOLLOW_EQ10K_XLM_2024_5M,1
dio_mcm_episode_0hiolzy,new,milieurolle,800,5,0.87146,FOLLOW_EQ10K_PEPE_2024_5M,,0
dio_mcm_episode_1fdlu6e,breite_grundrolle,breite_grundrolle,689,1,0.007473,REAL_TIME_2024_BTC_5M,REAL_TIME_2024_BTC_5M,0
dio_mcm_episode_0vig3jz,breite_grundrolle,breite_grundrolle,586,1,0.001614,REAL_TIME_2024_PAXG,REAL_TIME_2024_PAXG,0
dio_mcm_episode_0icnf2v,breite_grundrolle,breite_grundrolle,471,1,0.00013,REAL_TIME_2023_SOL_ALTSEQ_A,REAL_TIME_2023_SOL_ALTSEQ_A,0
dio_mcm_episode_0tfzgic,breite_grundrolle,breite_grundrolle,146,1,-0.001289,REAL_TIME_2024_SOL_ALTSEQ_A,REAL_TIME_2024_SOL_ALTSEQ_A,0
dio_mcm_episode_1yxc2ug,breite_grundrolle,breite_grundrolle,70,1,-0.001113,FOLLOW_EQ10K_DOGE_2024_5M,FOLLOW_EQ10K_DOGE_2024_5M,0
dio_mcm_episode_1rj8742,breite_grundrolle,breite_grundrolle,38,1,-5.8e-05,REAL_FOLLOW_BTC_6000,REAL_FOLLOW_BTC_6000,0
dio_mcm_episode_0vcr3lw,breite_grundrolle,breite_grundrolle,32,1,0.002059,FOLLOW_EQ10K_XRP_2024_5M,FOLLOW_EQ10K_XRP_2024_5M,0
dio_mcm_episode_13nf5kn,nebenrolle,nebenrolle,31,1,0.002811,BTC_10K_A,BTC_10K_A,0
dio_mcm_episode_1eav7xq,breite_grundrolle,breite_grundrolle,31,1,0.000259,FOLLOW_EQ10K_TRX_2024_5M,FOLLOW_EQ10K_TRX_2024_5M,0
dio_mcm_episode_08g1nk4,breite_grundrolle,breite_grundrolle,30,1,0.000881,FOLLOW_EQ10K_TRX_2024_5M,FOLLOW_EQ10K_TRX_2024_5M,0
dio_mcm_episode_0b8eoy2,breite_grundrolle,breite_grundrolle,29,1,-0.003286,FOLLOW_EQ10K_DOGE_2024_5M,FOLLOW_EQ10K_DOGE_2024_5M,0
dio_mcm_episode_0bsaqu1,breite_grundrolle,breite_grundrolle,29,1,0.000542,FOLLOW_EQ10K_TRX_2024_5M,FOLLOW_EQ10K_TRX_2024_5M,0
dio_mcm_episode_15z3zml,breite_grundrolle,breite_grundrolle,25,1,-0.00253,FOLLOW_EQ10K_DOGE_2024_5M,FOLLOW_EQ10K_DOGE_2024_5M,0
dio_mcm_episode_14sn1ov,breite_grundrolle,breite_grundrolle,21,1,-0.001963,FOLLOW_EQ10K_TRX_2024_5M,FOLLOW_EQ10K_TRX_2024_5M,0
dio_mcm_episode_13486kt,new,nebenrolle,18,7,0.469101,FOLLOW_EQ10K_DOGE_2024_5M,,0
dio_mcm_episode_1rzvh02,nebenrolle,nebenrolle,18,1,-0.00114,BTC_STRESS_2025_5M,BTC_STRESS_2025_5M,0
dio_mcm_episode_0hvxln3,breite_grundrolle,breite_grundrolle,17,1,0.000397,FOLLOW_EQ10K_DOGE_2024_5M,FOLLOW_EQ10K_DOGE_2024_5M,0
dio_mcm_episode_0rbjarj,milieurolle,milieurolle,17,1,-0.000404,REAL_FOLLOW_PAXG_6000,REAL_FOLLOW_PAXG_6000,0
dio_mcm_episode_0ze0tw9,new,nebenrolle,16,6,0.454571,FOLLOW_EQ10K_TRX_2024_5M,,0
dio_mcm_episode_15mfjru,new,nebenrolle,16,4,0.730327,FOLLOW_EQ10K_PAXG_2024_5M,,0
