preview_symbol,role_reading,count,world_count,depth_score,top_world,top_world_share,top_worlds,milieu_counts,grundrolle_score,uebergangsrolle_score,milieurolle_score,nebenrolle_score,quiet_share,stress_share,shift_share,stress_shift_share,top_milieu_share,distribution_entropy
dio_mcm_episode_1rj8742,breite_grundrolle,18458,45,0.723008,REAL_FOLLOW_BTC_6000,0.083812,REAL_FOLLOW_BTC_6000:1547;BTC_STRESS_2025_5M:870;FOLLOW_EQ10K_PAXG_2024_5M:858;REAL_FOLLOW_XRP_6000:838;REAL_FOLLOW_DOGE_6000:750;BTC_FIELD_QUIET_04:718;BTC_LONG_2024_5M_QUIET:694;REAL_FOLLOW_SOL_6000:682;FOLLOW_KAS_2024_5M_2000:660;PAXG_1H_A:645,quiet:3766;btc:3646;paxg:2795;xrp:2004;doge:1746;shift:1478;other:1097;sol:993;stress:933,0.940406,0.54932,0.159144,0.0,0.204031,0.050547,0.080074,0.130621,0.204031,0.94332
dio_mcm_episode_0icnf2v,breite_grundrolle,96663,44,0.828112,REAL_TIME_2023_SOL_ALTSEQ_A,0.071103,REAL_TIME_2023_SOL_ALTSEQ_A:6873;FOLLOW_DOGE_2024_5M_2000:6679;REAL_FOLLOW_DOGE_6000:6538;FOLLOW_XRP_2024_5M_2000:6192;REAL_FOLLOW_BTC_6000:5866;BTC_10K_A:5850;SOL_10K_A:5602;REAL_FOLLOW_SOL_6000:5581;REAL_FOLLOW_XRP_6000:4315;REAL_TIME_2024_BTC_5M:4261,sol:21480;btc:16165;xrp:14825;doge:13691;quiet:11832;paxg:11178;stress:4643;other:2743;shift:106,0.916877,0.340764,0.173328,0.0,0.122405,0.048033,0.001097,0.049129,0.222215,0.891413
dio_mcm_episode_1qlxgj7,breite_grundrolle,28612,46,0.720953,FOLLOW_EQ10K_PEPE_2024_5M,0.095135,FOLLOW_EQ10K_PEPE_2024_5M:2722;FOLLOW_EQ10K_XLM_2024_5M:2526;FOLLOW_EQ10K_KAS_2024_5M:2466;FOLLOW_EQ10K_XRP_2024_5M:2420;FOLLOW_EQ10K_DOGE_2024_5M:2338;FOLLOW_EQ10K_TRX_2024_5M:2285;FOLLOW_EQ10K_PEPE_B_2024_5M:1729;FOLLOW_EQ10K_PAXG_2024_5M:1153;FOLLOW_DOGE_2024_5M_2000:1109;REAL_FOLLOW_SOL_6000:1032,other:11835;xrp:4824;doge:4504;sol:2440;btc:1705;paxg:1304;quiet:1281;shift:470;stress:249,0.851935,0.256346,0.322637,0.0,0.044771,0.008703,0.016427,0.025129,0.413638,0.784143
dio_mcm_episode_12tgchq,breite_grundrolle,56209,31,0.826982,FOLLOW_EQ10K_XLM_2024_5M,0.099468,FOLLOW_EQ10K_XLM_2024_5M:5591;FOLLOW_EQ10K_TRX_2024_5M:4805;FOLLOW_EQ10K_DOGE_2024_5M:4715;FOLLOW_EQ10K_KAS_2024_5M:4470;FOLLOW_EQ10K_PEPE_B_2024_5M:4468;FOLLOW_EQ10K_XRP_2024_5M:4040;FOLLOW_EQ10K_PEPE_2024_5M:3926;FOLLOW_EQ10K_PAXG_2024_5M:2812;SOL_10K_A:2722;REAL_FOLLOW_XRP_6000:2518,other:23260;xrp:8936;sol:8685;doge:6978;btc:3255;paxg:3152;quiet:1360;stress:578;shift:5,0.830016,0.212882,0.323608,0.003206,0.024195,0.010283,8.9e-05,0.010372,0.413813,0.759828
dio_mcm_episode_0wo0tz1,breite_grundrolle,4723,31,0.670992,BTC_FIELD_QUIET_03,0.093585,BTC_FIELD_QUIET_03:442;BTC_STRESS_2025_5M:419;BTC_STRESS_2024_5M:401;XRP_1H_A:330;FOLLOW_PAXG_2024_5M_2000:327;REAL_TIME_2024_PAXG:327;BTC_10K_A:313;BTC_LONG_2024_5M_QUIET:289;REAL_FOLLOW_DOGE_6000:245;BTC_SHIFT_2025_15M_16000_17000:221,stress:820;quiet:783;paxg:777;btc:692;doge:690;xrp:510;shift:439;sol:7;other:5,0.823494,0.7831,0.124714,0.056146,0.165784,0.173618,0.092949,0.266568,0.173618,0.882618
dio_mcm_episode_0iwh9d2,breite_grundrolle,17302,28,0.837374,REAL_FOLLOW_PAXG_6000,0.163623,REAL_FOLLOW_PAXG_6000:2831;PAXG_1846_A:2460;FOLLOW_EQ10K_PAXG_2024_5M:1844;FOLLOW_EQ10K_PEPE_B_2024_5M:1453;FOLLOW_EQ10K_DOGE_2024_5M:852;FOLLOW_EQ10K_KAS_2024_5M:851;BTC_LONG_2025_5M_QUIET:742;QUIET_NEAR_BTC_1869:742;REAL_FOLLOW_XRP_6000:649;FOLLOW_EQ10K_XRP_2024_5M:602,paxg:7315;other:2998;quiet:2616;xrp:2216;btc:1113;doge:979;sol:65,0.81178,0.194742,0.333355,0.013485,0.151196,0.0,0.0,0.0,0.422783,0.810182
dio_mcm_episode_0tfzgic,breite_grundrolle,8137,30,0.690613,REAL_TIME_2024_SOL_ALTSEQ_A,0.221703,REAL_TIME_2024_SOL_ALTSEQ_A:1804;BTC_LONG_2025_5M_QUIET:1320;QUIET_NEAR_BTC_1869:1317;QUIET_NEAR_PAXG2025_1H:723;QUIET_NEAR_PAXG2024_1H:603;BTC_FIELD_QUIET_02:503;DOGE_1H_A:297;BTC_1H_B:290;REAL_TIME_2023_SOL_ALTSEQ_A:226;FOLLOW_KAS_2024_5M_2000:223,quiet:4601;sol:2030;btc:559;other:369;doge:329;paxg:87;shift:69;xrp:63;stress:30,0.679563,0.166649,0.433437,0.021067,0.565442,0.003687,0.00848,0.012167,0.565442,0.577998
dio_mcm_episode_1yxc2ug,breite_grundrolle,2291,29,0.71795,FOLLOW_EQ10K_DOGE_2024_5M,0.128328,FOLLOW_EQ10K_DOGE_2024_5M:294;FOLLOW_EQ10K_XLM_2024_5M:210;FOLLOW_EQ10K_XRP_2024_5M:210;FOLLOW_EQ10K_PEPE_B_2024_5M:198;FOLLOW_EQ10K_TRX_2024_5M:177;FOLLOW_EQ10K_KAS_2024_5M:172;REAL_FOLLOW_XRP_6000:168;FOLLOW_DOGE_2024_5M_2000:126;REAL_FOLLOW_DOGE_6000:115;REAL_FOLLOW_SOL_6000:113,other:852;doge:535;xrp:466;sol:254;btc:87;quiet:86;stress:9;paxg:2,0.670463,0.159844,0.245616,0.113937,0.037538,0.003928,0.0,0.003928,0.37189,0.745693
dio_mcm_episode_1eav7xq,breite_grundrolle,837,44,0.706553,FOLLOW_EQ10K_PEPE_B_2024_5M,0.107527,FOLLOW_EQ10K_PEPE_B_2024_5M:90;FOLLOW_EQ10K_TRX_2024_5M:89;FOLLOW_EQ10K_XRP_2024_5M:89;FOLLOW_EQ10K_DOGE_2024_5M:81;FOLLOW_EQ10K_KAS_2024_5M:63;FOLLOW_EQ10K_XLM_2024_5M:63;FOLLOW_EQ10K_PEPE_2024_5M:31;FOLLOW_EQ10K_PAXG_2024_5M:27;FOLLOW_XRP_2024_5M_2000:24;REAL_FOLLOW_DOGE_6000:23,other:336;xrp:158;doge:128;btc:54;sol:51;quiet:44;paxg:41;shift:14;stress:11,0.623328,0.197332,0.22879,0.175057,0.052569,0.013142,0.016726,0.029869,0.401434,0.793524
dio_mcm_episode_0nu3wih,breite_grundrolle,2948,21,0.620686,QUIET_NEAR_PAXG2025_1H,0.23711,QUIET_NEAR_PAXG2025_1H:699;FOLLOW_KAS_2024_5M_2000:449;QUIET_NEAR_BTC_FIELD_01:432;SOL_10K_A:406;REAL_TIME_2024_SOL_ALTSEQ_A:219;XRP_1H_A:161;BTC_SHIFT_2025_30M_10000_11000:155;BTC_1H_B:88;BTC_STRESS_2024_5M:67;DOGE_1H_B:64,quiet:1213;sol:649;other:478;xrp:169;shift:155;doge:118;btc:96;stress:70,0.617788,0.289943,0.287923,0.12874,0.411465,0.023745,0.052578,0.076323,0.411465,0.789382
