passive_only,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal,signature,count,world_count,worlds,sources,segment_readings,sample_ticks,avg_pressure_delta,avg_rekopplung_delta,recurrence_reading
1,0,0,0,0,0,0,rekoppelnde_lage / rekoppelnde_lage / rekoppelnde_lage / rekoppelnde_lage / paarsegment_rekoppelnd,14,4,EXT_EXPANSION_2023:5 | POS_EXPANSION_2023:4 | NEG_STRESS_2023:3 | SIDEWAYS_2024:2,337_BEWEGUNGSARTEN_ROHWELT_SEGMENTE_events.csv:14,paarsegment_rekoppelnd:14,EXT_EXPANSION_2023:503:1 | EXT_EXPANSION_2023:506:1 | EXT_EXPANSION_2023:514:1 | EXT_EXPANSION_2023:515:1 | EXT_EXPANSION_2023:517:1 | NEG_STRESS_2023:771:1 | NEG_STRESS_2023:815:1 | NEG_STRESS_2023:816:1 | POS_EXPANSION_2023:571:1 | POS_EXPANSION_2023:572:1,0.024289,-0.004694,wiederkehrend_rekoppelnd
1,0,0,0,0,0,0,bewegungsbruch / rekoppelnde_lage / bewegungsbruch / rekoppelnde_lage / kontaktsegment_offen,2,2,EXT_EXPANSION_2023:1 | SIDEWAYS_2026:1,337_BEWEGUNGSARTEN_ROHWELT_SEGMENTE_events.csv:2,kontaktsegment_offen:2,EXT_EXPANSION_2023:509:1 | SIDEWAYS_2026:906:1,-0.020607,-0.00441,lokal_wiederholt
1,0,0,0,0,0,0,rekoppelnde_lage / rekoppelnde_lage / rekoppelnde_lage / bewegungsbruch / paarsegment_rekoppelnd,2,2,EXT_EXPANSION_2023:1 | SIDEWAYS_2026:1,337_BEWEGUNGSARTEN_ROHWELT_SEGMENTE_events.csv:2,paarsegment_rekoppelnd:2,EXT_EXPANSION_2023:507:1 | SIDEWAYS_2026:905:1,0.103243,-0.023873,lokal_wiederholt
1,0,0,0,0,0,0,druck_lage / offene_lage / druck_lage / rekoppelnde_lage / kontaktsegment_offen,1,1,NEG_STRESS_2023:1,337_BEWEGUNGSARTEN_ROHWELT_SEGMENTE_events.csv:1,kontaktsegment_offen:1,NEG_STRESS_2023:802:1,-0.015293,0.0206,situationssegment
1,0,0,0,0,0,0,druck_lage / rekoppelnde_lage / druck_lage / bewegungsbruch / kontaktsegment_offen,1,1,EXT_EXPANSION_2023:1,337_BEWEGUNGSARTEN_ROHWELT_SEGMENTE_events.csv:1,kontaktsegment_offen:1,EXT_EXPANSION_2023:526:1,-0.076833,-0.004621,situationssegment
1,0,0,0,0,0,0,druck_lage / rekoppelnde_lage / druck_lage / bewegungsbruch / paarsegment_spannungswechsel,1,1,POS_EXPANSION_2023:1,337_BEWEGUNGSARTEN_ROHWELT_SEGMENTE_events.csv:1,paarsegment_spannungswechsel:1,POS_EXPANSION_2023:653:1,0.141314,-0.042826,situationssegment
1,0,0,0,0,0,0,druck_lage / rekoppelnde_lage / druck_lage / rekoppelnde_lage / paarsegment_spannungswechsel,1,1,SIDEWAYS_2024:1,337_BEWEGUNGSARTEN_ROHWELT_SEGMENTE_events.csv:1,paarsegment_spannungswechsel:1,SIDEWAYS_2024:920:1,0.050905,-0.03663,situationssegment
1,0,0,0,0,0,0,offene_lage / bewegungsbruch / offene_lage / bewegungsbruch / kontaktsegment_offen,1,1,SIDEWAYS_2024:1,337_BEWEGUNGSARTEN_ROHWELT_SEGMENTE_events.csv:1,kontaktsegment_offen:1,SIDEWAYS_2024:934:1,-0.030912,-0.014033,situationssegment
1,0,0,0,0,0,0,offene_lage / druck_lage / offene_lage / rekoppelnde_lage / kontaktsegment_offen,1,1,POS_EXPANSION_2023:1,337_BEWEGUNGSARTEN_ROHWELT_SEGMENTE_events.csv:1,kontaktsegment_offen:1,POS_EXPANSION_2023:646:1,-0.141199,0.00712,situationssegment
1,0,0,0,0,0,0,recurrently_opening_strain / - / - / - / paarsegment_spannungswechsel,1,1,-:1,542_MCM_FELDBEWEGUNGS_MEMORY_MEHRQUELLEN_UEBERGANGSRAUM.csv:1,paarsegment_spannungswechsel:1,-:-:1,0.02074,-0.023905,situationssegment
1,0,0,0,0,0,0,recurrently_reconnecting / - / - / - / kontaktsegment_offen,1,1,-:1,542_MCM_FELDBEWEGUNGS_MEMORY_MEHRQUELLEN_UEBERGANGSRAUM.csv:1,kontaktsegment_offen:1,-:-:1,-0.016196,0.022663,situationssegment
