world,pair,events,tick_min,tick_q25,tick_mid,tick_q75,tick_max,dominant_tick_zone,dominant_movement,movement_profile,class_profile,pressure_delta_avg,pressure_delta_abs_avg,rekopplung_delta_avg,rekopplung_delta_abs_avg,passive_only,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
EXT_EXPANSION_2023,183drjy->1t5bcxp,4,506,509,515,515,526,spaet_mitte,rekopplungs_uebergang,rekopplungs_uebergang:2 | bewegungsbruch_zone:2,rekoppelnde_lage:9 | bewegungsbruch:2 | druck_lage:1,-0.024545,0.040209,0.000732,0.006682,1,0,0,0,0,0,0
EXT_EXPANSION_2023,1t5bcxp->183drjy,4,503,507,514,514,517,spaet_mitte,rekopplungs_uebergang,rekopplungs_uebergang:3 | bewegungsbruch_zone:1,rekoppelnde_lage:11 | bewegungsbruch:1,0.030784,0.05399,-0.007678,0.020894,1,0,0,0,0,0,0
EXT_EXPANSION_2023,02xikfk->1t5bcxp,3,394,394,397,660,660,frueh_mitte,offene_uebergangszone,offene_uebergangszone:1 | rekopplungs_uebergang:1 | bewegungsbruch_zone:1,offene_lage:4 | rekoppelnde_lage:4 | bewegungsbruch:1,0.000721,0.024754,-0.010769,0.010769,1,0,0,0,0,0,0
EXT_EXPANSION_2023,1t5bcxp->02xikfk,3,396,396,398,655,655,frueh_mitte,bewegungsbruch_zone,bewegungsbruch_zone:2 | druck_uebergang:1,druck_lage:3 | offene_lage:2 | bewegungsbruch:2 | rekoppelnde_lage:1 | gehaltene_form:1,-0.007455,0.050122,-0.004515,0.014597,1,0,0,0,0,0,0
NEG_STRESS_2023,183drjy->1t5bcxp,2,802,802,802,816,816,spaet,druck_uebergang,druck_uebergang:1 | rekopplungs_uebergang:1,rekoppelnde_lage:4 | offene_lage:1 | druck_lage:1,0.057613,0.072906,-0.004584,0.025184,1,0,0,0,0,0,0
NEG_STRESS_2023,1t5bcxp->183drjy,2,771,771,771,815,815,spaet,rekopplungs_uebergang,rekopplungs_uebergang:2,rekoppelnde_lage:6,0.03953,0.041473,0.009364,0.016539,1,0,0,0,0,0,0
NEG_STRESS_2024,02xikfk->1t5bcxp,5,700,763,961,974,977,spaet,rekopplungs_uebergang,rekopplungs_uebergang:2 | offene_uebergangszone:1 | bewegungsbruch_zone:1 | druck_uebergang:1,offene_lage:7 | rekoppelnde_lage:6 | bewegungsbruch:1 | druck_lage:1,-0.042261,0.070313,0.018908,0.018908,1,0,0,0,0,0,0
NEG_STRESS_2024,1t5bcxp->02xikfk,3,760,760,973,975,975,spaet,bewegungsbruch_zone,bewegungsbruch_zone:2 | druck_uebergang:1,offene_lage:4 | druck_lage:3 | bewegungsbruch:2,-0.081516,0.081516,0.019299,0.020171,1,0,0,0,0,0,0
POS_EXPANSION_2023,02xikfk->1t5bcxp,6,228,247,328,341,356,frueh_mitte,bewegungsbruch_zone,bewegungsbruch_zone:3 | rekopplungs_uebergang:2 | druck_uebergang:1,rekoppelnde_lage:10 | bewegungsbruch:4 | offene_lage:2 | druck_lage:1 | gehaltene_form:1,-0.002695,0.074446,-0.003826,0.019902,1,0,0,0,0,0,0
POS_EXPANSION_2023,1t5bcxp->02xikfk,5,235,326,329,339,355,frueh_mitte,bewegungsbruch_zone,bewegungsbruch_zone:3 | rekopplungs_uebergang:1 | offene_uebergangszone:1,rekoppelnde_lage:6 | bewegungsbruch:3 | offene_lage:3 | gehaltene_form:2 | druck_lage:1,0.013594,0.036181,0.003585,0.011746,1,0,0,0,0,0,0
POS_EXPANSION_2023,183drjy->1t5bcxp,3,572,572,646,653,653,spaet_mitte,rekopplungs_uebergang,rekopplungs_uebergang:1 | druck_uebergang:1 | bewegungsbruch_zone:1,rekoppelnde_lage:5 | druck_lage:2 | offene_lage:1 | bewegungsbruch:1,-0.011531,0.10574,-0.020493,0.025239,1,0,0,0,0,0,0
POS_EXPANSION_2023,1t5bcxp->183drjy,3,571,571,576,651,651,spaet_mitte,rekopplungs_uebergang,rekopplungs_uebergang:3,rekoppelnde_lage:9,0.033594,0.090003,-0.010359,0.022843,1,0,0,0,0,0,0
SIDEWAYS_2024,02xikfk->1t5bcxp,3,608,608,636,665,665,spaet_mitte,rekopplungs_uebergang,rekopplungs_uebergang:2 | bewegungsbruch_zone:1,rekoppelnde_lage:7 | offene_lage:1 | bewegungsbruch:1,-0.015089,0.018927,0.004301,0.007954,1,0,0,0,0,0,0
SIDEWAYS_2024,183drjy->1t5bcxp,2,920,920,920,934,934,spaet,druck_uebergang,druck_uebergang:1 | bewegungsbruch_zone:1,rekoppelnde_lage:2 | bewegungsbruch:2 | druck_lage:1 | offene_lage:1,0.009997,0.040909,-0.025331,0.025331,1,0,0,0,0,0,0
SIDEWAYS_2024,1t5bcxp->183drjy,2,917,917,917,927,927,spaet,rekopplungs_uebergang,rekopplungs_uebergang:2,rekoppelnde_lage:6,0.014826,0.021714,0.003684,0.005346,1,0,0,0,0,0,0
