world,family,count,share,dominant_effect,dominant_effect_share,avg_passive_inner_effect_rekopplung,avg_passive_inner_effect_carry,avg_passive_inner_effect_strain,avg_passive_inner_effect_sensory_coupling,avg_mcm_hearing_field_gap,avg_perception_felt_pressure,avg_rezeptor_contact_pressure,avg_mcm_feldwirkung_mcm_tension,avg_mini_afterimage,avg_mini_temporal_trust_support,avg_perception_visual_sharpness,avg_perception_auditory_loudness,ruhe_rekopplung_score
BTC_2024_5M,dio_1r55,11,0.005517,stabil,1.0,0.698411,0.504763,0.149115,0.864378,0.144191,0.134449,0.139153,0.139153,0.068223,0.613837,0.748193,0.283344,0.75015
BTC_2024_5M,dio_0nlj,20,0.01003,stabil,1.0,0.726489,0.547329,0.116248,0.898194,0.039614,0.063648,0.050847,0.050847,0.118,0.674574,0.784641,0.090461,0.793478
BTC_2024_5M,dio_0l7p,83,0.041625,stabil,1.0,0.724404,0.56631,0.135383,0.859035,0.035287,0.070167,0.053167,0.053167,0.344708,0.794301,0.674092,0.088454,0.784661
BTC_2024_5M,dio_0m9z,83,0.041625,stabil,0.819277,0.70579,0.546927,0.162031,0.830518,0.120293,0.114121,0.116267,0.116267,0.297621,0.781035,0.666059,0.23656,0.754013
BTC_2024_5M,dio_1ewh,24,0.012036,stabil,1.0,0.704537,0.529603,0.14595,0.834826,0.04658,0.093357,0.07484,0.07484,0.160114,0.697059,0.599158,0.12142,0.76263
BTC_2024_5M,dio_0g2r,16,0.008024,stabil,0.9375,0.700546,0.519355,0.144608,0.834719,0.042161,0.106211,0.077301,0.077301,0.111847,0.653451,0.530643,0.119461,0.759878
BTC_2024_5M,dio_155c,93,0.04664,stabil,0.989247,0.713753,0.554953,0.153699,0.850707,0.120255,0.111146,0.116768,0.116768,0.336282,0.793751,0.64305,0.237023,0.763414
BTC_2024_5M,dio_0h9h,51,0.025577,stabil,1.0,0.719991,0.554732,0.135658,0.867186,0.069178,0.085512,0.079342,0.079342,0.238868,0.751127,0.669442,0.14852,0.77844
BTC_2024_5M,dio_1q85,19,0.009529,stabil,0.842105,0.698933,0.521264,0.155184,0.843831,0.115389,0.102743,0.107431,0.107431,0.097954,0.664218,0.742648,0.22282,0.752676
BTC_2024_5M,dio_104t,147,0.073721,stabil,0.993197,0.719809,0.567321,0.14861,0.84611,0.065345,0.086516,0.077798,0.077798,0.426931,0.827066,0.655272,0.143143,0.77433
BTC_2024_5M,dio_1cic,17,0.008526,stabil,1.0,0.707106,0.525415,0.13525,0.846225,0.021502,0.079981,0.056261,0.056261,0.079438,0.656249,0.605773,0.077762,0.770178
BTC_2024_5M,dio_14wj,50,0.025075,stabil,1.0,0.727446,0.561839,0.122479,0.869906,0.009849,0.057782,0.033317,0.033317,0.232934,0.749718,0.683263,0.041285,0.792676
BTC_2024_5M,dio_0jkk,23,0.011535,tragend_unruhig,1.0,0.680045,0.508096,0.178173,0.786603,0.11601,0.137045,0.122036,0.122036,0.113671,0.679453,0.53179,0.238046,0.727251
BTC_2024_5M,dio_0pq6,12,0.006018,stabil,0.833333,0.69509,0.512569,0.149143,0.830793,0.053224,0.107662,0.075716,0.075716,0.081933,0.617632,0.623454,0.12894,0.755034
BTC_2024_5M,dio_05yg,22,0.011033,tragend_unruhig,0.954545,0.682573,0.511902,0.176652,0.795308,0.123417,0.127456,0.119344,0.119344,0.139094,0.683468,0.599406,0.242762,0.730627
