source,world,role,segments,duration,duration_share,avg_raw_field_intake,avg_auditory_loudness,avg_visual_sharpness,avg_rekopplung,avg_strain,load_signature
REAL_5M,BTC_QUIET_CURRENT,offene_variante,715,1381,0.345769,0.166024,0.280595,0.615061,0.671288,0.173174,gemischte_feldlage
REAL_5M,BTC_QUIET_CURRENT,rekopplungsnaehe,477,564,0.141212,0.109179,0.181911,0.667129,0.705623,0.142847,gemischte_feldlage
REAL_5M,BTC_QUIET_CURRENT,spannungsrand_kippnaehe,62,66,0.016525,0.407846,0.714684,0.582429,0.582737,0.283413,gekoppelte_feldlast
REAL_5M,BTC_QUIET_CURRENT,zentrum_stabil,741,1983,0.496495,0.090428,0.148716,0.686583,0.721447,0.138148,rekopplung_zentrumsnah
REAL_5M,BTC_STRESS_CURRENT,offene_variante,716,1372,0.343515,0.17351,0.293656,0.621495,0.670864,0.17385,gemischte_feldlage
REAL_5M,BTC_STRESS_CURRENT,rekopplungsnaehe,422,494,0.123686,0.108728,0.180068,0.673312,0.706007,0.140926,gemischte_feldlage
REAL_5M,BTC_STRESS_CURRENT,spannungsrand_kippnaehe,69,77,0.019279,0.368138,0.635823,0.543498,0.588201,0.274465,gekoppelte_feldlast
REAL_5M,BTC_STRESS_CURRENT,zentrum_stabil,731,2051,0.51352,0.091742,0.152826,0.693174,0.722212,0.138216,rekopplung_zentrumsnah
REAL_5M,SOL_QUIET_CURRENT,offene_variante,727,1469,0.367802,0.168076,0.285983,0.611926,0.671871,0.173362,gemischte_feldlage
REAL_5M,SOL_QUIET_CURRENT,rekopplungsnaehe,497,591,0.147972,0.109813,0.181587,0.659257,0.705199,0.144786,gemischte_feldlage
REAL_5M,SOL_QUIET_CURRENT,spannungsrand_kippnaehe,61,62,0.015523,0.399566,0.701083,0.564107,0.582888,0.283122,gekoppelte_feldlast
REAL_5M,SOL_QUIET_CURRENT,zentrum_stabil,746,1872,0.468703,0.089946,0.147032,0.681401,0.720806,0.137807,rekopplung_zentrumsnah
REAL_5M,SOL_STRESS_CURRENT,offene_variante,754,1450,0.363045,0.167637,0.285671,0.610212,0.671304,0.174319,gemischte_feldlage
REAL_5M,SOL_STRESS_CURRENT,rekopplungsnaehe,470,573,0.143465,0.106021,0.174375,0.659405,0.705213,0.143132,gemischte_feldlage
REAL_5M,SOL_STRESS_CURRENT,spannungsrand_kippnaehe,66,76,0.019029,0.380161,0.661613,0.548959,0.586406,0.278742,gekoppelte_feldlast
REAL_5M,SOL_STRESS_CURRENT,zentrum_stabil,760,1895,0.474462,0.090837,0.148499,0.681181,0.720868,0.138706,rekopplung_zentrumsnah
SYNTH_AXES,SYNTH_DESYNC_AXES,offene_variante,99,155,0.018248,0.171401,0.298058,0.795449,0.683092,0.164359,gemischte_feldlage
SYNTH_AXES,SYNTH_DESYNC_AXES,rekopplungsnaehe,136,168,0.019779,0.136737,0.23927,0.810553,0.711174,0.14387,rekopplung_zentrumsnah
SYNTH_AXES,SYNTH_DESYNC_AXES,spannungsrand_kippnaehe,146,147,0.017306,0.487026,0.821868,0.740548,0.619296,0.281994,hoerlast_bei_lesbarer_form
SYNTH_AXES,SYNTH_DESYNC_AXES,zentrum_stabil,274,8024,0.944667,0.029155,0.039648,0.836832,0.757392,0.122006,rekopplung_zentrumsnah
SYNTH_AXES,SYNTH_RAND_KIPP,offene_variante,428,1039,0.115521,0.174919,0.303415,0.580186,0.67357,0.179274,gemischte_feldlage
SYNTH_AXES,SYNTH_RAND_KIPP,rekopplungsnaehe,400,487,0.054147,0.094992,0.14595,0.595329,0.703139,0.153472,ruhige_feldnaehe
SYNTH_AXES,SYNTH_RAND_KIPP,spannungsrand_kippnaehe,21,22,0.002446,0.379802,0.666445,0.579718,0.607916,0.271624,gekoppelte_feldlast
SYNTH_AXES,SYNTH_RAND_KIPP,zentrum_stabil,408,7446,0.827885,0.03846,0.055428,0.801472,0.749307,0.124357,rekopplung_zentrumsnah
SYNTH_AXES,SYNTH_VISUAL_CHAOTIC_HEARING_STABLE,offene_variante,11,20,0.003128,0.073957,0.117138,0.733627,0.678062,0.149097,ruhige_feldnaehe
SYNTH_AXES,SYNTH_VISUAL_CHAOTIC_HEARING_STABLE,rekopplungsnaehe,10,11,0.00172,0.018829,0.013089,0.797058,0.723327,0.096136,rekopplung_zentrumsnah
SYNTH_AXES,SYNTH_VISUAL_CHAOTIC_HEARING_STABLE,zentrum_stabil,13,6363,0.995152,0.016687,0.012332,0.83971,0.759286,0.118164,rekopplung_zentrumsnah
SYNTH_AXES,SYNTH_VISUAL_STABLE_HEARING_CHAOTIC,offene_variante,155,171,0.023127,0.350165,0.59285,0.761413,0.655341,0.227817,gemischte_feldlage
SYNTH_AXES,SYNTH_VISUAL_STABLE_HEARING_CHAOTIC,rekopplungsnaehe,46,54,0.007303,0.146011,0.249091,0.794626,0.711393,0.139641,rekopplung_zentrumsnah
SYNTH_AXES,SYNTH_VISUAL_STABLE_HEARING_CHAOTIC,spannungsrand_kippnaehe,224,226,0.030565,0.495747,0.83606,0.739736,0.618029,0.284356,hoerlast_bei_lesbarer_form
SYNTH_AXES,SYNTH_VISUAL_STABLE_HEARING_CHAOTIC,zentrum_stabil,362,6943,0.939005,0.026972,0.038463,0.837207,0.761114,0.122101,rekopplung_zentrumsnah
