group_type,group,count,share,dominant_raw_class,raw_class_counts,dominant_sequence,sequence_count,scale_counts,avg_price_move_pct,avg_range_pct,avg_auditory,avg_visual_sharpness,avg_field_pressure,passive_only,influences_action
asset,SOL,517,0.535751,gemischte_rohwelt,gemischte_rohwelt:382;bewegungsreiche_rohwelt:133;laute_oder_druckvolle_rohwelt:2,normale_weltspannung->normale_weltspannung,135,100:282;200:150;400:85,-0.339052,0.33523,0.421139,0.652282,0.106624,1,0
asset,BTC,134,0.13886,gemischte_rohwelt,gemischte_rohwelt:108;bewegungsreiche_rohwelt:15;laute_oder_druckvolle_rohwelt:11,normale_weltspannung->normale_weltspannung,37,100:69;200:42;400:23,0.038255,0.185894,0.426271,0.657224,0.107979,1,0
asset,XRP,121,0.125389,gemischte_rohwelt,gemischte_rohwelt:72;bewegungsreiche_rohwelt:48;laute_oder_druckvolle_rohwelt:1,normale_weltspannung->normale_weltspannung,34,100:68;200:32;400:21,0.394395,0.484216,0.425062,0.656948,0.10734,1,0
asset,DOGE,116,0.120207,gemischte_rohwelt,gemischte_rohwelt:66;bewegungsreiche_rohwelt:48;laute_oder_druckvolle_rohwelt:2,normale_weltspannung->normale_weltspannung,33,100:63;200:33;400:20,0.020222,0.452103,0.429949,0.658782,0.108117,1,0
asset,PAXG,70,0.072539,gemischte_rohwelt,gemischte_rohwelt:63;laute_oder_druckvolle_rohwelt:7,ruhig_zentrumsnah->normale_weltspannung,21,100:32;200:23;400:15,-0.129879,0.081802,0.419639,0.653587,0.10941,1,0
asset,SYNTH,7,0.007254,bewegungsreiche_rohwelt,bewegungsreiche_rohwelt:7,randlastige_sinneslage->ueberstabil_mit_randreiz,7,100:1;200:3;400:3,4.373245,1.128671,0.176954,0.828845,0.051307,1,0
world,SOL_2024_SIDE,152,0.157513,gemischte_rohwelt,gemischte_rohwelt:119;bewegungsreiche_rohwelt:32;laute_oder_druckvolle_rohwelt:1,normale_weltspannung->normale_weltspannung,29,100:83;200:46;400:23,0.258357,0.287997,0.427587,0.650011,0.108044,1,0
world,BTC_2024_5M,134,0.13886,gemischte_rohwelt,gemischte_rohwelt:108;bewegungsreiche_rohwelt:15;laute_oder_druckvolle_rohwelt:11,normale_weltspannung->normale_weltspannung,37,100:69;200:42;400:23,0.038255,0.185894,0.426271,0.657224,0.107979,1,0
world,SOL_2025_STRESS,128,0.132642,gemischte_rohwelt,gemischte_rohwelt:83;bewegungsreiche_rohwelt:45,normale_weltspannung->normale_weltspannung,29,100:71;200:36;400:21,-0.869507,0.437069,0.429484,0.655642,0.10808,1,0
world,SOL_2026_STABLE,121,0.125389,gemischte_rohwelt,gemischte_rohwelt:101;bewegungsreiche_rohwelt:20,normale_weltspannung->normale_weltspannung,43,100:63;200:37;400:21,-0.258875,0.246786,0.412164,0.656553,0.1047,1,0
world,XRP_2025_5M,121,0.125389,gemischte_rohwelt,gemischte_rohwelt:72;bewegungsreiche_rohwelt:48;laute_oder_druckvolle_rohwelt:1,normale_weltspannung->normale_weltspannung,34,100:68;200:32;400:21,0.394395,0.484216,0.425062,0.656948,0.10734,1,0
world,DOGE_2025_5M,116,0.120207,gemischte_rohwelt,gemischte_rohwelt:66;bewegungsreiche_rohwelt:48;laute_oder_druckvolle_rohwelt:2,normale_weltspannung->normale_weltspannung,33,100:63;200:33;400:20,0.020222,0.452103,0.429949,0.658782,0.108117,1,0
world,SOL_2023_NEG,116,0.120207,gemischte_rohwelt,gemischte_rohwelt:79;bewegungsreiche_rohwelt:36;laute_oder_druckvolle_rohwelt:1,normale_weltspannung->normale_weltspannung,34,100:65;200:31;400:20,-0.62017,0.377003,0.412844,0.647096,0.105162,1,0
world,PAXG_2024_5M,70,0.072539,gemischte_rohwelt,gemischte_rohwelt:63;laute_oder_druckvolle_rohwelt:7,ruhig_zentrumsnah->normale_weltspannung,21,100:32;200:23;400:15,-0.129879,0.081802,0.419639,0.653587,0.10941,1,0
world,VISUAL_STABLE_HEARING_CHAOTIC,5,0.005181,bewegungsreiche_rohwelt,bewegungsreiche_rohwelt:5,randlastige_sinneslage->ueberstabil_mit_randreiz,5,100:1;200:2;400:2,2.210933,1.179244,0.181106,0.829103,0.05138,1,0
world,DESYNC,2,0.002073,bewegungsreiche_rohwelt,bewegungsreiche_rohwelt:2,randlastige_sinneslage->ueberstabil_mit_randreiz,2,200:1;400:1,9.779025,1.002239,0.166575,0.828201,0.051126,1,0
