world,family,relation,total,open_count,mature_count,open_share,mature_share,avg_rekopplung,avg_adaptive_rekopplung,avg_strain,avg_role_experience,avg_path_experience
NEG_STRESS_2023,dio_0dd2,nur_gereift,41,0,40,0.000000,0.975610,0.721522,0.761531,0.133697,0.947154,0.594512
NEG_STRESS_2023,dio_06er,offen_und_gereift,46,26,19,0.565217,0.413043,0.734588,0.775967,0.119711,0.418478,0.385870
NEG_STRESS_2023,dio_1cic,offen_und_gereift,35,16,18,0.457143,0.514286,0.713210,0.751934,0.134434,0.545238,0.450000
NEG_STRESS_2023,dio_0kx9,offen_und_gereift,44,26,17,0.590909,0.386364,0.731149,0.771673,0.112512,0.460227,0.335227
NEG_STRESS_2023,dio_1o0u,nur_gereift,19,0,18,0.000000,0.947368,0.696669,0.736264,0.155668,0.947368,0.250000
NEG_STRESS_2023,dio_1ewh,offen_und_gereift,78,63,14,0.807692,0.179487,0.711799,0.748772,0.145544,0.287393,0.131410
NEG_STRESS_2023,dio_09bn,offen_und_gereift,42,34,6,0.809524,0.142857,0.723938,0.763649,0.129860,0.293651,0.000000
NEG_STRESS_2023,dio_1c38,offen_und_gereift,3,1,1,0.333333,0.333333,0.650314,0.676975,0.196512,0.388889,0.000000
NEG_STRESS_2023,dio_18po,offen_und_gereift,9,2,7,0.222222,0.777778,0.673676,0.716837,0.176582,0.796296,0.250000
NEG_STRESS_2023,dio_14wj,offen_und_gereift,128,102,26,0.796875,0.203125,0.731821,0.769619,0.125416,0.450521,0.180664
NEG_STRESS_2023,dio_06s7,offen_und_gereift,58,49,9,0.844828,0.155172,0.728389,0.768420,0.124417,0.396552,0.140086
NEG_STRESS_2023,dio_104t,offen_und_gereift,355,29,326,0.081690,0.918310,0.722005,0.756874,0.149126,0.916667,0.050704
NEG_STRESS_2023,dio_1q85,offen_und_gereift,56,39,17,0.696429,0.303571,0.705508,0.742976,0.159969,0.303571,0.162946
NEG_STRESS_2023,dio_1rx4,offen_und_gereift,4,1,3,0.250000,0.750000,0.709142,0.759813,0.124324,0.770833,0.281250
NEG_STRESS_2023,dio_155c,offen_und_gereift,270,32,238,0.118519,0.881481,0.717083,0.752866,0.155346,0.879630,0.005093
NEG_STRESS_2023,dio_0l7p,offen_und_gereift,219,30,189,0.136986,0.863014,0.728148,0.764482,0.136743,0.813166,0.003425
NEG_STRESS_2023,dio_1mjc,offen_und_gereift,3,1,2,0.333333,0.666667,0.708597,0.760697,0.116588,0.694444,0.708333
NEG_STRESS_2023,dio_0n0i,offen_und_gereift,11,1,10,0.090909,0.909091,0.728819,0.776731,0.102050,0.916667,0.488636
NEG_STRESS_2023,dio_0h9h,offen_und_gereift,181,35,146,0.193370,0.806630,0.725494,0.762197,0.139301,0.827348,0.027624
NEG_STRESS_2023,dio_17ct,offen_und_gereift,67,61,6,0.910448,0.089552,0.715384,0.754858,0.146502,0.356965,0.039179
NEG_STRESS_2023,dio_0pz6,offen_und_gereift,62,56,6,0.903226,0.096774,0.725315,0.766151,0.131858,0.341398,0.026210
NEG_STRESS_2023,dio_07o8,offen_und_gereift,14,1,13,0.071429,0.928571,0.695677,0.738272,0.152071,0.928571,0.508929
NEG_STRESS_2023,dio_161t,offen_und_gereift,6,1,5,0.166667,0.833333,0.697489,0.745805,0.141007,0.833333,0.479167
NEG_STRESS_2023,dio_1r55,offen_und_gereift,17,3,14,0.176471,0.823529,0.705081,0.749191,0.142218,0.828431,0.588235
NEG_STRESS_2023,dio_1kpz,offen_und_gereift,52,38,14,0.730769,0.269231,0.727109,0.767697,0.122753,0.437500,0.252404
NEG_STRESS_2023,dio_1772,offen_und_gereift,34,17,17,0.500000,0.500000,0.693053,0.730924,0.163495,0.377451,0.231618
NEG_STRESS_2023,dio_1oye,offen_und_gereift,23,7,16,0.304348,0.695652,0.687398,0.727332,0.169889,0.655797,0.331522
NEG_STRESS_2023,dio_0pxr,offen_und_gereift,16,8,8,0.500000,0.500000,0.687849,0.727614,0.166809,0.437500,0.156250
NEG_STRESS_2023,dio_0m9z,offen_und_gereift,212,125,87,0.589623,0.410377,0.708075,0.741821,0.165246,0.269654,0.228184
NEG_STRESS_2023,dio_1350,offen_und_gereift,17,4,13,0.235294,0.764706,0.717169,0.760665,0.126081,0.789216,0.257353
NEG_STRESS_2023,dio_0tay,offen_und_gereift,43,38,5,0.883721,0.116279,0.716412,0.756564,0.140585,0.220930,0.098837
NEG_STRESS_2023,dio_0obq,offen_und_gereift,62,50,12,0.806452,0.193548,0.705572,0.743817,0.155134,0.342742,0.135081
NEG_STRESS_2023,dio_03uk,offen_und_gereift,27,1,26,0.037037,0.962963,0.723074,0.765635,0.124280,0.861111,0.500000
NEG_STRESS_2023,dio_17rn,offen_und_gereift,9,8,1,0.888889,0.111111,0.637942,0.676192,0.226904,0.166667,0.000000
NEG_STRESS_2023,dio_0txd,nur_gereift,2,0,2,0.000000,1.000000,0.659275,0.709065,0.184934,0.625000,0.187500
NEG_STRESS_2023,dio_1feg,nur_gereift,3,0,3,0.000000,1.000000,0.712087,0.766005,0.116151,0.722222,0.791667
NEG_STRESS_2023,dio_0une,offen_und_gereift,5,1,4,0.200000,0.800000,0.712015,0.762716,0.121962,0.666667,0.475000
NEG_STRESS_2023,dio_0jqc,nur_gereift,8,0,8,0.000000,1.000000,0.706242,0.754008,0.135350,0.906250,0.625000
