asset,label,families,kernfamilien,brueckenfamilien,oberflaechen,source_family_overlap,source_kern_overlap,avg_afterimage_delta,avg_temporal_delta,dominant_reading,reproduction_state,kind,window_start,row_type,worlds,avg_kernfamilien,avg_source_family_overlap,avg_source_kern_overlap,states,source_edge,kern_edge,afterimage_edge,temporal_edge,field_edge_score,reading,source_year,family,total_count,phase_presence,dominant_role,count_frueh,share_frueh,rekopplung_frueh,strain_frueh,afterimage_frueh,temporal_frueh,count_mitte,share_mitte,rekopplung_mitte,strain_mitte,afterimage_mitte,temporal_mitte,count_spaet,share_spaet,rekopplung_spaet,strain_spaet,afterimage_spaet,temporal_spaet,share_delta_spaet_frueh,afterimage_delta_spaet_frueh,temporal_delta_spaet_frueh,strain_delta_spaet_frueh,family_reading
PAXG,start0_null_random_6000,36,31,0,4,0.6153846153846154,0.2,0.32479842827021194,0.15601682857588856,kernfamilie_mit_feldzeitverdichtung,reifungsrolle_reproduziert,null_random,0,summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAXG,start0_null_shuffle_6000,36,31,0,5,0.6153846153846154,0.22727272727272727,0.34329998638181997,0.16496503817175415,kernfamilie_mit_feldzeitverdichtung,reifungsrolle_reproduziert,null_shuffle,0,summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAXG,start0_real_6000,36,30,0,6,0.6470588235294118,0.2619047619047619,0.3411032728437346,0.16536232675551094,kernfamilie_mit_feldzeitverdichtung,reifungsrolle_reproduziert,real,0,summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.3411032728437346,0.16536232675551094,,,real,,kind_summary,1,30.0,0.6470588235294118,0.2619047619047619,reifungsrolle_reproduziert:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.32479842827021194,0.15601682857588856,,,null_random,,kind_summary,1,31.0,0.6153846153846154,0.2,reifungsrolle_reproduziert:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.34329998638181997,0.16496503817175415,,,null_shuffle,,kind_summary,1,31.0,0.6153846153846154,0.22727272727272727,reifungsrolle_reproduziert:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAXG,,,,,,,,,,,,,0,window_summary,,,,,,0.03167420814479638,0.03463203463203465,-0.002196713538085371,0.00039728858375678855,0.023233053877465402,graduell_kernnaehe_ohne_feldzeitvorsprung,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAXG,start0_real_6000,,,,,,,,,,,real,0,detail,,,,,,,,,,,,2025,dio_104t,354,3,field_stabil,121,0.06056056056056056,0.758526041322314,0.16002577685950414,0.7410316115702479,0.8979210082644629,102,0.05105105105105105,0.7614386274509805,0.16305838235294118,0.8401804901960784,0.9468765490196078,131,0.06556556556556556,0.7636834732824428,0.16371106106870228,0.8378117557251908,0.9475644809160306,0.005005005005004996,0.09678014415494296,0.049643472651567766,0.003685284209198142,anschlussfaehige_oberflaeche
PAXG,start0_real_6000,,,,,,,,,,,real,0,detail,,,,,,,,,,,,2025,dio_14wj,328,3,field_stabil,110,0.055055055055055056,0.7701976545454546,0.14012014545454546,0.7458577636363636,0.9005949818181819,99,0.04954954954954955,0.7781768585858585,0.14382073737373738,0.8578722020202021,0.9543649292929294,119,0.059559559559559556,0.7814945546218487,0.14337773109243698,0.8509950672268907,0.9553375294117646,0.0045045045045045,0.10513730359052709,0.05474254759358277,0.0032575856378915247,anschlussfaehige_oberflaeche
PAXG,start0_real_6000,,,,,,,,,,,real,0,detail,,,,,,,,,,,,2025,dio_0l7p,198,3,field_stabil,69,0.03453453453453453,0.7631804347826087,0.15019663768115943,0.7177737971014493,0.8797582463768115,66,0.03303303303303303,0.7672142424242424,0.15363325757575758,0.8538271363636363,0.9484467878787879,63,0.03153153153153153,0.7721549999999999,0.1546328888888889,0.8655646507936507,0.9549853015873015,-0.0030030030030030047,0.14779085369220146,0.07522705521049,0.004436251207729475,anschlussfaehige_oberflaeche
