preview_symbol,role_reading,count,world_count,depth_score,top_world,top_world_share,top_worlds,milieu_counts,grundrolle_score,uebergangsrolle_score,milieurolle_score,nebenrolle_score,quiet_share,stress_share,shift_share,stress_shift_share,top_milieu_share,distribution_entropy
dio_mcm_episode_1rj8742,breite_grundrolle,18021,40,0.725503,REAL_FOLLOW_BTC_6000,0.085844,REAL_FOLLOW_BTC_6000:1547;BTC_STRESS_2025_5M:870;FOLLOW_EQ10K_PAXG_2024_5M:858;REAL_FOLLOW_XRP_6000:838;REAL_FOLLOW_DOGE_6000:750;BTC_FIELD_QUIET_04:718;BTC_LONG_2024_5M_QUIET:694;REAL_FOLLOW_SOL_6000:682;FOLLOW_KAS_2024_5M_2000:660;PAXG_1H_A:645,quiet:3766;btc:3646;paxg:2795;xrp:2004;doge:1746;shift:1478;sol:993;stress:933;other:660,0.934001,0.554243,0.163003,0.0,0.208978,0.051773,0.082015,0.133788,0.208978,0.932605
dio_mcm_episode_0icnf2v,breite_grundrolle,94381,39,0.827667,REAL_TIME_2023_SOL_ALTSEQ_A,0.072822,REAL_TIME_2023_SOL_ALTSEQ_A:6873;FOLLOW_DOGE_2024_5M_2000:6679;REAL_FOLLOW_DOGE_6000:6538;FOLLOW_XRP_2024_5M_2000:6192;REAL_FOLLOW_BTC_6000:5866;BTC_10K_A:5850;SOL_10K_A:5602;REAL_FOLLOW_SOL_6000:5581;REAL_FOLLOW_XRP_6000:4315;REAL_TIME_2024_BTC_5M:4261,sol:21480;btc:16165;xrp:14825;doge:13691;quiet:11832;paxg:11178;stress:4643;other:461;shift:106,0.903151,0.337476,0.177519,0.0,0.125364,0.049194,0.001123,0.050317,0.227588,0.866858
dio_mcm_episode_1qlxgj7,breite_grundrolle,16884,41,0.721133,FOLLOW_EQ10K_XRP_2024_5M,0.143331,FOLLOW_EQ10K_XRP_2024_5M:2420;FOLLOW_EQ10K_DOGE_2024_5M:2338;FOLLOW_EQ10K_PAXG_2024_5M:1153;FOLLOW_DOGE_2024_5M_2000:1109;REAL_FOLLOW_SOL_6000:1032;REAL_FOLLOW_DOGE_6000:921;REAL_FOLLOW_XRP_6000:890;FOLLOW_XRP_2024_5M_2000:719;REAL_TIME_2024_XRP:700;REAL_TIME_2023_SOL_ALTSEQ_A:683,xrp:4824;doge:4504;sol:2440;btc:1705;paxg:1304;quiet:1281;shift:470;stress:249;other:107,0.857508,0.30802,0.222857,0.0,0.075871,0.014748,0.027837,0.042585,0.285714,0.823268
dio_mcm_episode_0wo0tz1,breite_grundrolle,4718,28,0.670963,BTC_FIELD_QUIET_03,0.093684,BTC_FIELD_QUIET_03:442;BTC_STRESS_2025_5M:419;BTC_STRESS_2024_5M:401;XRP_1H_A:330;FOLLOW_PAXG_2024_5M_2000:327;REAL_TIME_2024_PAXG:327;BTC_10K_A:313;BTC_LONG_2024_5M_QUIET:289;REAL_FOLLOW_DOGE_6000:245;BTC_SHIFT_2025_15M_16000_17000:221,stress:820;quiet:783;paxg:777;btc:692;doge:690;xrp:510;shift:439;sol:7,0.821027,0.770764,0.125862,0.066499,0.16596,0.173802,0.093048,0.26685,0.173802,0.929598
dio_mcm_episode_12tgchq,breite_grundrolle,32949,26,0.826714,FOLLOW_EQ10K_DOGE_2024_5M,0.1431,FOLLOW_EQ10K_DOGE_2024_5M:4715;FOLLOW_EQ10K_XRP_2024_5M:4040;FOLLOW_EQ10K_PAXG_2024_5M:2812;SOL_10K_A:2722;REAL_FOLLOW_XRP_6000:2518;REAL_FOLLOW_SOL_6000:2256;REAL_TIME_2024_SOL_ALTSEQ_A:2172;BTC_10K_A:1848;FOLLOW_XRP_2024_5M_2000:1645;REAL_TIME_2023_SOL_ALTSEQ_A:1535,xrp:8936;sol:8685;doge:6978;btc:3255;paxg:3152;quiet:1360;stress:578;shift:5,0.801278,0.231052,0.215116,0.020969,0.041276,0.017542,0.000152,0.017694,0.271207,0.813243
dio_mcm_episode_0iwh9d2,breite_grundrolle,14304,23,0.836471,REAL_FOLLOW_PAXG_6000,0.197917,REAL_FOLLOW_PAXG_6000:2831;PAXG_1846_A:2460;FOLLOW_EQ10K_PAXG_2024_5M:1844;FOLLOW_EQ10K_DOGE_2024_5M:852;BTC_LONG_2025_5M_QUIET:742;QUIET_NEAR_BTC_1869:742;REAL_FOLLOW_XRP_6000:649;FOLLOW_EQ10K_XRP_2024_5M:602;REAL_TIME_2024_BTC_5M:565;BTC_10K_A:545,paxg:7315;quiet:2616;xrp:2216;btc:1113;doge:979;sol:65,0.727678,0.170325,0.409609,0.033351,0.182886,0.0,0.0,0.0,0.511395,0.753058
dio_mcm_episode_0tfzgic,breite_grundrolle,7991,29,0.691902,REAL_TIME_2024_SOL_ALTSEQ_A,0.225754,REAL_TIME_2024_SOL_ALTSEQ_A:1804;BTC_LONG_2025_5M_QUIET:1320;QUIET_NEAR_BTC_1869:1317;QUIET_NEAR_PAXG2025_1H:723;QUIET_NEAR_PAXG2024_1H:603;BTC_FIELD_QUIET_02:503;DOGE_1H_A:297;BTC_1H_B:290;REAL_TIME_2023_SOL_ALTSEQ_A:226;FOLLOW_KAS_2024_5M_2000:223,quiet:4601;sol:2030;btc:559;doge:329;other:223;paxg:87;shift:69;xrp:63;stress:30,0.662239,0.161132,0.441678,0.025769,0.575773,0.003754,0.008635,0.012389,0.575773,0.560992
dio_mcm_episode_0nu3wih,breite_grundrolle,2919,20,0.621449,QUIET_NEAR_PAXG2025_1H,0.239466,QUIET_NEAR_PAXG2025_1H:699;FOLLOW_KAS_2024_5M_2000:449;QUIET_NEAR_BTC_FIELD_01:432;SOL_10K_A:406;REAL_TIME_2024_SOL_ALTSEQ_A:219;XRP_1H_A:161;BTC_SHIFT_2025_30M_10000_11000:155;BTC_1H_B:88;BTC_STRESS_2024_5M:67;DOGE_1H_B:64,quiet:1213;sol:649;other:449;xrp:169;shift:155;doge:118;btc:96;stress:70,0.606222,0.286124,0.291539,0.134364,0.415553,0.023981,0.0531,0.077081,0.415553,0.788408
dio_mcm_episode_1eav7xq,breite_grundrolle,501,39,0.714501,FOLLOW_EQ10K_XRP_2024_5M,0.177645,FOLLOW_EQ10K_XRP_2024_5M:89;FOLLOW_EQ10K_DOGE_2024_5M:81;FOLLOW_EQ10K_PAXG_2024_5M:27;FOLLOW_XRP_2024_5M_2000:24;REAL_FOLLOW_DOGE_6000:23;REAL_TIME_2024_XRP:21;SOL_10K_A:17;FOLLOW_DOGE_2024_5M_2000:16;REAL_FOLLOW_SOL_6000:16;REAL_TIME_2024_BTC_5M:15,xrp:158;doge:128;btc:54;sol:51;quiet:44;paxg:41;shift:14;stress:11,0.584122,0.225886,0.166032,0.211276,0.087824,0.021956,0.027944,0.0499,0.315369,0.859625
dio_mcm_episode_0vcr3lw,breite_grundrolle,427,38,0.695976,FOLLOW_EQ10K_XRP_2024_5M,0.177986,FOLLOW_EQ10K_XRP_2024_5M:76;FOLLOW_EQ10K_DOGE_2024_5M:59;FOLLOW_EQ10K_PAXG_2024_5M:29;REAL_TIME_2023_SOL_ALTSEQ_A:18;FOLLOW_DOGE_2024_5M_2000:17;FOLLOW_XRP_2024_5M_2000:17;SOL_10K_A:17;REAL_FOLLOW_SOL_6000:16;DOGE_1H_B:13;REAL_FOLLOW_DOGE_6000:13,xrp:121;doge:106;paxg:56;sol:51;quiet:37;btc:34;stress:13;shift:9,0.575064,0.225563,0.145351,0.222555,0.086651,0.030445,0.021077,0.051522,0.283372,0.877408
