preview_symbol,count,world_count,phase_quality_state,phase_quality_depth,positive_phase_affinity,avg_phase_drift,max_phase_drift,dominant_field_function,dominant_field_variant,dominant_world_binding,worlds,field_functions,field_variants,world_bindings,avg_carry,avg_strain,avg_rekopplung,avg_sensory,avg_visual_gap,avg_hearing_gap,avg_coherence,avg_tension,avg_asymmetry
dio_mcm_episode_0icnf2v,28040,10,stable_crossworld_field_phase,0.870324,0.770893,0.042602,0.223504,active_recoupling,compact_carried_recoupling,realworld_bound,FPSIG_NULL_SOL_EXPANSION_SHUFFLE_6000:4742;FPSIG_NULL_DOGE_REAL_SHUFFLE_6000:4536;FPSIG_NULL_SOL_QUIET_SHUFFLE_6000:4204;FPSIG_SOL_EXPANSION_6000:3613;FPSIG_SOL_QUIET_6000:3450,active_recoupling:18921;milieu_island:9119,compact_carried_recoupling:18921;quiet_deep_recoupling:8679;local_milieu_seed:440,realworld_bound:23504;mixed_binding:4536,0.571539,0.159802,0.719853,0.85664,0.166705,0.079074,0.645049,0.084083,0.000299
dio_mcm_episode_1rj8742,5924,12,stable_crossworld_field_phase,0.860633,0.764323,0.045252,0.22072,active_recoupling,distributed_active_recoupling,realworld_bound,FPSIG_NULL_BTC_STRESS_SHUFFLE_4000:1220;FPSIG_BTC_STRESS_4000:892;FPSIG_NULL_SOL_QUIET_SHUFFLE_6000:743;FPSIG_PAXG_1H_1000:619;FPSIG_SOL_REAL_1000:541,active_recoupling:5097;milieu_island:827,distributed_active_recoupling:5027;local_milieu_seed:827;compact_carried_recoupling:70,realworld_bound:5924,0.543458,0.154345,0.70991,0.85644,0.166897,0.080404,0.641859,0.085503,-0.001104
dio_mcm_episode_12tgchq,2388,8,stable_crossworld_field_phase,0.859001,0.767466,0.043511,0.20818,milieu_island,quiet_deep_recoupling,realworld_bound,FPSIG_DOGE_REAL_6000:824;FPSIG_SOL_EXPANSION_6000:693;FPSIG_SOL_QUIET_6000:272;FPSIG_BTC_STRESS_4000:248;FPSIG_NULL_SOL_QUIET_SHUFFLE_6000:148,milieu_island:2098;active_recoupling:290,quiet_deep_recoupling:2019;compact_carried_recoupling:290;local_milieu_seed:79,realworld_bound:2388,0.569426,0.161965,0.717319,0.851658,0.176991,0.080938,0.633639,0.086377,-0.006857
dio_mcm_episode_1qlxgj7,3156,12,stable_crossworld_field_phase,0.858598,0.76068,0.046752,0.212189,active_recoupling,distributed_active_recoupling,realworld_bound,FPSIG_DOGE_REAL_6000:1029;FPSIG_SOL_EXPANSION_6000:534;FPSIG_DOGE_5M_1000:380;FPSIG_NULL_SOL_EXPANSION_SHUFFLE_6000:300;FPSIG_NULL_BTC_STRESS_SHUFFLE_4000:207,active_recoupling:3016;milieu_island:140,distributed_active_recoupling:2928;local_milieu_seed:140;compact_carried_recoupling:88,realworld_bound:3156,0.540866,0.156708,0.706712,0.850192,0.183089,0.079571,0.628093,0.085906,0.0037
dio_mcm_episode_0vcr3lw,89,12,stable_crossworld_field_phase,0.840265,0.759247,0.046919,0.145361,active_recoupling,distributed_active_recoupling,realworld_bound,FPSIG_DOGE_REAL_6000:17;FPSIG_NULL_BTC_STRESS_SHUFFLE_4000:15;FPSIG_SOL_EXPANSION_6000:13;FPSIG_NULL_SOL_QUIET_SHUFFLE_6000:9;FPSIG_BTC_STRESS_4000:6,active_recoupling:89,distributed_active_recoupling:84;compact_carried_recoupling:5,realworld_bound:89,0.542241,0.158147,0.706855,0.848455,0.18287,0.082826,0.621001,0.088832,0.019096
dio_mcm_episode_0wo0tz1,2210,9,stable_crossworld_field_phase,0.83967,0.762134,0.044205,0.210051,active_recoupling,distributed_active_recoupling,realworld_bound,FPSIG_NULL_DOGE_REAL_SHUFFLE_6000:630;FPSIG_BTC_STRESS_4000:420;FPSIG_BTC_1H_1000:249;FPSIG_DOGE_5M_1000:186;FPSIG_PAXG_1H_1000:184,active_recoupling:1898;milieu_island:312,distributed_active_recoupling:1832;local_milieu_seed:312;compact_carried_recoupling:66,realworld_bound:2210,0.525881,0.149232,0.70431,0.858057,0.169257,0.073766,0.6391,0.080671,-0.000593
dio_mcm_episode_1eav7xq,94,12,stable_crossworld_field_phase,0.838604,0.762533,0.04722,0.148413,active_recoupling,distributed_active_recoupling,realworld_bound,FPSIG_DOGE_REAL_6000:15;FPSIG_NULL_BTC_STRESS_SHUFFLE_4000:15;FPSIG_SOL_EXPANSION_6000:15;FPSIG_NULL_DOGE_REAL_SHUFFLE_6000:10;FPSIG_NULL_SOL_QUIET_SHUFFLE_6000:9,active_recoupling:90;milieu_island:4,distributed_active_recoupling:88;local_milieu_seed:4;compact_carried_recoupling:2,realworld_bound:94,0.53713,0.154868,0.706529,0.854272,0.177312,0.077115,0.640726,0.08307,0.01906
dio_mcm_episode_0bsaqu1,80,12,stable_crossworld_field_phase,0.83783,0.763886,0.044671,0.1239,active_recoupling,distributed_active_recoupling,realworld_bound,FPSIG_DOGE_REAL_6000:13;FPSIG_NULL_BTC_STRESS_SHUFFLE_4000:13;FPSIG_PAXG_1H_1000:9;FPSIG_SOL_EXPANSION_6000:7;FPSIG_BTC_STRESS_4000:6,active_recoupling:80,distributed_active_recoupling:74;compact_carried_recoupling:6,realworld_bound:80,0.53971,0.154417,0.708156,0.857707,0.164737,0.077305,0.641432,0.084015,-0.006221
dio_mcm_episode_0tfzgic,1343,11,stable_crossworld_field_phase,0.835336,0.754014,0.048145,0.184447,active_recoupling,distributed_active_recoupling,realworld_bound,FPSIG_SOL_QUIET_6000:519;FPSIG_NULL_SOL_QUIET_SHUFFLE_6000:410;FPSIG_BTC_1H_1000:122;FPSIG_NULL_DOGE_REAL_SHUFFLE_6000:94;FPSIG_SOL_REAL_1000:62,active_recoupling:1341;open_surface:2,distributed_active_recoupling:1159;compact_carried_recoupling:182;unsettled_surface_trace:2,realworld_bound:1343,0.503459,0.151166,0.693991,0.855578,0.16791,0.082475,0.640847,0.087271,-0.00146
dio_mcm_episode_0hvxln3,73,12,stable_crossworld_field_phase,0.8326,0.756754,0.049184,0.103238,active_recoupling,distributed_active_recoupling,realworld_bound,FPSIG_DOGE_REAL_6000:13;FPSIG_SOL_EXPANSION_6000:12;FPSIG_NULL_BTC_STRESS_SHUFFLE_4000:9;FPSIG_NULL_SOL_QUIET_SHUFFLE_6000:8;FPSIG_NULL_DOGE_REAL_SHUFFLE_6000:7,active_recoupling:72;milieu_island:1,distributed_active_recoupling:64;compact_carried_recoupling:8;quiet_deep_recoupling:1,realworld_bound:73,0.535167,0.160295,0.703507,0.847005,0.189971,0.08108,0.621605,0.090249,-0.009619
dio_mcm_episode_0iwh9d2,395,5,positive_recoupling_field_phase,0.830692,0.770138,0.04034,0.191121,milieu_island,local_milieu_seed,realworld_bound,FPSIG_SOL_QUIET_6000:200;FPSIG_DOGE_REAL_6000:127;FPSIG_NULL_SOL_QUIET_SHUFFLE_6000:50;FPSIG_NULL_DOGE_REAL_SHUFFLE_6000:11;FPSIG_NULL_BTC_STRESS_SHUFFLE_4000:7,milieu_island:383;active_recoupling:12,local_milieu_seed:383;compact_carried_recoupling:12,realworld_bound:395,0.565636,0.156068,0.718888,0.861701,0.141407,0.086348,0.646672,0.08853,0.00482
dio_mcm_episode_08g1nk4,84,10,stable_crossworld_field_phase,0.829568,0.74804,0.053241,0.155193,active_recoupling,distributed_active_recoupling,realworld_bound,FPSIG_DOGE_REAL_6000:17;FPSIG_SOL_EXPANSION_6000:16;FPSIG_NULL_BTC_STRESS_SHUFFLE_4000:10;FPSIG_BTC_STRESS_4000:9;FPSIG_NULL_SOL_QUIET_SHUFFLE_6000:9,active_recoupling:81;milieu_island:2;open_surface:1,distributed_active_recoupling:77;compact_carried_recoupling:4;local_milieu_seed:2;unsettled_surface_trace:1,realworld_bound:84,0.535935,0.1713,0.699203,0.830149,0.23227,0.088011,0.596294,0.096644,-0.053514
dio_mcm_episode_0nu3wih,414,11,stable_crossworld_field_phase,0.826714,0.748616,0.049241,0.144788,active_recoupling,distributed_active_recoupling,realworld_bound,FPSIG_SOL_EXPANSION_6000:137;FPSIG_SOL_REAL_1000:91;FPSIG_SOL_QUIET_6000:86;FPSIG_BTC_1H_1000:58;FPSIG_NULL_DOGE_REAL_SHUFFLE_6000:12,active_recoupling:401;open_surface:13,distributed_active_recoupling:265;compact_carried_recoupling:136;unsettled_surface_trace:13,realworld_bound:414,0.493152,0.152605,0.688863,0.848759,0.189734,0.079071,0.621428,0.086575,-0.005086
dio_mcm_episode_14pd6eb,48,7,positive_recoupling_field_phase,0.824771,0.775422,0.041552,0.113807,active_recoupling,compact_carried_recoupling,realworld_bound,FPSIG_NULL_SOL_QUIET_SHUFFLE_6000:14;FPSIG_SOL_EXPANSION_6000:12;FPSIG_BTC_STRESS_4000:8;FPSIG_NULL_DOGE_REAL_SHUFFLE_6000:6;FPSIG_NULL_BTC_STRESS_SHUFFLE_4000:4,active_recoupling:24;milieu_island:24,compact_carried_recoupling:24;quiet_deep_recoupling:24,realworld_bound:42;mixed_binding:6,0.579688,0.157981,0.722706,0.858267,0.171655,0.069146,0.648043,0.076129,0.04241
dio_mcm_episode_14sn1ov,79,9,stable_crossworld_field_phase,0.824319,0.750651,0.053124,0.143066,active_recoupling,distributed_active_recoupling,realworld_bound,FPSIG_DOGE_REAL_6000:17;FPSIG_SOL_EXPANSION_6000:15;FPSIG_NULL_BTC_STRESS_SHUFFLE_4000:12;FPSIG_NULL_DOGE_REAL_SHUFFLE_6000:9;FPSIG_NULL_SOL_QUIET_SHUFFLE_6000:9,active_recoupling:77;open_surface:2,distributed_active_recoupling:69;compact_carried_recoupling:8;unsettled_surface_trace:2,realworld_bound:79,0.537459,0.166207,0.701325,0.835239,0.216622,0.082927,0.587458,0.092232,-0.037465
dio_mcm_episode_05upp98,44,7,positive_recoupling_field_phase,0.823773,0.775734,0.041167,0.112972,milieu_island,quiet_deep_recoupling,realworld_bound,FPSIG_SOL_EXPANSION_6000:14;FPSIG_NULL_SOL_QUIET_SHUFFLE_6000:9;FPSIG_BTC_STRESS_4000:5;FPSIG_NULL_BTC_STRESS_SHUFFLE_4000:5;FPSIG_NULL_DOGE_REAL_SHUFFLE_6000:5,milieu_island:35;active_recoupling:9,quiet_deep_recoupling:35;compact_carried_recoupling:9,realworld_bound:35;mixed_binding:9,0.58179,0.158865,0.723629,0.861382,0.154624,0.075772,0.656255,0.082207,0.004144
dio_mcm_episode_1yxc2ug,234,6,stable_crossworld_field_phase,0.821621,0.758584,0.044894,0.132431,active_recoupling,distributed_active_recoupling,realworld_bound,FPSIG_DOGE_REAL_6000:103;FPSIG_DOGE_5M_1000:85;FPSIG_SOL_EXPANSION_6000:24;FPSIG_BTC_1H_1000:14;FPSIG_BTC_STRESS_4000:7,active_recoupling:210;milieu_island:24,distributed_active_recoupling:135;compact_carried_recoupling:75;local_milieu_seed:24,realworld_bound:234,0.541016,0.156582,0.7058,0.842401,0.215113,0.065078,0.59471,0.078936,-0.011937
dio_mcm_episode_0b8eoy2,67,8,stable_crossworld_field_phase,0.809808,0.748902,0.061633,0.208618,active_recoupling,distributed_active_recoupling,realworld_bound,FPSIG_DOGE_REAL_6000:18;FPSIG_SOL_EXPANSION_6000:14;FPSIG_NULL_BTC_STRESS_SHUFFLE_4000:10;FPSIG_NULL_SOL_QUIET_SHUFFLE_6000:8;FPSIG_NULL_DOGE_REAL_SHUFFLE_6000:7,active_recoupling:63;open_surface:4,distributed_active_recoupling:60;unsettled_surface_trace:4;compact_carried_recoupling:3,realworld_bound:67,0.528707,0.167122,0.696536,0.836723,0.209714,0.087384,0.604746,0.094875,-0.02368
dio_mcm_episode_0n6m7si,33,7,positive_recoupling_field_phase,0.809423,0.774834,0.045012,0.115107,active_recoupling,compact_carried_recoupling,realworld_bound,FPSIG_NULL_SOL_EXPANSION_SHUFFLE_6000:12;FPSIG_NULL_DOGE_REAL_SHUFFLE_6000:5;FPSIG_SOL_EXPANSION_6000:5;FPSIG_NULL_BTC_STRESS_SHUFFLE_4000:4;FPSIG_BTC_STRESS_4000:3,active_recoupling:20;milieu_island:13,compact_carried_recoupling:20;local_milieu_seed:10;quiet_deep_recoupling:3,realworld_bound:17;mixed_binding:11;field_internal_null_order:5,0.573418,0.159374,0.722742,0.860335,0.167364,0.078238,0.666126,0.079634,0.009141
