preview_symbol,count,world_count,phase_quality_state,origin_quality,dominant_world_binding,dominant_field_function,dominant_field_variant,phase_quality_depth,positive_phase_affinity,avg_phase_drift,max_phase_drift,real_count,null_count,synthetic_count,unknown_count,mixed_binding_count,real_share,null_share,synthetic_share,unknown_share,mixed_binding_share,avg_carry,avg_strain,avg_rekopplung,avg_sensory,avg_visual_gap,avg_hearing_gap,worlds,world_bindings
dio_mcm_episode_0iwh9d2,6167,6,stable_crossworld_field_phase,realwelt_getragen,realworld_bound,milieu_island,quiet_deep_recoupling,0.848824,0.761457,0.046974,0.24422,6167,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.573509,0.168654,0.717435,0.853203,0.131846,0.11033,FPSIG_LONG_REAL_BTC_0_17K:2187;FPSIG_LONG_REAL_BTC_17K_34K:1331;FPSIG_LONG_REAL_SOL_0_17K:1243;FPSIG_LONG_REAL_SOL_17K_34K:821;FPSIG_LONG_REAL_SOL_34K_51K:373;FPSIG_LONG_REAL_BTC_34K_51K:212,realworld_bound:6167
dio_mcm_episode_0icnf2v,3241,6,stable_crossworld_field_phase,realwelt_getragen,realworld_bound,milieu_island,quiet_deep_recoupling,0.847505,0.764992,0.046268,0.202332,3241,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.572414,0.165477,0.717666,0.853803,0.148701,0.097237,FPSIG_LONG_REAL_BTC_17K_34K:984;FPSIG_LONG_REAL_SOL_0_17K:789;FPSIG_LONG_REAL_BTC_0_17K:629;FPSIG_LONG_REAL_SOL_17K_34K:511;FPSIG_LONG_REAL_BTC_34K_51K:174;FPSIG_LONG_REAL_SOL_34K_51K:154,realworld_bound:3241
dio_mcm_episode_12tgchq,60400,6,stable_crossworld_field_phase,realwelt_getragen,realworld_bound,milieu_island,quiet_deep_recoupling,0.847418,0.758244,0.050915,0.257423,60400,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.571509,0.172697,0.712866,0.842763,0.173416,0.101555,FPSIG_LONG_REAL_SOL_17K_34K:11248;FPSIG_LONG_REAL_SOL_34K_51K:11179;FPSIG_LONG_REAL_BTC_34K_51K:10997;FPSIG_LONG_REAL_SOL_0_17K:9566;FPSIG_LONG_REAL_BTC_17K_34K:8968;FPSIG_LONG_REAL_BTC_0_17K:8442,realworld_bound:60400
dio_mcm_episode_0bygq81,353,6,stable_crossworld_field_phase,realwelt_getragen,realworld_bound,milieu_island,quiet_deep_recoupling,0.846386,0.763971,0.045483,0.21948,353,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.578567,0.170143,0.717248,0.846443,0.175848,0.090669,FPSIG_LONG_REAL_SOL_34K_51K:91;FPSIG_LONG_REAL_BTC_17K_34K:67;FPSIG_LONG_REAL_BTC_34K_51K:67;FPSIG_LONG_REAL_SOL_17K_34K:56;FPSIG_LONG_REAL_BTC_0_17K:39;FPSIG_LONG_REAL_SOL_0_17K:33,realworld_bound:353
dio_mcm_episode_1b57ksv,4443,6,stable_crossworld_field_phase,realwelt_getragen,realworld_bound,milieu_island,quiet_deep_recoupling,0.845771,0.755185,0.051169,0.246826,4443,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.56892,0.173388,0.713329,0.846299,0.139522,0.120328,FPSIG_LONG_REAL_BTC_17K_34K:1501;FPSIG_LONG_REAL_BTC_34K_51K:1035;FPSIG_LONG_REAL_BTC_0_17K:793;FPSIG_LONG_REAL_SOL_17K_34K:551;FPSIG_LONG_REAL_SOL_0_17K:311;FPSIG_LONG_REAL_SOL_34K_51K:252,realworld_bound:4443
dio_mcm_episode_05upp98,434,6,stable_crossworld_field_phase,realwelt_getragen,realworld_bound,milieu_island,quiet_deep_recoupling,0.845502,0.761785,0.046662,0.150197,434,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.575972,0.170308,0.715904,0.845058,0.172868,0.096199,FPSIG_LONG_REAL_SOL_34K_51K:104;FPSIG_LONG_REAL_BTC_34K_51K:84;FPSIG_LONG_REAL_BTC_17K_34K:76;FPSIG_LONG_REAL_SOL_17K_34K:73;FPSIG_LONG_REAL_SOL_0_17K:54;FPSIG_LONG_REAL_BTC_0_17K:43,realworld_bound:434
dio_mcm_episode_1qv5i56,240,6,stable_crossworld_field_phase,realwelt_getragen,realworld_bound,milieu_island,quiet_deep_recoupling,0.844299,0.76293,0.04428,0.153568,240,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.57916,0.170088,0.717303,0.844471,0.181343,0.08679,FPSIG_LONG_REAL_BTC_17K_34K:54;FPSIG_LONG_REAL_BTC_34K_51K:50;FPSIG_LONG_REAL_SOL_34K_51K:49;FPSIG_LONG_REAL_SOL_17K_34K:38;FPSIG_LONG_REAL_BTC_0_17K:29;FPSIG_LONG_REAL_SOL_0_17K:20,realworld_bound:240
dio_mcm_episode_14pd6eb,483,6,stable_crossworld_field_phase,realwelt_getragen,realworld_bound,milieu_island,quiet_deep_recoupling,0.843894,0.758549,0.050213,0.184785,483,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.572853,0.172538,0.713739,0.840702,0.184426,0.095287,FPSIG_LONG_REAL_SOL_34K_51K:116;FPSIG_LONG_REAL_BTC_34K_51K:94;FPSIG_LONG_REAL_SOL_17K_34K:84;FPSIG_LONG_REAL_BTC_17K_34K:77;FPSIG_LONG_REAL_SOL_0_17K:62;FPSIG_LONG_REAL_BTC_0_17K:50,realworld_bound:483
dio_mcm_episode_1c8zokt,348,6,stable_crossworld_field_phase,realwelt_getragen,realworld_bound,milieu_island,quiet_deep_recoupling,0.840598,0.75499,0.051379,0.207268,348,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.570217,0.174457,0.710543,0.829078,0.234493,0.075152,FPSIG_LONG_REAL_BTC_0_17K:102;FPSIG_LONG_REAL_BTC_34K_51K:61;FPSIG_LONG_REAL_SOL_0_17K:56;FPSIG_LONG_REAL_SOL_34K_51K:51;FPSIG_LONG_REAL_BTC_17K_34K:45;FPSIG_LONG_REAL_SOL_17K_34K:33,realworld_bound:348
dio_mcm_episode_1rf1k15,93,6,stable_crossworld_field_phase,realwelt_getragen,realworld_bound,milieu_island,quiet_deep_recoupling,0.833067,0.756391,0.043228,0.12024,93,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.57784,0.17684,0.712845,0.828945,0.232282,0.079099,FPSIG_LONG_REAL_BTC_34K_51K:20;FPSIG_LONG_REAL_BTC_17K_34K:19;FPSIG_LONG_REAL_SOL_17K_34K:16;FPSIG_LONG_REAL_SOL_34K_51K:16;FPSIG_LONG_REAL_BTC_0_17K:15;FPSIG_LONG_REAL_SOL_0_17K:7,realworld_bound:93
