lookback,target_group,chain,events,dominant_motion_class,dominant_motion_share,dominant_sensory_class,dominant_sensory_share,dominant_field_contact_class,dominant_field_contact_share,dominant_combined_class,dominant_combined_share,symbols,motion_classes,sensory_classes,field_contact_classes,avg_range,avg_changes,avg_carry,avg_strain,avg_rekopplung
lb144,oberflaeche_rekoppelt,long_btc_sol,41,weite_unruhige_vorphase_fallend,0.3902439024390244,sicht_zerfaellt_wechselnd_mittel,0.21951219512195122,offene_rekopplung,0.6585365853658537,weite_unruhige_vorphase_fallend | sicht_zerfaellt_wechselnd_mittel | offene_rekopplung,0.07317073170731707,dio_mcm_episode_16yidit:21;dio_mcm_episode_1y7uo9c:20,weite_unruhige_vorphase_fallend:16;weite_unruhige_vorphase_steigend:12;enge_unruhige_vorphase_fallend:6;enge_unruhige_vorphase_steigend:5;weite_unruhige_vorphase_seitwaerts:1;enge_unruhige_vorphase_seitwaerts:1,sicht_zerfaellt_wechselnd_mittel:9;sicht_wechselt_gedaempft_leise:6;sicht_stabil_gedaempft_leise:5;sicht_zerfaellt_gedaempft_mittel:4;sicht_stabil_wechselnd_mittel:4;sicht_stabil_gedaempft_mittel:3;sicht_wechselt_wechselnd_mittel:3;sicht_wechselt_gedaempft_mittel:2,offene_rekopplung:27;tragende_rekopplung:14,7.416797942165836,72.8048780487805,0.41029612195121945,0.23144429268292685,0.6161722926829268
lb144,oberflaeche_rekoppelt,multiasset,39,weite_unruhige_vorphase_steigend,0.41025641025641024,sicht_stabil_gedaempft_leise,0.20512820512820512,tragende_rekopplung,0.5897435897435898,weite_unruhige_vorphase_steigend | sicht_stabil_gedaempft_leise | tragende_rekopplung,0.10256410256410256,dio_mcm_episode_1y7uo9c:25;dio_mcm_episode_16yidit:14,weite_unruhige_vorphase_steigend:16;enge_unruhige_vorphase_steigend:11;weite_unruhige_vorphase_fallend:9;mittlere_vorphase_fallend:2;enge_unruhige_vorphase_fallend:1,sicht_stabil_gedaempft_leise:8;sicht_zerfaellt_gedaempft_leise:7;sicht_zerfaellt_wechselnd_mittel:5;sicht_wechselt_wechselnd_mittel:4;sicht_wechselt_gedaempft_leise:4;sicht_zerfaellt_gedaempft_mittel:3;sicht_offen_gedaempft_leise:2;sicht_stabil_gedaempft_mittel:2,tragende_rekopplung:23;offene_rekopplung:16,7.664876936134195,64.66666666666667,0.424915641025641,0.20992515384615382,0.6325663333333333
lb144,oberflaeche_rekoppelt_spaet,long_btc_sol,22,enge_unruhige_vorphase_fallend,0.22727272727272727,sicht_zerfaellt_hoch_schwingend_laut,0.5,offene_rekopplung,0.9545454545454546,enge_unruhige_vorphase_fallend | sicht_zerfaellt_hoch_schwingend_laut | offene_rekopplung,0.13636363636363635,dio_mcm_episode_0x60uui:22,enge_unruhige_vorphase_fallend:5;weite_unruhige_vorphase_fallend:5;weite_unruhige_vorphase_steigend:5;enge_unruhige_vorphase_seitwaerts:4;enge_unruhige_vorphase_steigend:3,sicht_zerfaellt_hoch_schwingend_laut:11;sicht_zerfaellt_hoch_schwingend_mittel:4;sicht_zerfaellt_wechselnd_mittel:3;sicht_wechselt_wechselnd_mittel:1;sicht_wechselt_hell_getragen_mittel:1;sicht_stabil_wechselnd_mittel:1;sicht_zerfaellt_hell_getragen_mittel:1,offene_rekopplung:21;spannungsnahe_oeffnung:1,4.393772367632693,72.72727272727273,0.37839104545454544,0.2678768181818182,0.5899152272727273
lb144,oberflaeche_rekoppelt_spaet,multiasset,24,weite_unruhige_vorphase_fallend,0.375,sicht_zerfaellt_hoch_schwingend_laut,0.5416666666666666,offene_rekopplung,0.8333333333333334,weite_unruhige_vorphase_fallend | sicht_zerfaellt_hoch_schwingend_laut | offene_rekopplung,0.125,dio_mcm_episode_0x60uui:24,weite_unruhige_vorphase_fallend:9;enge_unruhige_vorphase_steigend:4;enge_unruhige_vorphase_fallend:4;weite_unruhige_vorphase_steigend:4;enge_unruhige_vorphase_seitwaerts:2;weite_unruhige_vorphase_seitwaerts:1,sicht_zerfaellt_hoch_schwingend_laut:13;sicht_zerfaellt_wechselnd_mittel:5;sicht_zerfaellt_hoch_schwingend_mittel:3;sicht_stabil_hell_getragen_laut:2;sicht_zerfaellt_hell_getragen_mittel:1,offene_rekopplung:20;spannungsnahe_oeffnung:4,6.408848613500268,62.208333333333336,0.37458079166666663,0.2695805,0.5899640416666666
lb144,rekopplung_oeffnet,long_btc_sol,112,enge_unruhige_vorphase_fallend,0.2857142857142857,sicht_zerfaellt_hoch_schwingend_laut,0.6071428571428571,spannungsnahe_oeffnung,0.6875,enge_unruhige_vorphase_fallend | sicht_zerfaellt_hoch_schwingend_laut | offene_rekopplung,0.09821428571428571,dio_mcm_episode_16bqw8k:69;dio_mcm_episode_0xg0gjh:43,enge_unruhige_vorphase_fallend:32;enge_unruhige_vorphase_steigend:26;weite_unruhige_vorphase_steigend:24;weite_unruhige_vorphase_fallend:22;enge_unruhige_vorphase_seitwaerts:6;mittlere_vorphase_seitwaerts:1;weite_unruhige_vorphase_seitwaerts:1,sicht_zerfaellt_hoch_schwingend_laut:68;sicht_stabil_hoch_schwingend_laut:37;sicht_zerfaellt_wechselnd_mittel:3;sicht_wechselt_hoch_schwingend_laut:2;sicht_stabil_wechselnd_mittel:1;sicht_zerfaellt_hell_getragen_laut:1,spannungsnahe_oeffnung:77;offene_rekopplung:32;getragen_offen:3,4.221122238306986,70.58928571428571,0.3701697767857143,0.28573155357142854,0.5814752232142857
lb144,rekopplung_oeffnet,multiasset,66,weite_unruhige_vorphase_steigend,0.3181818181818182,sicht_zerfaellt_hoch_schwingend_laut,0.6212121212121212,spannungsnahe_oeffnung,0.7575757575757576,weite_unruhige_vorphase_steigend | sicht_zerfaellt_hoch_schwingend_laut | spannungsnahe_oeffnung,0.16666666666666666,dio_mcm_episode_16bqw8k:41;dio_mcm_episode_0xg0gjh:25,weite_unruhige_vorphase_steigend:21;weite_unruhige_vorphase_fallend:15;enge_unruhige_vorphase_steigend:14;enge_unruhige_vorphase_fallend:12;enge_unruhige_vorphase_seitwaerts:4,sicht_zerfaellt_hoch_schwingend_laut:41;sicht_stabil_hoch_schwingend_laut:21;sicht_wechselt_hoch_schwingend_laut:2;sicht_stabil_wechselnd_mittel:1;sicht_stabil_hell_getragen_laut:1,spannungsnahe_oeffnung:50;offene_rekopplung:13;offener_feldkontakt:2;getragen_offen:1,6.4651081238161705,65.0,0.3670320606060606,0.28650433333333336,0.5812842121212122
lb48,oberflaeche_rekoppelt,long_btc_sol,41,weite_unruhige_vorphase_fallend,0.2926829268292683,sicht_zerfaellt_wechselnd_mittel,0.21951219512195122,offene_rekopplung,0.6585365853658537,weite_unruhige_vorphase_fallend | sicht_stabil_gedaempft_leise | tragende_rekopplung,0.07317073170731707,dio_mcm_episode_16yidit:21;dio_mcm_episode_1y7uo9c:20,weite_unruhige_vorphase_fallend:12;enge_unruhige_vorphase_fallend:10;weite_unruhige_vorphase_steigend:8;enge_unruhige_vorphase_steigend:7;weite_gerichtete_vorphase_steigend:2;weite_unruhige_vorphase_seitwaerts:1;mittlere_vorphase_steigend:1,sicht_zerfaellt_wechselnd_mittel:9;sicht_wechselt_gedaempft_leise:6;sicht_stabil_gedaempft_leise:5;sicht_zerfaellt_gedaempft_mittel:4;sicht_stabil_wechselnd_mittel:4;sicht_stabil_gedaempft_mittel:3;sicht_wechselt_wechselnd_mittel:3;sicht_wechselt_gedaempft_mittel:2,offene_rekopplung:27;tragende_rekopplung:14,5.697271104159757,23.365853658536587,0.41029612195121945,0.23144429268292685,0.6161722926829268
lb48,oberflaeche_rekoppelt,multiasset,39,enge_unruhige_vorphase_steigend,0.3333333333333333,sicht_stabil_gedaempft_leise,0.20512820512820512,tragende_rekopplung,0.5897435897435898,enge_unruhige_vorphase_steigend | sicht_zerfaellt_wechselnd_mittel | offene_rekopplung,0.10256410256410256,dio_mcm_episode_1y7uo9c:25;dio_mcm_episode_16yidit:14,enge_unruhige_vorphase_steigend:13;weite_unruhige_vorphase_steigend:11;weite_unruhige_vorphase_fallend:7;mittlere_vorphase_fallend:2;mittlere_vorphase_seitwaerts:2;enge_unruhige_vorphase_fallend:2;enge_unruhige_vorphase_seitwaerts:1;weite_gerichtete_vorphase_fallend:1,sicht_stabil_gedaempft_leise:8;sicht_zerfaellt_gedaempft_leise:7;sicht_zerfaellt_wechselnd_mittel:5;sicht_wechselt_wechselnd_mittel:4;sicht_wechselt_gedaempft_leise:4;sicht_zerfaellt_gedaempft_mittel:3;sicht_offen_gedaempft_leise:2;sicht_stabil_gedaempft_mittel:2,tragende_rekopplung:23;offene_rekopplung:16,5.102030468546868,22.58974358974359,0.424915641025641,0.20992515384615382,0.6325663333333333
lb48,oberflaeche_rekoppelt_spaet,long_btc_sol,22,enge_unruhige_vorphase_steigend,0.4090909090909091,sicht_zerfaellt_hoch_schwingend_laut,0.5,offene_rekopplung,0.9545454545454546,enge_unruhige_vorphase_steigend | sicht_zerfaellt_hoch_schwingend_laut | offene_rekopplung,0.18181818181818182,dio_mcm_episode_0x60uui:22,enge_unruhige_vorphase_steigend:9;enge_unruhige_vorphase_fallend:7;mittlere_vorphase_steigend:2;enge_unruhige_vorphase_seitwaerts:2;weite_unruhige_vorphase_fallend:1;weite_gerichtete_vorphase_steigend:1,sicht_zerfaellt_hoch_schwingend_laut:11;sicht_zerfaellt_hoch_schwingend_mittel:4;sicht_zerfaellt_wechselnd_mittel:3;sicht_wechselt_wechselnd_mittel:1;sicht_wechselt_hell_getragen_mittel:1;sicht_stabil_wechselnd_mittel:1;sicht_zerfaellt_hell_getragen_mittel:1,offene_rekopplung:21;spannungsnahe_oeffnung:1,2.3761644044691463,22.318181818181817,0.37839104545454544,0.2678768181818182,0.5899152272727273
lb48,oberflaeche_rekoppelt_spaet,multiasset,24,weite_unruhige_vorphase_fallend,0.3333333333333333,sicht_zerfaellt_hoch_schwingend_laut,0.5416666666666666,offene_rekopplung,0.8333333333333334,weite_unruhige_vorphase_steigend | sicht_zerfaellt_hoch_schwingend_laut | offene_rekopplung,0.125,dio_mcm_episode_0x60uui:24,weite_unruhige_vorphase_fallend:8;enge_unruhige_vorphase_steigend:3;mittlere_vorphase_seitwaerts:3;weite_unruhige_vorphase_steigend:3;mittlere_vorphase_steigend:2;feine_ruhevorphase_seitwaerts:1;feine_ruhevorphase_steigend:1;enge_unruhige_vorphase_seitwaerts:1,sicht_zerfaellt_hoch_schwingend_laut:13;sicht_zerfaellt_wechselnd_mittel:5;sicht_zerfaellt_hoch_schwingend_mittel:3;sicht_stabil_hell_getragen_laut:2;sicht_zerfaellt_hell_getragen_mittel:1,offene_rekopplung:20;spannungsnahe_oeffnung:4,4.288086593030431,21.5,0.37458079166666663,0.2695805,0.5899640416666666
lb48,rekopplung_oeffnet,long_btc_sol,112,enge_unruhige_vorphase_steigend,0.3125,sicht_zerfaellt_hoch_schwingend_laut,0.6071428571428571,spannungsnahe_oeffnung,0.6875,enge_unruhige_vorphase_steigend | sicht_zerfaellt_hoch_schwingend_laut | spannungsnahe_oeffnung,0.125,dio_mcm_episode_16bqw8k:69;dio_mcm_episode_0xg0gjh:43,enge_unruhige_vorphase_steigend:35;enge_unruhige_vorphase_fallend:34;enge_unruhige_vorphase_seitwaerts:15;weite_unruhige_vorphase_fallend:9;mittlere_vorphase_fallend:7;weite_unruhige_vorphase_steigend:4;mittlere_vorphase_seitwaerts:4;mittlere_vorphase_steigend:3,sicht_zerfaellt_hoch_schwingend_laut:68;sicht_stabil_hoch_schwingend_laut:37;sicht_zerfaellt_wechselnd_mittel:3;sicht_wechselt_hoch_schwingend_laut:2;sicht_stabil_wechselnd_mittel:1;sicht_zerfaellt_hell_getragen_laut:1,spannungsnahe_oeffnung:77;offene_rekopplung:32;getragen_offen:3,2.339508543720549,23.482142857142858,0.3701697767857143,0.28573155357142854,0.5814752232142857
