asset,window_start,window_end,world_label,source_path,data_path,world_events,role_family,target_members,found_members,member_coverage,found_symbols,missing_symbols,total_family_events,family_event_share,event_concentration,event_balance,dominant_member,phase_complete_members,phase_complete_ratio,early_family_events,late_family_events,mean_rekopplung_spaet,mean_strain_spaet,mean_afterimage_delta,mean_temporal_delta,source_follow_reading,boundary,world_kind,timeframe,year
BTC,0,1000,real_btc_2024_1h_0_1000,data/1-12_2024_1h_BTCUSDT.csv,data/generated/2074_rf05_holdout/holdout_2074_btc_2024_1h_start0_rows1000.csv,994,rf_05,8,5,0.625,dio_0fe7;dio_1xrt;dio_17dc;dio_1ba6;dio_0qup,dio_0v65;dio_0ein;dio_0u24,13,0.013078470824949699,0.38461538461538464,0.7032967032967034,dio_0fe7,0,0.0,4,4,0.74202725,0.14824175,0.131469,0.20752574999999995,familie_fragmentarisch_lesbar,passive_same_basis_family_followworld_summary_no_action_no_direction,real,1h,2024
BTC,0,1000,real_btc_2024_15m_0_1000,data/1-12_2024_15m_BTCUSDT.csv,data/generated/2074_rf05_holdout/holdout_2074_btc_2024_15m_start0_rows1000.csv,994,rf_05,8,4,0.5,dio_0fe7;dio_1xrt;dio_17dc;dio_0v65,dio_1ba6;dio_0ein;dio_0u24;dio_0qup,15,0.015090543259557344,0.4,0.6857142857142857,dio_1xrt,1,0.125,5,6,0.7453363333333334,0.14244216666666668,0.2409515333333333,0.5720604999999999,familie_fragmentarisch_lesbar,passive_same_basis_family_followworld_summary_no_action_no_direction,real,15m,2024
BTC,0,1000,real_btc_2024_1h_0_1000,data/1-12_2024_1h_BTCUSDT.csv,data/generated/2074_rf05_holdout/holdout_2074_btc_2024_1h_start0_rows1000.csv,994,rf_06,8,1,0.125,dio_1xme,dio_0s8r;dio_0f8s;dio_0nx9;dio_0gh3;dio_1ejq;dio_0lr0;dio_1yhs,1,0.001006036217303823,1.0,0.0,dio_1xme,0,0.0,0,0,0.0,0.0,0.0,0.0,familie_fragmentarisch_lesbar,passive_same_basis_family_followworld_summary_no_action_no_direction,real,1h,2024
BTC,0,1000,real_btc_2024_15m_0_1000,data/1-12_2024_15m_BTCUSDT.csv,data/generated/2074_rf05_holdout/holdout_2074_btc_2024_15m_start0_rows1000.csv,994,rf_06,8,2,0.25,dio_0s8r;dio_0gh3,dio_1xme;dio_0f8s;dio_0nx9;dio_1ejq;dio_0lr0;dio_1yhs,2,0.002012072434607646,0.5,0.5714285714285714,dio_0s8r,0,0.0,2,0,0.0,0.0,0.0,0.0,familie_fragmentarisch_lesbar,passive_same_basis_family_followworld_summary_no_action_no_direction,real,15m,2024
BTC,0,1000,real_btc_2024_1h_0_1000,data/1-12_2024_1h_BTCUSDT.csv,data/generated/2074_rf05_holdout/holdout_2074_btc_2024_1h_start0_rows1000.csv,994,rf_07,2,2,1.0,dio_1ewh;dio_0g2r,,25,0.025150905432595575,0.64,0.72,dio_1ewh,2,1.0,9,8,0.745085125,0.16259137499999998,0.4592159583333333,0.31302995833333336,familie_als_ganzes_lesbar,passive_same_basis_family_followworld_summary_no_action_no_direction,real,1h,2024
BTC,0,1000,real_btc_2024_15m_0_1000,data/1-12_2024_15m_BTCUSDT.csv,data/generated/2074_rf05_holdout/holdout_2074_btc_2024_15m_start0_rows1000.csv,994,rf_07,2,2,1.0,dio_1ewh;dio_0g2r,,25,0.025150905432595575,0.64,0.72,dio_1ewh,2,1.0,13,9,0.740547,0.1627672222222222,0.2884051880341881,0.2057652478632478,familie_als_ganzes_lesbar,passive_same_basis_family_followworld_summary_no_action_no_direction,real,15m,2024
BTC,0,1000,real_btc_2024_1h_0_1000,data/1-12_2024_1h_BTCUSDT.csv,data/generated/2074_rf05_holdout/holdout_2074_btc_2024_1h_start0_rows1000.csv,994,rf_08,2,0,0.0,,dio_0h6t;dio_1w94,0,0.0,0.0,0.0,-,0,0.0,0,0,0.0,0.0,0.0,0.0,familie_nicht_gelesen,passive_same_basis_family_followworld_summary_no_action_no_direction,real,1h,2024
BTC,0,1000,real_btc_2024_15m_0_1000,data/1-12_2024_15m_BTCUSDT.csv,data/generated/2074_rf05_holdout/holdout_2074_btc_2024_15m_start0_rows1000.csv,994,rf_08,2,1,0.5,dio_0h6t,dio_1w94,1,0.001006036217303823,1.0,0.0,dio_0h6t,0,0.0,1,0,0.0,0.0,0.0,0.0,familie_fragmentarisch_lesbar,passive_same_basis_family_followworld_summary_no_action_no_direction,real,15m,2024
BTC,0,1000,real_btc_2024_1h_0_1000,data/1-12_2024_1h_BTCUSDT.csv,data/generated/2074_rf05_holdout/holdout_2074_btc_2024_1h_start0_rows1000.csv,994,rf_10,2,1,0.5,dio_0jsd,dio_0ioc,1,0.001006036217303823,1.0,0.0,dio_0jsd,0,0.0,0,1,0.681934,0.217007,0.0,0.0,familie_fragmentarisch_lesbar,passive_same_basis_family_followworld_summary_no_action_no_direction,real,1h,2024
BTC,0,1000,real_btc_2024_15m_0_1000,data/1-12_2024_15m_BTCUSDT.csv,data/generated/2074_rf05_holdout/holdout_2074_btc_2024_15m_start0_rows1000.csv,994,rf_10,2,1,0.5,dio_0jsd,dio_0ioc,2,0.002012072434607646,1.0,0.0,dio_0jsd,0,0.0,0,2,0.695343,0.2007505,0.0338335,0.30831,familie_fragmentarisch_lesbar,passive_same_basis_family_followworld_summary_no_action_no_direction,real,15m,2024
