group,role_family,component,primary_axis,observed_relation,pseudo_same_relation,pseudo_families,mean_match_distance,median_source_event_ratio,observed_control_minus_real_family_continuity_score,pseudo_mean_control_minus_real_family_continuity_score,observed_percentile_control_minus_real_family_continuity_score,observed_control_minus_real_mean_family_event_share,pseudo_mean_control_minus_real_mean_family_event_share,observed_percentile_control_minus_real_mean_family_event_share,observed_control_minus_real_mean_member_coverage,pseudo_mean_control_minus_real_mean_member_coverage,observed_percentile_control_minus_real_mean_member_coverage
overall,rf_05,sign,0,abgeschwaecht,88,100,0.2312181863878203,0.9826866916979557,-0.038441496830126765,-0.020294914149507876,0.12,-0.0034093449586407344,-0.001470489604292421,0.0,-0.04861111111111105,-0.057881944444444444,0.605
overall,rf_05,magnitude,0,gemischt,1,100,0.2312181863878203,0.9826866916979557,-0.00875017048554283,-0.03330682018252361,0.98,-0.0018723451822043394,-0.0014227028839704893,0.295,0.00347222222222221,-0.08201388888888889,1.0
overall,rf_05,wick,0,gemischt,15,100,0.2312181863878203,0.9826866916979557,-0.028470170421821428,-0.025623831996006596,0.39,0.000810418063939191,-0.0004496422982338475,1.0,-0.01041666666666663,-0.060625000000000005,0.985
overall,rf_05,volume,0,verstaerkt,0,100,0.2312181863878203,0.9826866916979557,0.006173711172414498,-0.026046355198450718,0.98,0.004052090319695955,0.001169237648110888,1.0,0.01041666666666674,-0.06076388888888889,1.0
overall,rf_06,sign,0,abgeschwaecht,95,100,0.5210120305799294,1.345,-0.00468530030267833,-0.03877396235989597,0.97,-0.0006706908115358822,-0.0014140397943214846,0.88,-0.017361111111111105,-0.056840277777777774,0.87
overall,rf_06,magnitude,0,verstaerkt,3,100,0.5210120305799294,1.345,0.011718307200929146,-0.028512234456311698,0.99,5.589090096132319e-05,0.0003610552202101498,0.34,0.010416666666666685,-0.018402777777777775,0.82
overall,rf_06,wick,0,abgeschwaecht,72,100,0.5210120305799294,1.345,-0.01812460405448213,-0.022119754856331636,0.71,-0.0003632908562486029,-0.0006653811759445561,0.79,-0.00694444444444442,-0.020798611111111108,0.7
overall,rf_06,volume,0,abgeschwaecht,50,100,0.5210120305799294,1.345,-0.05696178539166341,-0.02612527294032082,0.0,-0.0011737089201877935,-5.589090096132293e-06,0.01,-0.06249999999999997,-0.020277777777777777,0.09
overall,rf_07,sign,0,gemischt,48,100,2.3539725387434105,0.31767719897523483,-0.006184769038701687,-0.022975569041322537,0.61,-0.0027665995975855104,-0.0006684551754974291,0.0,0.0,-0.028472222222222225,0.605
overall,rf_07,magnitude,0,gemischt,36,100,2.3539725387434105,0.31767719897523483,-0.0014481658692185873,-0.012862535275391386,0.51,-0.001788508830762349,-0.0005471719204113572,0.04,0.0,-0.017916666666666664,0.53
overall,rf_07,wick,0,gemischt,59,100,2.3539725387434105,0.31767719897523483,-0.006883895131086226,-0.01786477285225447,0.58,-0.00027945450480661507,0.0003062821372680526,0.3,0.0,-0.017638888888888885,0.58
