transfer,target_source,predictions,frozen_source_mean_score,target_online_mean_score,target_full_mean_score_diagnostic,frozen_minus_online_mean,frozen_minus_target_full_mean,frozen_better_than_online,frozen_equal_to_online,frozen_worse_than_online,frozen_online_nontie_win_share
2091_basis_to_2092_holdout,DOGE_2024,1050,0.9285385878489327,0.9132512315270936,0.9298932676518883,0.01528735632183908,-0.001354679802955666,149,805,96,0.6081632653061224
2091_basis_to_2092_holdout,DOGE_2025,1175,0.9274908290535583,0.9143727072633896,0.9274981658107117,0.013118121790168745,-7.336757153338003e-06,187,874,114,0.6212624584717608
2091_basis_to_2092_holdout,PAXG_2024,445,0.9516079039132119,0.9348314606741573,0.9512204571871368,0.016776443239054632,0.0003874467260751657,65,353,27,0.7065217391304348
2091_basis_to_2092_holdout,PAXG_2025,706,0.9520611507277522,0.9377503174758229,0.9535508449741135,0.014310833251929273,-0.00148969424636124,77,570,59,0.5661764705882353
2091_basis_to_2092_holdout,XRP_2024,1318,0.9217204751190414,0.9073570195175553,0.9241405473287635,0.014363455601486053,-0.0024200722097221525,212,901,205,0.5083932853717026
2091_basis_to_2092_holdout,XRP_2025,1181,0.9265744985255043,0.8990335484247716,0.9268956757861543,0.027540950100732868,-0.0003211772606499456,278,792,111,0.7146529562982005
2092_holdout_to_2091_basis,BTC_2024,1815,0.9362747711721319,0.9218030747356261,0.9372389584999555,0.01447169643650582,-0.0009641873278236915,257,1406,152,0.628361858190709
2092_holdout_to_2091_basis,BTC_2025,2084,0.9279456380409882,0.9185538047179741,0.929810847625534,0.009391833323014052,-0.001865209584545851,275,1588,221,0.5544354838709677
2092_holdout_to_2091_basis,SOL_2024,1996,0.9496533389359364,0.935120240480962,0.9500816148425885,0.014533098454974464,-0.00042827590665201566,238,1604,154,0.6071428571428571
2092_holdout_to_2091_basis,SOL_2025,1617,0.9414686695792687,0.9245267021764718,0.944002234324815,0.016941967402796895,-0.002533564745546313,185,1277,155,0.5441176470588235
