dataset,finalization_index,incoming_relation_events,incoming_existing_relations,new_relations,active_relations,shared_relations,previous_maximum_pareto_depth,current_maximum_pareto_depth,moved_shallower,moved_deeper,unchanged_depth,depth_change_count,depth_change_share,absolute_depth_change_sum,mean_absolute_depth_change,future_event_reads,null_mean_depth_change_share,observed_minus_null_mean_depth_change_share
2091_basis,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0
2091_basis,2,17,0,17,17,0,0,1,0,0,0,0,0.0,0,0.0,0,0.0,0.0
2091_basis,3,29,4,25,42,17,1,3,0,13,4,13,0.7647058823529411,26,1.5294117647058822,0,0.9064705882352934,-0.14176470588235224
2091_basis,4,41,9,32,74,42,3,6,1,38,3,39,0.9285714285714286,105,2.5,0,0.7840476190476185,0.14452380952381005
2091_basis,5,49,19,30,104,74,6,9,7,59,8,66,0.8918918918918919,177,2.391891891891892,0,0.8948648648648649,-0.0029729729729730536
2091_basis,6,53,28,25,129,104,9,12,8,84,12,92,0.8846153846153846,249,2.394230769230769,0,0.8364423076923072,0.048173076923077374
2091_basis,7,68,33,35,164,129,12,15,8,104,17,112,0.8682170542635659,305,2.364341085271318,0,0.8731007751937987,-0.0048837209302328155
2091_basis,8,55,28,27,191,164,15,17,21,136,7,157,0.9573170731707317,307,1.8719512195121952,0,0.8196341463414635,0.1376829268292682
2091_basis,9,80,39,41,232,191,17,18,36,151,4,187,0.9790575916230366,241,1.2617801047120418,0,0.7219895287958115,0.25706806282722516
2091_basis,10,79,57,22,254,232,18,22,11,205,16,216,0.9310344827586207,756,3.2586206896551726,0,0.9072413793103448,0.0237931034482759
2091_basis,11,90,44,46,300,254,22,25,21,217,16,238,0.937007874015748,680,2.677165354330709,0,0.7834645669291335,0.15354330708661457
2091_basis,12,91,59,32,332,300,25,27,40,242,18,282,0.94,573,1.91,0,0.8519333333333337,0.0880666666666663
2091_basis,13,123,83,40,372,332,27,30,38,259,35,297,0.8945783132530121,861,2.5933734939759034,0,0.8598192771084336,0.034759036144578426
2091_basis,14,92,68,24,396,372,30,32,48,304,20,352,0.946236559139785,695,1.868279569892473,0,0.8526344086021497,0.09360215053763532
2091_basis,15,140,81,59,455,396,32,36,13,355,28,368,0.9292929292929293,1346,3.398989898989899,0,0.830530303030303,0.09876262626262633
2091_basis,16,126,76,50,505,455,36,35,407,20,28,427,0.9384615384615385,587,1.2901098901098902,0,0.8008351648351646,0.13762637362637387
2091_basis,17,101,67,34,539,505,35,34,493,3,9,496,0.9821782178217822,717,1.4198019801980197,0,0.7808910891089116,0.20128712871287058
2091_basis,18,103,87,16,555,539,34,39,6,517,16,523,0.9703153988868275,2343,4.346938775510204,0,0.867291280148423,0.10302411873840445
2091_basis,19,96,78,18,573,555,39,39,61,21,473,82,0.14774774774774774,233,0.4198198198198198,0,0.7821981981981981,-0.6344504504504505
2091_basis,20,126,91,35,608,573,39,39,92,32,449,124,0.2164048865619546,311,0.5427574171029669,0,0.7843630017452006,-0.567958115183246
2091_basis,21,141,90,51,659,608,39,42,35,533,40,568,0.9342105263157895,1588,2.611842105263158,0,0.795953947368421,0.13825657894736854
2091_basis,22,145,99,46,705,659,42,42,117,32,510,149,0.22610015174506828,394,0.5978755690440061,0,0.8532473444613052,-0.627147192716237
2091_basis,23,114,81,33,738,705,42,41,631,15,59,646,0.9163120567375886,833,1.1815602836879433,0,0.7902269503546105,0.1260851063829781
2091_basis,24,105,96,9,747,738,41,45,18,691,29,709,0.9607046070460704,2614,3.5420054200542004,0,0.8788075880758812,0.0818970189701892
2091_basis,25,143,102,41,788,747,45,44,727,1,19,728,0.9745649263721553,1042,1.394912985274431,0,0.7860910307898259,0.1884738955823294
2091_basis,26,197,118,79,867,788,44,43,697,30,61,727,0.9225888324873096,972,1.233502538071066,0,0.7916243654822336,0.13096446700507602
2091_basis,27,174,123,51,918,867,43,47,36,785,46,821,0.9469434832756632,3016,3.478662053056517,0,0.8273471741637829,0.11959630911188035
2091_basis,28,140,127,13,931,918,47,47,134,40,744,174,0.1895424836601307,371,0.40413943355119825,0,0.8539106753812635,-0.6643681917211328
2091_basis,29,189,125,64,995,931,47,49,79,806,46,885,0.9505907626208379,1754,1.8839957035445758,0,0.7731041890440387,0.1774865735767992
2091_basis,30,172,138,34,1029,995,49,48,954,9,32,963,0.9678391959798995,1463,1.4703517587939698,0,0.7743718592964821,0.19346733668341742
2091_basis,31,143,116,27,1056,1029,48,49,71,904,54,975,0.9475218658892128,1170,1.1370262390670554,0,0.8116520894071914,0.13586977648202148
2091_basis,32,212,132,80,1136,1056,49,50,95,902,59,997,0.9441287878787878,1122,1.0625,0,0.7774905303030306,0.16663825757575723
2091_basis,33,173,149,24,1160,1136,50,49,1070,17,49,1087,0.9568661971830986,1491,1.3125,0,0.8039524647887323,0.15291373239436634
2091_basis,34,197,165,32,1192,1160,49,51,122,958,80,1080,0.9310344827586207,2137,1.842241379310345,0,0.7823534482758622,0.1486810344827585
2091_basis,35,189,155,34,1226,1192,51,55,27,1103,62,1130,0.947986577181208,4274,3.585570469798658,0,0.8193540268456374,0.12863255033557064
2091_basis,36,181,116,65,1291,1226,55,54,1146,16,64,1162,0.9477977161500816,1435,1.17047308319739,0,0.8322022838499186,0.115595432300163
2091_basis,37,150,119,31,1322,1291,54,55,85,1057,149,1142,0.8845855925639039,1262,0.9775367931835787,0,0.7935631293570877,0.09102246320681617
2091_basis,38,122,110,12,1334,1322,55,58,14,1251,57,1265,0.9568835098335855,3801,2.8751891074130107,0,0.8216187594553703,0.13526475037821517
2091_basis,39,136,127,9,1343,1334,58,56,1303,2,29,1305,0.9782608695652174,2952,2.212893553223388,0,0.767061469265367,0.2111994002998504
2091_basis,40,200,175,25,1368,1343,56,58,107,1151,85,1258,0.9367088607594937,2559,1.9054355919583024,0,0.7693819806403575,0.1673268801191362
2091_basis,41,200,128,72,1440,1368,58,61,28,1267,73,1295,0.9466374269005848,3834,2.8026315789473686,0,0.8042909356725144,0.14234649122807042
2091_basis,42,142,136,6,1446,1440,61,59,1372,22,46,1394,0.9680555555555556,3041,2.1118055555555557,0,0.7830000000000003,0.1850555555555553
2091_basis,43,230,194,36,1482,1446,59,60,257,1090,99,1347,0.9315352697095436,1697,1.173582295988935,0,0.8494121715076068,0.08212309820193675
2091_basis,44,174,129,45,1527,1482,60,60,140,32,1310,172,0.11605937921727395,396,0.26720647773279355,0,0.7516059379217276,-0.6355465587044536
2091_basis,45,200,185,15,1542,1527,60,59,1373,71,83,1444,0.945645055664702,1842,1.206286836935167,0,0.8295939751146038,0.11605108055009827
2091_basis,46,166,148,18,1560,1542,59,59,72,214,1256,286,0.185473411154345,485,0.314526588845655,0,0.7547081712062257,-0.5692347600518807
2091_basis,47,216,122,94,1654,1560,59,62,60,1426,74,1486,0.9525641025641025,4204,2.694871794871795,0,0.8052628205128205,0.147301282051282
2091_basis,48,200,168,32,1686,1654,62,61,1601,7,46,1608,0.9721886336154776,2518,1.5223700120918984,0,0.8065538089480048,0.1656348246674728
2091_basis,49,139,118,21,1707,1686,61,63,23,1626,37,1649,0.9780545670225386,3640,2.1589561091340452,0,0.8663463819691576,0.11170818505338098
2091_basis,50,203,143,60,1767,1707,63,64,203,1397,107,1600,0.9373169302870533,1773,1.038664323374341,0,0.7330755711775043,0.204241359109549
2091_basis,51,237,177,60,1827,1767,64,62,1642,35,90,1677,0.9490662139219015,3566,2.0181097906055463,0,0.8079852857951328,0.14108092812676865
2091_basis,52,224,174,50,1877,1827,62,62,92,277,1458,369,0.2019704433497537,698,0.3820470717022441,0,0.8798029556650246,-0.677832512315271
2091_basis,53,252,192,60,1937,1877,62,65,131,1626,120,1757,0.9360681939264784,4877,2.5982951518380393,0,0.829531166755461,0.10653702717101743
2091_basis,54,164,146,18,1955,1937,65,69,47,1847,43,1894,0.9778007227671657,7020,3.6241610738255035,0,0.824599896747548,0.1532008260196177
2091_basis,55,309,201,108,2063,1955,69,68,1773,68,114,1841,0.9416879795396419,2177,1.1135549872122763,0,0.7863273657289003,0.15536061381074162
2091_basis,56,186,122,64,2127,2063,68,66,1948,30,85,1978,0.9587978671837131,4146,2.009694619486185,0,0.8232283082888998,0.13556955889481326
2091_basis,57,198,177,21,2148,2127,66,69,103,1902,122,2005,0.9426422190879172,5659,2.6605547719793137,0,0.7777103902209688,0.16493182886694846
