dataset,edge_index,left_anonymous_node,right_anonymous_node,distance,same_source_posthoc,left_source_posthoc,right_source_posthoc,graph_used_source_label,graph_used_asset_or_year,graph_used_reset_field,graph_used_fixed_tick_limit,memory_written,influences_action
2091_basis,1,a_003,b_007,0.37550333113697926,0,2091_basis|BTC|2024|11000,2091_basis|BTC|2024|15000,0,0,0,0,0,0
2091_basis,2,a_003,b_033,0.37550333113697926,0,2091_basis|BTC|2024|11000,2091_basis|SOL|2024|5000,0,0,0,0,0,0
2091_basis,3,a_012,b_027,0.29901823281907436,0,2091_basis|BTC|2024|7000,2091_basis|SOL|2024|11000,0,0,0,0,0,0
2091_basis,4,a_015,b_015,0.24700079978672354,1,2091_basis|BTC|2025|0,2091_basis|BTC|2025|0,0,0,0,0,0,0
2091_basis,5,a_016,b_016,0.2704034493378503,1,2091_basis|BTC|2025|10000,2091_basis|BTC|2025|10000,0,0,0,0,0,0
2091_basis,6,a_020,b_020,0.2606516290726817,1,2091_basis|BTC|2025|3000,2091_basis|BTC|2025|3000,0,0,0,0,0,0
2091_basis,7,a_023,b_047,0.2012663571127058,0,2091_basis|BTC|2025|6000,2091_basis|SOL|2025|6000,0,0,0,0,0,0
2091_basis,8,a_028,b_028,0.42433356117566645,1,2091_basis|SOL|2024|12000,2091_basis|SOL|2024|12000,0,0,0,0,0,0
2091_basis,9,a_038,b_038,0.3076759061833689,1,2091_basis|SOL|2025|10000,2091_basis|SOL|2025|10000,0,0,0,0,0,0
2091_basis,10,a_048,b_040,0.3183537773701708,0,2091_basis|SOL|2025|9000,2091_basis|SOL|2025|12000,0,0,0,0,0,0
2092_holdout,1,a_002,b_002,0.28828553996339235,1,2092_holdout|DOGE|2024|1000,2092_holdout|DOGE|2024|1000,0,0,0,0,0,0
2092_holdout,2,a_008,b_009,0.3493212669683258,0,2092_holdout|DOGE|2024|8000,2092_holdout|DOGE|2025|1000,0,0,0,0,0,0
2092_holdout,3,a_011,b_014,0.3140229885057471,0,2092_holdout|DOGE|2025|4000,2092_holdout|DOGE|2025|7000,0,0,0,0,0,0
2092_holdout,4,a_019,b_032,0.3475964940933094,0,2092_holdout|PAXG|2024|3000,2092_holdout|XRP|2024|0,0,0,0,0,0,0
2092_holdout,5,a_023,b_023,0.2946222005382521,1,2092_holdout|PAXG|2024|7000,2092_holdout|PAXG|2024|7000,0,0,0,0,0,0
2092_holdout,6,a_024,b_010,0.3660509477242545,0,2092_holdout|PAXG|2024|8000,2092_holdout|DOGE|2025|3000,0,0,0,0,0,0
2092_holdout,7,a_031,b_017,0.31274900398406374,0,2092_holdout|PAXG|2025|7000,2092_holdout|PAXG|2024|0,0,0,0,0,0,0
2092_holdout,8,a_033,b_033,0.3110749676214572,1,2092_holdout|XRP|2024|1000,2092_holdout|XRP|2024|1000,0,0,0,0,0,0
