dataset,universe_scope,projection_left,projection_right,source_key_posthoc,paths,observed_same_tick_closures,uniform_shift_expected,observed_minus_expected,direction
2091_basis,a,activation_rank,activation_above_mean,2091_basis|BTC|2024|0,8,364,336.46425,27.53575,positive
2091_basis,a,activation_rank,activation_above_mean,2091_basis|BTC|2024|10000,8,364,335.495468,28.504532,positive
2091_basis,a,activation_rank,activation_above_mean,2091_basis|BTC|2024|11000,8,365,334.209466,30.790534,positive
2091_basis,a,activation_rank,activation_above_mean,2091_basis|BTC|2024|12000,8,362,335.421954,26.578046,positive
2091_basis,a,activation_rank,activation_above_mean,2091_basis|BTC|2024|13000,8,362,335.246727,26.753273,positive
2091_basis,a,activation_rank,activation_above_mean,2091_basis|BTC|2024|14000,8,366,337.01007,28.98993,positive
2091_basis,a,activation_rank,activation_above_mean,2091_basis|BTC|2024|15000,8,364,337.037261,26.962739,positive
2091_basis,a,activation_rank,activation_above_mean,2091_basis|BTC|2024|2000,8,362,334.94864,27.05136,positive
2091_basis,a,activation_rank,activation_above_mean,2091_basis|BTC|2024|3000,8,364,335.468278,28.531722,positive
2091_basis,a,activation_rank,activation_above_mean,2091_basis|BTC|2024|5000,8,364,336.123867,27.876133,positive
2091_basis,a,activation_rank,activation_above_mean,2091_basis|BTC|2024|6000,8,362,334.835851,27.164149,positive
2091_basis,a,activation_rank,activation_above_mean,2091_basis|BTC|2024|7000,8,364,335.697885,28.302115,positive
2091_basis,a,activation_rank,activation_above_mean,2091_basis|BTC|2024|8000,8,362,335.979859,26.020141,positive
2091_basis,a,activation_rank,activation_above_mean,2091_basis|BTC|2024|9000,8,362,335.524673,26.475327,positive
2091_basis,a,activation_rank,activation_above_mean,2091_basis|BTC|2025|0,8,367,335.577039,31.422961,positive
2091_basis,a,activation_rank,activation_above_mean,2091_basis|BTC|2025|10000,8,363,335.539778,27.460222,positive
2091_basis,a,activation_rank,activation_above_mean,2091_basis|BTC|2025|11000,8,362,335.220544,26.779456,positive
2091_basis,a,activation_rank,activation_above_mean,2091_basis|BTC|2025|14000,8,362,335.012085,26.987915,positive
2091_basis,a,activation_rank,activation_above_mean,2091_basis|BTC|2025|15000,8,363,335.433031,27.566969,positive
2091_basis,a,activation_rank,activation_above_mean,2091_basis|BTC|2025|3000,8,366,335.367573,30.632427,positive
2091_basis,a,activation_rank,activation_above_mean,2091_basis|BTC|2025|4000,8,363,336.599194,26.400806,positive
2091_basis,a,activation_rank,activation_above_mean,2091_basis|BTC|2025|5000,8,362,335.742195,26.257805,positive
2091_basis,a,activation_rank,activation_above_mean,2091_basis|BTC|2025|6000,8,363,336.30715,26.69285,positive
2091_basis,a,activation_rank,activation_above_mean,2091_basis|BTC|2025|9000,8,363,334.978852,28.021148,positive
2091_basis,a,activation_rank,activation_above_mean,2091_basis|SOL|2024|0,8,363,335.028197,27.971803,positive
2091_basis,a,activation_rank,activation_above_mean,2091_basis|SOL|2024|1000,8,361,335.445116,25.554884,positive
2091_basis,a,activation_rank,activation_above_mean,2091_basis|SOL|2024|11000,8,364,334.450151,29.549849,positive
2091_basis,a,activation_rank,activation_above_mean,2091_basis|SOL|2024|12000,8,363,335.370594,27.629406,positive
2091_basis,a,activation_rank,activation_above_mean,2091_basis|SOL|2024|14000,8,366,333.949648,32.050352,positive
2091_basis,a,activation_rank,activation_above_mean,2091_basis|SOL|2024|15000,8,362,335.646526,26.353474,positive
2091_basis,a,activation_rank,activation_above_mean,2091_basis|SOL|2024|3000,8,365,336.205438,28.794562,positive
2091_basis,a,activation_rank,activation_above_mean,2091_basis|SOL|2024|4000,8,362,334.918429,27.081571,positive
2091_basis,a,activation_rank,activation_above_mean,2091_basis|SOL|2024|5000,8,362,335.770393,26.229607,positive
2091_basis,a,activation_rank,activation_above_mean,2091_basis|SOL|2024|6000,8,364,335.059416,28.940584,positive
2091_basis,a,activation_rank,activation_above_mean,2091_basis|SOL|2024|7000,8,362,336.600201,25.399799,positive
2091_basis,a,activation_rank,activation_above_mean,2091_basis|SOL|2024|8000,8,369,337.076536,31.923464,positive
2091_basis,a,activation_rank,activation_above_mean,2091_basis|SOL|2024|9000,8,364,336.846928,27.153072,positive
2091_basis,a,activation_rank,activation_above_mean,2091_basis|SOL|2025|10000,8,364,334.263847,29.736153,positive
2091_basis,a,activation_rank,activation_above_mean,2091_basis|SOL|2025|11000,8,365,335.872105,29.127895,positive
2091_basis,a,activation_rank,activation_above_mean,2091_basis|SOL|2025|12000,8,364,334.748238,29.251762,positive
2091_basis,a,activation_rank,activation_above_mean,2091_basis|SOL|2025|13000,8,363,334.937563,28.062437,positive
2091_basis,a,activation_rank,activation_above_mean,2091_basis|SOL|2025|14000,8,365,335.899295,29.100705,positive
2091_basis,a,activation_rank,activation_above_mean,2091_basis|SOL|2025|2000,8,365,336.41994,28.58006,positive
2091_basis,a,activation_rank,activation_above_mean,2091_basis|SOL|2025|3000,8,363,334.425982,28.574018,positive
2091_basis,a,activation_rank,activation_above_mean,2091_basis|SOL|2025|4000,8,362,334.745217,27.254783,positive
2091_basis,a,activation_rank,activation_above_mean,2091_basis|SOL|2025|5000,8,364,335.64854,28.35146,positive
2091_basis,a,activation_rank,activation_above_mean,2091_basis|SOL|2025|6000,8,365,335.517623,29.482377,positive
2091_basis,a,activation_rank,activation_above_mean,2091_basis|SOL|2025|9000,8,365,334.799597,30.200403,positive
2091_basis,a,activation_rank,afterimage_rank,2091_basis|BTC|2024|0,8,433,395.119839,37.880161,positive
2091_basis,a,activation_rank,afterimage_rank,2091_basis|BTC|2024|10000,8,429,392.897281,36.102719,positive
2091_basis,a,activation_rank,afterimage_rank,2091_basis|BTC|2024|11000,8,426,391.361531,34.638469,positive
2091_basis,a,activation_rank,afterimage_rank,2091_basis|BTC|2024|12000,8,431,392.380665,38.619335,positive
2091_basis,a,activation_rank,afterimage_rank,2091_basis|BTC|2024|13000,8,430,393.783484,36.216516,positive
2091_basis,a,activation_rank,afterimage_rank,2091_basis|BTC|2024|14000,8,430,394.451158,35.548842,positive
2091_basis,a,activation_rank,afterimage_rank,2091_basis|BTC|2024|15000,8,432,395.784491,36.215509,positive
2091_basis,a,activation_rank,afterimage_rank,2091_basis|BTC|2024|2000,8,429,393.566969,35.433031,positive
2091_basis,a,activation_rank,afterimage_rank,2091_basis|BTC|2024|3000,8,431,394.377644,36.622356,positive
2091_basis,a,activation_rank,afterimage_rank,2091_basis|BTC|2024|5000,8,431,394.109768,36.890232,positive
2091_basis,a,activation_rank,afterimage_rank,2091_basis|BTC|2024|6000,8,431,393.65861,37.34139,positive
2091_basis,a,activation_rank,afterimage_rank,2091_basis|BTC|2024|7000,8,431,393.498489,37.501511,positive
2091_basis,a,activation_rank,afterimage_rank,2091_basis|BTC|2024|8000,8,432,394.230614,37.769386,positive
2091_basis,a,activation_rank,afterimage_rank,2091_basis|BTC|2024|9000,8,430,394.482377,35.517623,positive
2091_basis,a,activation_rank,afterimage_rank,2091_basis|BTC|2025|0,8,434,392.970796,41.029204,positive
2091_basis,a,activation_rank,afterimage_rank,2091_basis|BTC|2025|10000,8,427,393.339376,33.660624,positive
2091_basis,a,activation_rank,afterimage_rank,2091_basis|BTC|2025|11000,8,428,393.533736,34.466264,positive
2091_basis,a,activation_rank,afterimage_rank,2091_basis|BTC|2025|14000,8,426,392.884189,33.115811,positive
2091_basis,a,activation_rank,afterimage_rank,2091_basis|BTC|2025|15000,8,431,394.674723,36.325277,positive
2091_basis,a,activation_rank,afterimage_rank,2091_basis|BTC|2025|3000,8,433,394.261833,38.738167,positive
2091_basis,a,activation_rank,afterimage_rank,2091_basis|BTC|2025|4000,8,427,394.930514,32.069486,positive
2091_basis,a,activation_rank,afterimage_rank,2091_basis|BTC|2025|5000,8,430,393.002014,36.997986,positive
2091_basis,a,activation_rank,afterimage_rank,2091_basis|BTC|2025|6000,8,430,394.35146,35.64854,positive
2091_basis,a,activation_rank,afterimage_rank,2091_basis|BTC|2025|9000,8,434,393.216516,40.783484,positive
2091_basis,a,activation_rank,afterimage_rank,2091_basis|SOL|2024|0,8,431,393.280967,37.719033,positive
2091_basis,a,activation_rank,afterimage_rank,2091_basis|SOL|2024|1000,8,431,393.984894,37.015106,positive
2091_basis,a,activation_rank,afterimage_rank,2091_basis|SOL|2024|11000,8,429,393.905337,35.094663,positive
2091_basis,a,activation_rank,afterimage_rank,2091_basis|SOL|2024|12000,8,428,393.063444,34.936556,positive
2091_basis,a,activation_rank,afterimage_rank,2091_basis|SOL|2024|14000,8,431,391.801611,39.198389,positive
2091_basis,a,activation_rank,afterimage_rank,2091_basis|SOL|2024|15000,8,428,394.152064,33.847936,positive
2091_basis,a,activation_rank,afterimage_rank,2091_basis|SOL|2024|3000,8,430,395.452165,34.547835,positive
2091_basis,a,activation_rank,afterimage_rank,2091_basis|SOL|2024|4000,8,428,393.143001,34.856999,positive
2091_basis,a,activation_rank,afterimage_rank,2091_basis|SOL|2024|5000,8,431,394.10574,36.89426,positive
2091_basis,a,activation_rank,afterimage_rank,2091_basis|SOL|2024|6000,8,431,393.726083,37.273917,positive
