dataset,universe_scope,source_key_posthoc,paths,observed_synchrony_excess,collective_null_excess_mean,observed_minus_collective_null_mean,direction,empirical_upper_p
2091_basis,a,2091_basis|BTC|2024|0,8,82.79758308,66.533799093,16.263783987,positive,0.090909
2091_basis,a,2091_basis|BTC|2024|10000,8,82.79758308,65.596550856,17.201032224,positive,0.090909
2091_basis,a,2091_basis|BTC|2024|11000,8,83.55287009,64.51082578,19.04204431,positive,0.090909
2091_basis,a,2091_basis|BTC|2024|12000,8,83.126888216,62.785939074,20.340949142,positive,0.060606
2091_basis,a,2091_basis|BTC|2024|13000,8,83.048338368,66.454336606,16.594001762,positive,0.121212
2091_basis,a,2091_basis|BTC|2024|14000,8,84.548841894,65.222274673,19.326567221,positive,0.060606
2091_basis,a,2091_basis|BTC|2024|15000,8,83.461228599,62.907477342,20.553751257,positive,0.060606
2091_basis,a,2091_basis|BTC|2024|2000,8,83.474320241,63.427114804,20.047205437,positive,0.030303
2091_basis,a,2091_basis|BTC|2024|3000,8,83.048338368,67.583710977,15.464627391,positive,0.090909
2091_basis,a,2091_basis|BTC|2024|5000,8,83.932527692,66.477939325,17.454588367,positive,0.121212
2091_basis,a,2091_basis|BTC|2024|6000,8,82.886203423,63.214721803,19.67148162,positive,0.121212
2091_basis,a,2091_basis|BTC|2024|7000,8,83.470292043,64.812374119,18.657917924,positive,0.121212
2091_basis,a,2091_basis|BTC|2024|8000,8,82.79758308,64.824112538,17.973470542,positive,0.060606
2091_basis,a,2091_basis|BTC|2024|9000,8,82.79758308,65.116660373,17.680922707,positive,0.060606
2091_basis,a,2091_basis|BTC|2025|0,8,80.427995973,67.546859265,12.881136708,positive,0.121212
2091_basis,a,2091_basis|BTC|2025|10000,8,82.886203423,66.389161631,16.497041792,positive,0.151515
2091_basis,a,2091_basis|BTC|2025|11000,8,82.047331318,67.731967523,14.315363795,positive,0.121212
2091_basis,a,2091_basis|BTC|2025|14000,8,83.048338368,65.23596425,17.812374118,positive,0.121212
2091_basis,a,2091_basis|BTC|2025|15000,8,83.474320241,65.33619713,18.138123111,positive,0.030303
2091_basis,a,2091_basis|BTC|2025|3000,8,83.464249748,63.973313192,19.490936556,positive,0.090909
2091_basis,a,2091_basis|BTC|2025|4000,8,82.047331318,68.002549094,14.044782224,positive,0.181818
2091_basis,a,2091_basis|BTC|2025|5000,8,83.545820744,62.186020896,21.359799848,positive,0.060606
2091_basis,a,2091_basis|BTC|2025|6000,8,85.947633433,65.230519889,20.717113544,positive,0.090909
2091_basis,a,2091_basis|BTC|2025|9000,8,82.970795569,64.537512588,18.433282981,positive,0.090909
2091_basis,a,2091_basis|SOL|2024|0,8,82.047331318,64.209466264,17.837865054,positive,0.060606
2091_basis,a,2091_basis|SOL|2024|1000,8,83.470292043,60.360681017,23.109611026,positive,0.030303
2091_basis,a,2091_basis|SOL|2024|11000,8,83.235649547,65.247671198,17.987978349,positive,0.090909
2091_basis,a,2091_basis|SOL|2024|12000,8,85.723061429,58.688160876,27.034900553,positive,0.030303
