holdout_label,symbol_family,field_contact_class,events,distinct_symbols,runs,top_symbols,avg_carry,avg_strain,avg_rekopplung
xrp2025,dio_104t,tragende_rekopplung,1742,1,dio_mini_lauf_1:871;dio_mini_lauf_2:871,dio_104t4us:1742,0.5778762571756602,0.1498174144661309,0.7245711188289322
xrp2024,dio_104t,tragende_rekopplung,1638,1,dio_mini_lauf_1:819;dio_mini_lauf_2:819,dio_104t4us:1638,0.5766316923076923,0.150213394993895,0.7240225506715506
xrp2025,dio_155c,tragende_rekopplung,990,1,dio_mini_lauf_1:495;dio_mini_lauf_2:495,dio_155c3g6:990,0.5636533363636363,0.1598071606060606,0.7158593595959596
xrp2024,dio_155c,tragende_rekopplung,882,1,dio_mini_lauf_1:441;dio_mini_lauf_2:441,dio_155c3g6:882,0.5622229807256236,0.16000377777777777,0.715496373015873
xrp2025,dio_0m9z,tragende_rekopplung,874,1,dio_mini_lauf_1:437;dio_mini_lauf_2:437,dio_0m9zys3:874,0.5586697745995424,0.16748274256292905,0.7094312780320366
xrp2024,dio_0m9z,tragende_rekopplung,860,1,dio_mini_lauf_1:430;dio_mini_lauf_2:430,dio_0m9zys3:860,0.5580751732558139,0.16749880813953488,0.7096298976744186
xrp2025,dio_0h9h,tragende_rekopplung,686,1,dio_mini_lauf_1:343;dio_mini_lauf_2:343,dio_0h9h06p:686,0.5735470758017492,0.13966782798833818,0.7266586384839651
xrp2024,dio_0h9h,tragende_rekopplung,632,1,dio_mini_lauf_1:316;dio_mini_lauf_2:316,dio_0h9h06p:632,0.5716075474683544,0.13940373892405064,0.7261358528481012
xrp2025,dio_0l7p,tragende_rekopplung,526,1,dio_mini_lauf_1:263;dio_mini_lauf_2:263,dio_0l7pvdk:526,0.5755051615969582,0.1332666482889734,0.7293728631178708
xrp2024,dio_0l7p,tragende_rekopplung,520,1,dio_mini_lauf_1:260;dio_mini_lauf_2:260,dio_0l7pvdk:520,0.5742454653846154,0.13290518076923077,0.7292228730769231
xrp2024,dio_14wj,tragende_rekopplung,494,1,dio_mini_lauf_1:247;dio_mini_lauf_2:247,dio_14wjmk5:494,0.5770231012145749,0.1265987145748988,0.7325821437246963
xrp2025,dio_14wj,tragende_rekopplung,470,1,dio_mini_lauf_1:235;dio_mini_lauf_2:235,dio_14wjmk5:470,0.5779725851063829,0.1269131085106383,0.7324977744680851
xrp2025,dio_00ly,tragende_rekopplung,454,1,dio_mini_lauf_1:227;dio_mini_lauf_2:227,dio_00lyjkf:454,0.56948240969163,0.13630224449339207,0.7259240837004405
xrp2024,dio_00ly,tragende_rekopplung,398,1,dio_mini_lauf_1:199;dio_mini_lauf_2:199,dio_00lyjkf:398,0.566826472361809,0.13580886180904522,0.7254649020100502
