holdout_label,symbol_family,field_contact_class,events,distinct_symbols,runs,top_symbols,avg_carry,avg_strain,avg_rekopplung
doge_random,dio_104t,tragende_rekopplung,1213,1,dio_mini_lauf_1:1213,dio_104t4us:1213,0.5884758441879637,0.1627786644682605,0.7274491220115417
btc_random,dio_104t,tragende_rekopplung,1208,1,dio_mini_lauf_1:1208,dio_104t4us:1208,0.5884052334437087,0.1628616771523179,0.7274173162251656
xrp_random,dio_104t,tragende_rekopplung,1155,1,dio_mini_lauf_1:1155,dio_104t4us:1155,0.587971896969697,0.16309194632034632,0.7275855333333333
paxg_random,dio_104t,tragende_rekopplung,894,1,dio_mini_lauf_1:894,dio_104t4us:894,0.5870804507829978,0.16367722147651007,0.727319629753915
doge_shuffle,dio_0l7p,tragende_rekopplung,861,1,dio_mini_lauf_45:861,dio_0l7pvdk:861,0.5954440418118467,0.15077241114982579,0.7341260859465738
btc_shuffle,dio_104t,tragende_rekopplung,852,1,dio_mini_lauf_44:852,dio_104t4us:852,0.5880903145539906,0.1629849072769953,0.7258689366197183
btc_shuffle,dio_0l7p,tragende_rekopplung,817,1,dio_mini_lauf_44:817,dio_0l7pvdk:817,0.594910993880049,0.15133185801713586,0.7335191272949816
xrp_shuffle,dio_0l7p,tragende_rekopplung,797,1,dio_mini_lauf_47:797,dio_0l7pvdk:797,0.5954487754077792,0.1509110589711418,0.7334559799247177
doge_random,dio_0l7p,tragende_rekopplung,789,1,dio_mini_lauf_1:789,dio_0l7pvdk:789,0.5948996248415717,0.1521110443599493,0.7351982027883397
doge_shuffle,dio_104t,tragende_rekopplung,789,1,dio_mini_lauf_45:789,dio_104t4us:789,0.5885120988593155,0.16206688212927756,0.7263508922686945
xrp_random,dio_0l7p,tragende_rekopplung,770,1,dio_mini_lauf_1:770,dio_0l7pvdk:770,0.5941951883116883,0.15285842207792208,0.7352879974025974
xrp_shuffle,dio_104t,tragende_rekopplung,768,1,dio_mini_lauf_47:768,dio_104t4us:768,0.58827051171875,0.16263256119791666,0.7256776432291666
doge_random,dio_155c,tragende_rekopplung,729,1,dio_mini_lauf_1:729,dio_155c3g6:729,0.5815822469135803,0.1724077379972565,0.7217246529492456
xrp_random,dio_155c,tragende_rekopplung,724,1,dio_mini_lauf_1:724,dio_155c3g6:724,0.5810016008287293,0.1730083632596685,0.7214333121546961
xrp_random,dio_0m9z,tragende_rekopplung,719,1,dio_mini_lauf_1:719,dio_0m9zys3:719,0.5759446842837274,0.1824750598052851,0.7148754867872045
btc_random,dio_155c,tragende_rekopplung,704,1,dio_mini_lauf_1:704,dio_155c3g6:704,0.5811055142045455,0.1729466221590909,0.7212809644886363
btc_random,dio_0l7p,tragende_rekopplung,665,1,dio_mini_lauf_1:665,dio_0l7pvdk:665,0.5940907458646617,0.15317363157894737,0.734269682706767
doge_random,dio_0m9z,tragende_rekopplung,647,1,dio_mini_lauf_1:647,dio_0m9zys3:647,0.576339684698609,0.18215653786707883,0.7147466460587326
btc_random,dio_0m9z,tragende_rekopplung,633,1,dio_mini_lauf_1:633,dio_0m9zys3:633,0.576066093206951,0.18243749763033176,0.7142472464454976
paxg_shuffle,dio_104t,tragende_rekopplung,614,1,dio_mini_lauf_46:614,dio_104t4us:614,0.5873250537459284,0.16339781921824104,0.7245828469055374
xrp_shuffle,dio_14wj,tragende_rekopplung,605,1,dio_mini_lauf_47:605,dio_14wjmk5:605,0.5996248991735538,0.14295245950413224,0.738841120661157
