name,group,role,rekopplung,field_strain,memory_load,attention_load,afterimage_load,active,binding_sum,contrast
QUIET_2024_REAL,ruhe,reiz_aktiv_rekoppelnd,0.630744,0.021277,0.053191,0.332901,0.104316,0.615242,0.127697,-0.487545
QUIET_2024_SIDEWAYS,ruhe,reiz_aktiv_rekoppelnd,0.639653,0.021277,0.053191,0.594073,0.462062,0.755224,0.202304,-0.552921
QUIET_2025_CORE,ruhe,reiz_aktiv_rekoppelnd,0.628376,0.010638,0.031915,0.360318,0.113600,0.621259,0.126853,-0.494406
QUIET_2025_STRESS,ruhe,reiz_aktiv_rekoppelnd,0.639352,0.000000,0.010638,0.469280,0.223825,0.706894,0.093951,-0.612943
QUIET_2026_ANCHOR,ruhe,reiz_aktiv_rekoppelnd,0.639974,0.021277,0.053191,0.516908,0.241179,0.723906,0.140921,-0.582985
AUTO_STRESS_SEGMENT5,stress,uebergang_bindend,0.607085,0.215054,0.225806,0.449164,0.274310,0.537125,0.472899,-0.064226
AUTO_STRESS_SEGMENT5_6,stress,uebergang_bindend,0.606201,0.171875,0.234375,0.423481,0.220880,0.533695,0.441976,-0.091719
AUTO_STRESS_SEGMENT6,stress,uebergang_bindend,0.606419,0.129032,0.247312,0.509620,0.297806,0.580897,0.445151,-0.135746
STRESS_2023_TEST4,stress,last_memory_bindend,0.596927,0.265957,0.244681,0.140876,0.044262,0.360890,0.490332,0.129442
STRESS_2024_REAL,stress,uebergang_bindend,0.601652,0.234043,0.244681,0.480742,0.477855,0.527358,0.559572,0.032213
STRESS_2024_SIDEWAYS,stress,reiz_aktiv_rekoppelnd,0.629551,0.053191,0.053191,0.429918,0.225632,0.644273,0.177333,-0.466940
STRESS_2025_STRESS,stress,last_memory_bindend,0.594327,0.287234,0.223404,0.328376,0.206077,0.425693,0.546024,0.120330
