world;source_debug;start_tick;end_tick;duration;pressure_threshold_p90;alignment_threshold_p10;avg_pressure;avg_alignment;avg_asymmetry;avg_coherence;avg_strain;avg_rekopplung;pre8_rekopplung;post8_rekopplung;pre8_strain;post8_strain;dominant_effect;dominant_family;dominant_mcm_episode_preview;post_state
SOL_2024_SIDEWAYS_5K_RECEPTOR;receptor_duration_sol_2024_sideways_5k;47;47;1;0.30466419999999994;0.7610563;0.333105;0.628026;0.102999;0.400456;0.273632;0.601767;0.653892;0.648974375;0.167620375;0.187846625;tragend_unruhig;dio_0b45;dio_mcm_episode_17i4j9o;offen_getragen_nach_kontaktinsel
SOL_2024_SIDEWAYS_5K_RECEPTOR;receptor_duration_sol_2024_sideways_5k;53;53;1;0.30466419999999994;0.7610563;0.380344;0.631082;0.158386;0.270922;0.29267;0.582663;0.6459098750000001;0.652335875;0.192574;0.184834625;kippend;dio_0cpy;dio_mcm_episode_17i4j9o;offen_getragen_nach_kontaktinsel
SOL_2024_SIDEWAYS_5K_RECEPTOR;receptor_duration_sol_2024_sideways_5k;87;87;1;0.30466419999999994;0.7610563;0.434283;0.568806;0.136332;0.23768;0.324979;0.567004;0.643496125;0.637799625;0.18567962500000001;0.204293125;kippend;dio_1sjg;dio_mcm_episode_0y50lf3;offen_getragen_nach_kontaktinsel
SOL_2024_SIDEWAYS_5K_RECEPTOR;receptor_duration_sol_2024_sideways_5k;113;113;1;0.30466419999999994;0.7610563;0.319881;0.759645;0.182958;0.365484;0.255798;0.600798;0.647295125;0.63870225;0.18515125;0.19403325;tragend_unruhig;dio_11l2;dio_mcm_episode_0y50lf3;offen_getragen_nach_kontaktinsel
SOL_2024_SIDEWAYS_5K_RECEPTOR;receptor_duration_sol_2024_sideways_5k;119;119;1;0.30466419999999994;0.7610563;0.373642;0.692009;0.320235;0.37412;0.28105;0.595963;0.64544875;0.63062675;0.17951775;0.206560125;kippend;dio_0trr;dio_mcm_episode_0y50lf3;kippnah_nach_kontaktinsel
SOL_2024_SIDEWAYS_5K_RECEPTOR;receptor_duration_sol_2024_sideways_5k;150;151;2;0.30466419999999994;0.7610563;0.350173;0.7113025;-0.036669;0.49038950000000003;0.29278499999999996;0.5879745;0.649993375;0.648663875;0.17342925;0.18536625;kippend;dio_1574;dio_mcm_episode_0y50lf3;offen_getragen_nach_kontaktinsel
SOL_2024_SIDEWAYS_5K_RECEPTOR;receptor_duration_sol_2024_sideways_5k;197;197;1;0.30466419999999994;0.7610563;0.341353;0.713563;-0.01829;0.471018;0.272037;0.604072;0.645071375;0.638867625;0.186687125;0.196858875;tragend_unruhig;dio_00lb;dio_mcm_episode_0y50lf3;offen_getragen_nach_kontaktinsel
SOL_2024_SIDEWAYS_5K_RECEPTOR;receptor_duration_sol_2024_sideways_5k;213;213;1;0.30466419999999994;0.7610563;0.367533;0.644156;-0.035253;0.441501;0.293183;0.59281;0.654925875;0.655453375;0.178041625;0.176562625;kippend;dio_0tqd;dio_mcm_episode_0y50lf3;offen_getragen_nach_kontaktinsel
SOL_2024_SIDEWAYS_5K_RECEPTOR;receptor_duration_sol_2024_sideways_5k;291;291;1;0.30466419999999994;0.7610563;0.544822;0.465553;-0.038892;0.226173;0.389006;0.539343;0.65434475;0.6416896249999999;0.173355625;0.197484625;gespannt;dio_076u;dio_mcm_episode_1927mcg;offen_getragen_nach_kontaktinsel
SOL_2024_SIDEWAYS_5K_RECEPTOR;receptor_duration_sol_2024_sideways_5k;320;320;1;0.30466419999999994;0.7610563;0.352293;0.745302;0.069494;0.383701;0.272911;0.595296;0.640491125;0.64533575;0.187033375;0.1865425;tragend_unruhig;dio_0mty;dio_mcm_episode_1t5bcxp;offen_getragen_nach_kontaktinsel
