pair,world,quality,events,share
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,BTC_2024_15M,bruchuebergang,1,1.000000
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,BTC_2024_1H,druckuebergang,5,0.357143
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,BTC_2024_1H,offen_rekoppelnd,4,0.285714
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,BTC_2024_1H,bruchuebergang,2,0.142857
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,BTC_2024_1H,bruchdominant,2,0.142857
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,BTC_2024_1H,offen_stabil,1,0.071429
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,BTC_2024_30M,offen_stabil,5,0.384615
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,BTC_2024_30M,offen_rekoppelnd,4,0.307692
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,BTC_2024_30M,druckuebergang,3,0.230769
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,BTC_2024_30M,bruchuebergang,1,0.076923
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,BTC_2024_5M,druckuebergang,1,0.333333
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,BTC_2024_5M,druckbruch,1,0.333333
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,BTC_2024_5M,offen_stabil,1,0.333333
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,KAS_2024_1H,offen_stabil,1,1.000000
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,KAS_2024_30M,offen_stabil,1,0.250000
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,KAS_2024_30M,bruchuebergang,1,0.250000
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,KAS_2024_30M,druckbruch,1,0.250000
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,KAS_2024_30M,druckuebergang,1,0.250000
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,SOL_2024_15M,offen_stabil,4,0.400000
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,SOL_2024_15M,druckbruch,3,0.300000
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,SOL_2024_15M,offen_rekoppelnd,1,0.100000
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,SOL_2024_15M,bruchuebergang,1,0.100000
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,SOL_2024_15M,druckuebergang,1,0.100000
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,SOL_2024_1H,offen_stabil,7,0.368421
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,SOL_2024_1H,offen_rekoppelnd,6,0.315789
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,SOL_2024_1H,bruchuebergang,3,0.157895
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,SOL_2024_1H,bruchdominant,1,0.052632
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,SOL_2024_1H,druckuebergang,1,0.052632
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,SOL_2024_1H,druckbruch,1,0.052632
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,SOL_2024_30M,offen_stabil,4,0.666667
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,SOL_2024_30M,druckbruch,1,0.166667
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,SOL_2024_30M,bruchuebergang,1,0.166667
