scope,pair,world,events,source_quality,top_quality,share,passive_regulation_quality,contact_pressure,contact_alignment,mcm_rekopplung
gesamt,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,-,73,breit_driftend,offen_stabil,0.342466,breit_driftend,,,
gesamt,dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,-,78,breit_driftend,offen_stabil,0.794872,breit_driftend,,,
welt,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,BTC_2024_15M,1,bruchuebergang,bruchuebergang,1.000000,fragmentiert,0.190204,0.565402,0.647961
welt,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,BTC_2024_1H,5,druckuebergang,druckuebergang,0.357143,fragmentiert,0.192577,0.567391,0.648425
welt,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,BTC_2024_1H,4,offen_rekoppelnd,offen_rekoppelnd,0.285714,breit_driftend,0.192577,0.567391,0.648425
welt,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,BTC_2024_1H,2,bruchuebergang,bruchuebergang,0.142857,fragmentiert,0.192577,0.567391,0.648425
welt,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,BTC_2024_1H,2,bruchdominant,bruchdominant,0.142857,fragmentiert,0.192577,0.567391,0.648425
welt,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,BTC_2024_1H,1,offen_stabil,offen_stabil,0.071429,offen_driftend,0.192577,0.567391,0.648425
welt,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,BTC_2024_30M,5,offen_stabil,offen_stabil,0.384615,offen_driftend,0.194637,0.568125,0.648163
welt,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,BTC_2024_30M,4,offen_rekoppelnd,offen_rekoppelnd,0.307692,breit_driftend,0.194637,0.568125,0.648163
welt,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,BTC_2024_30M,3,druckuebergang,druckuebergang,0.230769,fragmentiert,0.194637,0.568125,0.648163
welt,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,BTC_2024_30M,1,bruchuebergang,bruchuebergang,0.076923,fragmentiert,0.194637,0.568125,0.648163
welt,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,BTC_2024_5M,1,druckuebergang,druckuebergang,0.333333,fragmentiert,0.197351,0.567778,0.647036
welt,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,BTC_2024_5M,1,druckbruch,druckbruch,0.333333,fragmentiert,0.197351,0.567778,0.647036
welt,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,BTC_2024_5M,1,offen_stabil,offen_stabil,0.333333,offen_driftend,0.197351,0.567778,0.647036
welt,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,KAS_2024_1H,1,offen_stabil,offen_stabil,1.000000,offen_driftend,0.208661,0.566490,0.644507
welt,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,KAS_2024_30M,1,offen_stabil,offen_stabil,0.250000,offen_driftend,0.208383,0.568401,0.645124
welt,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,KAS_2024_30M,1,bruchuebergang,bruchuebergang,0.250000,fragmentiert,0.208383,0.568401,0.645124
welt,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,KAS_2024_30M,1,druckbruch,druckbruch,0.250000,fragmentiert,0.208383,0.568401,0.645124
welt,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,KAS_2024_30M,1,druckuebergang,druckuebergang,0.250000,fragmentiert,0.208383,0.568401,0.645124
welt,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,SOL_2024_15M,4,offen_stabil,offen_stabil,0.400000,offen_driftend,0.207693,0.567259,0.645161
welt,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,SOL_2024_15M,3,druckbruch,druckbruch,0.300000,fragmentiert,0.207693,0.567259,0.645161
welt,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,SOL_2024_15M,1,offen_rekoppelnd,offen_rekoppelnd,0.100000,breit_driftend,0.207693,0.567259,0.645161
welt,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,SOL_2024_15M,1,bruchuebergang,bruchuebergang,0.100000,fragmentiert,0.207693,0.567259,0.645161
welt,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,SOL_2024_15M,1,druckuebergang,druckuebergang,0.100000,fragmentiert,0.207693,0.567259,0.645161
welt,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,SOL_2024_1H,7,offen_stabil,offen_stabil,0.368421,offen_driftend,0.206724,0.567104,0.645113
welt,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,SOL_2024_1H,6,offen_rekoppelnd,offen_rekoppelnd,0.315789,breit_driftend,0.206724,0.567104,0.645113
welt,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,SOL_2024_1H,3,bruchuebergang,bruchuebergang,0.157895,fragmentiert,0.206724,0.567104,0.645113
welt,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,SOL_2024_1H,1,bruchdominant,bruchdominant,0.052632,fragmentiert,0.206724,0.567104,0.645113
welt,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,SOL_2024_1H,1,druckuebergang,druckuebergang,0.052632,fragmentiert,0.206724,0.567104,0.645113
welt,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,SOL_2024_1H,1,druckbruch,druckbruch,0.052632,fragmentiert,0.206724,0.567104,0.645113
welt,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,SOL_2024_30M,4,offen_stabil,offen_stabil,0.666667,offen_driftend,0.204888,0.567936,0.645976
welt,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,SOL_2024_30M,1,druckbruch,druckbruch,0.166667,fragmentiert,0.204888,0.567936,0.645976
welt,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,SOL_2024_30M,1,bruchuebergang,bruchuebergang,0.166667,fragmentiert,0.204888,0.567936,0.645976
welt,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,SOL_2024_5M,1,offen_stabil,offen_stabil,0.500000,offen_driftend,0.213491,0.568873,0.645096
welt,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,SOL_2024_5M,1,druckuebergang,druckuebergang,0.500000,fragmentiert,0.213491,0.568873,0.645096
welt,dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,BTC_2024_15M,2,offen_stabil,offen_stabil,1.000000,offen_driftend,0.190204,0.565402,0.647961
welt,dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,BTC_2024_1H,9,offen_stabil,offen_stabil,0.692308,offen_driftend,0.192577,0.567391,0.648425
welt,dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,BTC_2024_1H,2,bruchuebergang,bruchuebergang,0.153846,fragmentiert,0.192577,0.567391,0.648425
welt,dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,BTC_2024_1H,1,offen_rekoppelnd,offen_rekoppelnd,0.076923,breit_driftend,0.192577,0.567391,0.648425
welt,dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,BTC_2024_1H,1,druckuebergang,druckuebergang,0.076923,fragmentiert,0.192577,0.567391,0.648425
welt,dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,BTC_2024_30M,9,offen_stabil,offen_stabil,0.692308,offen_driftend,0.194637,0.568125,0.648163
welt,dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,BTC_2024_30M,3,offen_rekoppelnd,offen_rekoppelnd,0.230769,breit_driftend,0.194637,0.568125,0.648163
welt,dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,BTC_2024_30M,1,bruchuebergang,bruchuebergang,0.076923,fragmentiert,0.194637,0.568125,0.648163
welt,dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,BTC_2024_5M,4,offen_stabil,offen_stabil,0.800000,offen_driftend,0.197351,0.567778,0.647036
welt,dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,BTC_2024_5M,1,offen_rekoppelnd,offen_rekoppelnd,0.200000,breit_driftend,0.197351,0.567778,0.647036
welt,dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,KAS_2024_30M,4,offen_stabil,offen_stabil,1.000000,offen_driftend,0.208383,0.568401,0.645124
welt,dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,SOL_2024_15M,9,offen_stabil,offen_stabil,0.750000,offen_driftend,0.207693,0.567259,0.645161
welt,dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,SOL_2024_15M,1,offen_rekoppelnd,offen_rekoppelnd,0.083333,breit_driftend,0.207693,0.567259,0.645161
welt,dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,SOL_2024_15M,1,bruchuebergang,bruchuebergang,0.083333,fragmentiert,0.207693,0.567259,0.645161
welt,dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,SOL_2024_15M,1,druckbruch,druckbruch,0.083333,fragmentiert,0.207693,0.567259,0.645161
welt,dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,SOL_2024_1H,17,offen_stabil,offen_stabil,0.850000,offen_driftend,0.206724,0.567104,0.645113
welt,dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,SOL_2024_1H,1,bruchuebergang,bruchuebergang,0.050000,fragmentiert,0.206724,0.567104,0.645113
welt,dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,SOL_2024_1H,1,druckuebergang,druckuebergang,0.050000,fragmentiert,0.206724,0.567104,0.645113
welt,dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,SOL_2024_1H,1,offen_rekoppelnd,offen_rekoppelnd,0.050000,breit_driftend,0.206724,0.567104,0.645113
welt,dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,SOL_2024_30M,6,offen_stabil,offen_stabil,0.857143,offen_driftend,0.204888,0.567936,0.645976
welt,dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,SOL_2024_30M,1,bruchuebergang,bruchuebergang,0.142857,fragmentiert,0.204888,0.567936,0.645976
welt,dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,SOL_2024_5M,2,offen_stabil,offen_stabil,1.000000,offen_driftend,0.213491,0.568873,0.645096
