scope,pair,world,events,source_quality,top_quality,share,passive_regulation_quality,contact_pressure,contact_alignment,mcm_rekopplung
gesamt,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,-,94,stark_fragmentiert,rekoppelnd_offen,0.297872,fragmentiert,,,
gesamt,dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,-,106,breit_driftend,rekoppelnd_stabil,0.613208,breit_driftend,,,
welt,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG_BTC_QUIET_4000,10,rekoppelnd_offen,rekoppelnd_offen,0.270270,breit_driftend,0.204476,0.872369,0.649841
welt,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG_BTC_QUIET_4000,9,bruchuebergang,bruchuebergang,0.243243,fragmentiert,0.204476,0.872369,0.649841
welt,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG_BTC_QUIET_4000,7,rekoppelnd_stabil,rekoppelnd_stabil,0.189189,eng_getragen,0.204476,0.872369,0.649841
welt,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG_BTC_QUIET_4000,6,druckuebergang,druckuebergang,0.162162,fragmentiert,0.204476,0.872369,0.649841
welt,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG_BTC_QUIET_4000,3,druckbruch,druckbruch,0.081081,fragmentiert,0.204476,0.872369,0.649841
welt,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG_BTC_QUIET_4000,1,offen_rekoppelnd,offen_rekoppelnd,0.027027,breit_driftend,0.204476,0.872369,0.649841
welt,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG_BTC_QUIET_4000,1,bruchdominant,bruchdominant,0.027027,fragmentiert,0.204476,0.872369,0.649841
welt,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG_BTC_STRESS_4000,12,rekoppelnd_offen,rekoppelnd_offen,0.333333,breit_driftend,0.205664,0.870222,0.649379
welt,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG_BTC_STRESS_4000,6,druckuebergang,druckuebergang,0.166667,fragmentiert,0.205664,0.870222,0.649379
welt,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG_BTC_STRESS_4000,5,druckbruch,druckbruch,0.138889,fragmentiert,0.205664,0.870222,0.649379
welt,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG_BTC_STRESS_4000,5,bruchuebergang,bruchuebergang,0.138889,fragmentiert,0.205664,0.870222,0.649379
welt,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG_BTC_STRESS_4000,3,rekoppelnd_stabil,rekoppelnd_stabil,0.083333,eng_getragen,0.205664,0.870222,0.649379
welt,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG_BTC_STRESS_4000,3,bruchdominant,bruchdominant,0.083333,fragmentiert,0.205664,0.870222,0.649379
welt,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG_BTC_STRESS_4000,2,offen_rekoppelnd,offen_rekoppelnd,0.055556,breit_driftend,0.205664,0.870222,0.649379
welt,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG_SOL_QUIET_4000,4,druckuebergang,druckuebergang,0.250000,fragmentiert,0.210503,0.866927,0.647777
welt,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG_SOL_QUIET_4000,4,rekoppelnd_offen,rekoppelnd_offen,0.250000,breit_driftend,0.210503,0.866927,0.647777
welt,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG_SOL_QUIET_4000,4,bruchuebergang,bruchuebergang,0.250000,fragmentiert,0.210503,0.866927,0.647777
welt,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG_SOL_QUIET_4000,2,druckbruch,druckbruch,0.125000,fragmentiert,0.210503,0.866927,0.647777
welt,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG_SOL_QUIET_4000,1,rekoppelnd_stabil,rekoppelnd_stabil,0.062500,eng_getragen,0.210503,0.866927,0.647777
welt,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG_SOL_QUIET_4000,1,bruchdominant,bruchdominant,0.062500,fragmentiert,0.210503,0.866927,0.647777
welt,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG_SOL_STRESS_4000,2,rekoppelnd_offen,rekoppelnd_offen,0.400000,breit_driftend,0.211113,0.866208,0.647039
welt,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG_SOL_STRESS_4000,1,bruchuebergang,bruchuebergang,0.200000,fragmentiert,0.211113,0.866208,0.647039
welt,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG_SOL_STRESS_4000,1,druckuebergang,druckuebergang,0.200000,fragmentiert,0.211113,0.866208,0.647039
welt,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG_SOL_STRESS_4000,1,druckbruch,druckbruch,0.200000,fragmentiert,0.211113,0.866208,0.647039
welt,dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,LONG_BTC_QUIET_4000,28,rekoppelnd_stabil,rekoppelnd_stabil,0.583333,eng_getragen,0.204476,0.872369,0.649841
welt,dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,LONG_BTC_QUIET_4000,18,rekoppelnd_offen,rekoppelnd_offen,0.375000,breit_driftend,0.204476,0.872369,0.649841
welt,dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,LONG_BTC_QUIET_4000,1,bruchuebergang,bruchuebergang,0.020833,fragmentiert,0.204476,0.872369,0.649841
welt,dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,LONG_BTC_QUIET_4000,1,druckuebergang,druckuebergang,0.020833,fragmentiert,0.204476,0.872369,0.649841
welt,dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,LONG_BTC_STRESS_4000,27,rekoppelnd_stabil,rekoppelnd_stabil,0.692308,eng_getragen,0.205664,0.870222,0.649379
welt,dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,LONG_BTC_STRESS_4000,8,rekoppelnd_offen,rekoppelnd_offen,0.205128,breit_driftend,0.205664,0.870222,0.649379
welt,dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,LONG_BTC_STRESS_4000,2,druckuebergang,druckuebergang,0.051282,fragmentiert,0.205664,0.870222,0.649379
welt,dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,LONG_BTC_STRESS_4000,1,bruchdominant,bruchdominant,0.025641,fragmentiert,0.205664,0.870222,0.649379
welt,dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,LONG_BTC_STRESS_4000,1,bruchuebergang,bruchuebergang,0.025641,fragmentiert,0.205664,0.870222,0.649379
welt,dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,LONG_SOL_QUIET_4000,10,rekoppelnd_stabil,rekoppelnd_stabil,0.526316,eng_getragen,0.210503,0.866927,0.647777
welt,dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,LONG_SOL_QUIET_4000,7,rekoppelnd_offen,rekoppelnd_offen,0.368421,breit_driftend,0.210503,0.866927,0.647777
welt,dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,LONG_SOL_QUIET_4000,1,bruchuebergang,bruchuebergang,0.052632,fragmentiert,0.210503,0.866927,0.647777
welt,dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,LONG_SOL_QUIET_4000,1,druckuebergang,druckuebergang,0.052632,fragmentiert,0.210503,0.866927,0.647777
