pair,signature,events,worlds,share,pressure_delta,rekopplung_delta
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,rekoppelnde_lage->rekoppelnde_lage->rekoppelnde_lage,48,4,0.607595,0.016677,-0.003961
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,offene_lage->rekoppelnde_lage->rekoppelnde_lage,8,4,0.101266,-0.036850,0.008466
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,rekoppelnde_lage->rekoppelnde_lage->offene_lage,6,3,0.075949,0.075348,-0.011428
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,rekoppelnde_lage->rekoppelnde_lage->druck_lage,4,3,0.050633,0.109179,-0.034250
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,rekoppelnde_lage->rekoppelnde_lage->bewegungsbruch,3,2,0.037975,0.055117,-0.022795
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,offene_lage->offene_lage->rekoppelnde_lage,2,2,0.025316,-0.021641,-0.001249
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,rekoppelnde_lage->offene_lage->rekoppelnde_lage,1,1,0.012658,0.012707,-0.025375
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,druck_lage->rekoppelnde_lage->rekoppelnde_lage,1,1,0.012658,-0.068823,0.046386
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,offene_lage->rekoppelnde_lage->offene_lage,1,1,0.012658,-0.050227,0.022804
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,offene_lage->rekoppelnde_lage->druck_lage,1,1,0.012658,0.156307,-0.029477
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,rekoppelnde_lage->offene_lage->offene_lage,1,1,0.012658,0.003598,-0.010390
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,druck_lage->offene_lage->rekoppelnde_lage,1,1,0.012658,-0.105785,0.040621
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,rekoppelnde_lage->gehaltene_form->druck_lage,1,1,0.012658,0.104785,-0.019890
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,offene_lage->rekoppelnde_lage->bewegungsbruch,1,1,0.012658,0.037557,-0.027790
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,rekoppelnde_lage->druck_lage->bewegungsbruch,9,3,0.130435,0.080370,-0.012905
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,rekoppelnde_lage->druck_lage->rekoppelnde_lage,8,3,0.115942,0.032215,-0.013301
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,rekoppelnde_lage->offene_lage->rekoppelnde_lage,6,3,0.086957,0.019524,-0.004007
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,rekoppelnde_lage->rekoppelnde_lage->rekoppelnde_lage,6,3,0.086957,0.023544,-0.000625
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,rekoppelnde_lage->bewegungsbruch->rekoppelnde_lage,5,2,0.072464,0.034516,-0.020649
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,offene_lage->rekoppelnde_lage->rekoppelnde_lage,4,2,0.057971,-0.041323,0.018553
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,druck_lage->offene_lage->rekoppelnde_lage,3,3,0.043478,-0.096100,0.031976
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,offene_lage->offene_lage->rekoppelnde_lage,3,3,0.043478,-0.050635,0.011909
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,bewegungsbruch->rekoppelnde_lage->rekoppelnde_lage,3,3,0.043478,-0.002508,0.002329
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,rekoppelnde_lage->druck_lage->druck_lage,2,2,0.028986,0.144226,-0.030156
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,offene_lage->druck_lage->rekoppelnde_lage,2,2,0.028986,0.000166,0.001337
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,rekoppelnde_lage->offene_lage->bewegungsbruch,2,2,0.028986,0.047906,-0.008043
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,rekoppelnde_lage->rekoppelnde_lage->offene_lage,2,2,0.028986,0.031635,-0.014418
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,rekoppelnde_lage->druck_lage->offene_lage,2,2,0.028986,0.030601,-0.022269
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,rekoppelnde_lage->bewegungsbruch->druck_lage,1,1,0.014493,0.098674,-0.019489
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,gehaltene_form->rekoppelnde_lage->offene_lage,1,1,0.014493,0.013252,-0.037559
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,offene_lage->druck_lage->offene_lage,1,1,0.014493,-0.058544,-0.003950
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,offene_lage->bewegungsbruch->offene_lage,1,1,0.014493,0.044223,-0.024319
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,bewegungsbruch->bewegungsbruch->rekoppelnde_lage,1,1,0.014493,-0.034469,-0.007200
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,rekoppelnde_lage->gehaltene_form->offene_lage,1,1,0.014493,-0.020888,0.007024
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,offene_lage->druck_lage->druck_lage,1,1,0.014493,0.224447,-0.056806
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,bewegungsbruch->druck_lage->rekoppelnde_lage,1,1,0.014493,0.051209,0.006225
