intake_key;axis;inner_effect_state;mcm_preview_symbol;seen_count;total_events;max_world_count;dominant_signature_label;intake_memory_quality;maturity_note;avg_recoupling_balance;avg_balance_stdev;avg_rekopplung_quality;avg_strain_quality;avg_carry_quality;avg_field_intake_pressure;label_profile;world_profile;sources;caution_note
hoeren_hin|inner_effect_stable|dio_mcm_episode_0e7qvj1;hoeren_hin;inner_effect_stable;dio_mcm_episode_0e7qvj1;1;321;1;einzelspur;young_intake_trace;single_observation;0.572837;0.0;0.720581;0.132913;0.548738;0.059329;einzelspur:1;BTC2025_1H:1;487_BTC2025_1H_SINNESAUFNAHME_WIEDERERKENNUNG.csv:1;passive_not_actionable
sehen_fokus|inner_effect_stable|dio_mcm_episode_0e7qvj1;sehen_fokus;inner_effect_stable;dio_mcm_episode_0e7qvj1;1;263;1;einzelspur;young_intake_trace;single_observation;0.550125;0.0;0.713188;0.138816;0.533812;0.096985;einzelspur:1;BTC2025_1H:1;487_BTC2025_1H_SINNESAUFNAHME_WIEDERERKENNUNG.csv:1;passive_not_actionable
sehen_abstand|inner_effect_stable|dio_mcm_episode_0e7qvj1;sehen_abstand;inner_effect_stable;dio_mcm_episode_0e7qvj1;1;141;1;einzelspur;young_intake_trace;single_observation;0.520949;0.0;0.700829;0.154123;0.524153;0.103032;einzelspur:1;BTC2025_1H:1;487_BTC2025_1H_SINNESAUFNAHME_WIEDERERKENNUNG.csv:1;passive_not_actionable
sehen_abstand|inner_effect_carried_unrest|dio_mcm_episode_0e7qvj1;sehen_abstand;inner_effect_carried_unrest;dio_mcm_episode_0e7qvj1;1;100;1;einzelspur;young_intake_trace;single_observation;0.43806;0.0;0.661174;0.190236;0.469701;0.131514;einzelspur:1;BTC2025_1H:1;487_BTC2025_1H_SINNESAUFNAHME_WIEDERERKENNUNG.csv:1;passive_not_actionable
ausgeglichen|inner_effect_stable|dio_mcm_episode_0e7qvj1;ausgeglichen;inner_effect_stable;dio_mcm_episode_0e7qvj1;1;97;1;einzelspur;young_intake_trace;single_observation;0.537751;0.0;0.716651;0.151364;0.556876;0.110145;einzelspur:1;BTC2025_1H:1;487_BTC2025_1H_SINNESAUFNAHME_WIEDERERKENNUNG.csv:1;passive_not_actionable
hoeren_leise|inner_effect_stable|dio_mcm_episode_0e7qvj1;hoeren_leise;inner_effect_stable;dio_mcm_episode_0e7qvj1;1;85;1;einzelspur;young_intake_trace;single_observation;0.471554;0.0;0.686811;0.170333;0.497864;0.179699;einzelspur:1;BTC2025_1H:1;487_BTC2025_1H_SINNESAUFNAHME_WIEDERERKENNUNG.csv:1;passive_not_actionable
feldinput|inner_effect_stable|dio_mcm_episode_0e7qvj1;feldinput;inner_effect_stable;dio_mcm_episode_0e7qvj1;1;67;1;einzelspur;contact_loaded_intake;single_observation;0.448934;0.0;0.679305;0.17914;0.484499;0.204926;einzelspur:1;BTC2025_1H:1;487_BTC2025_1H_SINNESAUFNAHME_WIEDERERKENNUNG.csv:1;passive_not_actionable
hoeren_hin|inner_effect_stable|dio_mcm_episode_1hdpu9s;hoeren_hin;inner_effect_stable;dio_mcm_episode_1hdpu9s;1;67;1;einzelspur;young_intake_trace;single_observation;0.568348;0.0;0.719679;0.135702;0.550278;0.062513;einzelspur:1;BTC2025_1H:1;487_BTC2025_1H_SINNESAUFNAHME_WIEDERERKENNUNG.csv:1;passive_not_actionable
sehen_fokus|inner_effect_stable|dio_mcm_episode_1hdpu9s;sehen_fokus;inner_effect_stable;dio_mcm_episode_1hdpu9s;1;65;1;einzelspur;young_intake_trace;single_observation;0.555086;0.0;0.713945;0.136324;0.530737;0.090137;einzelspur:1;BTC2025_1H:1;487_BTC2025_1H_SINNESAUFNAHME_WIEDERERKENNUNG.csv:1;passive_not_actionable
sehen_fokus|inner_effect_stable|dio_mcm_episode_1ahj81f;sehen_fokus;inner_effect_stable;dio_mcm_episode_1ahj81f;1;54;1;einzelspur;young_intake_trace;single_observation;0.54295;0.0;0.702269;0.137613;0.493009;0.086827;einzelspur:1;BTC2025_1H:1;487_BTC2025_1H_SINNESAUFNAHME_WIEDERERKENNUNG.csv:1;passive_not_actionable
hoeren_hin|inner_effect_stable|dio_mcm_episode_1q3us3f;hoeren_hin;inner_effect_stable;dio_mcm_episode_1q3us3f;1;50;1;einzelspur;young_intake_trace;single_observation;0.581305;0.0;0.727887;0.132104;0.563497;0.05791;einzelspur:1;BTC2025_1H:1;487_BTC2025_1H_SINNESAUFNAHME_WIEDERERKENNUNG.csv:1;passive_not_actionable
hoeren_hin|inner_effect_stable|dio_mcm_episode_1ahj81f;hoeren_hin;inner_effect_stable;dio_mcm_episode_1ahj81f;1;42;1;einzelspur;young_intake_trace;single_observation;0.552513;0.0;0.707654;0.137976;0.52058;0.06866;einzelspur:1;BTC2025_1H:1;487_BTC2025_1H_SINNESAUFNAHME_WIEDERERKENNUNG.csv:1;passive_not_actionable
feldinput|inner_effect_carried_unrest|dio_mcm_episode_0e7qvj1;feldinput;inner_effect_carried_unrest;dio_mcm_episode_0e7qvj1;1;37;1;einzelspur;contact_loaded_intake;single_observation;0.310596;0.0;0.628005;0.238593;0.414919;0.315266;einzelspur:1;BTC2025_1H:1;487_BTC2025_1H_SINNESAUFNAHME_WIEDERERKENNUNG.csv:1;passive_not_actionable
sehen_fokus|inner_effect_stable|dio_mcm_episode_1q3us3f;sehen_fokus;inner_effect_stable;dio_mcm_episode_1q3us3f;1;32;1;einzelspur;young_intake_trace;single_observation;0.561821;0.0;0.7218;0.134967;0.543912;0.100047;einzelspur:1;BTC2025_1H:1;487_BTC2025_1H_SINNESAUFNAHME_WIEDERERKENNUNG.csv:1;passive_not_actionable
ausgeglichen|inner_effect_stable|dio_mcm_episode_1hdpu9s;ausgeglichen;inner_effect_stable;dio_mcm_episode_1hdpu9s;1;25;1;einzelspur;young_intake_trace;single_observation;0.529326;0.0;0.711763;0.152196;0.544607;0.120967;einzelspur:1;BTC2025_1H:1;487_BTC2025_1H_SINNESAUFNAHME_WIEDERERKENNUNG.csv:1;passive_not_actionable
sehen_abstand|inner_effect_stable|dio_mcm_episode_1hdpu9s;sehen_abstand;inner_effect_stable;dio_mcm_episode_1hdpu9s;1;25;1;einzelspur;young_intake_trace;single_observation;0.522798;0.0;0.704301;0.154009;0.534058;0.109974;einzelspur:1;BTC2025_1H:1;487_BTC2025_1H_SINNESAUFNAHME_WIEDERERKENNUNG.csv:1;passive_not_actionable
hoeren_leise|inner_effect_stable|dio_mcm_episode_1hdpu9s;hoeren_leise;inner_effect_stable;dio_mcm_episode_1hdpu9s;1;20;1;einzelspur;young_intake_trace;single_observation;0.488074;0.0;0.695325;0.166492;0.518273;0.163034;einzelspur:1;BTC2025_1H:1;487_BTC2025_1H_SINNESAUFNAHME_WIEDERERKENNUNG.csv:1;passive_not_actionable
hoeren_leise|inner_effect_stable|dio_mcm_episode_1q3us3f;hoeren_leise;inner_effect_stable;dio_mcm_episode_1q3us3f;1;20;1;einzelspur;young_intake_trace;single_observation;0.480392;0.0;0.694538;0.168849;0.5119;0.181191;einzelspur:1;BTC2025_1H:1;487_BTC2025_1H_SINNESAUFNAHME_WIEDERERKENNUNG.csv:1;passive_not_actionable
ausgeglichen|inner_effect_stable|dio_mcm_episode_1q3us3f;ausgeglichen;inner_effect_stable;dio_mcm_episode_1q3us3f;1;19;1;einzelspur;young_intake_trace;single_observation;0.539997;0.0;0.719263;0.149699;0.55281;0.118267;einzelspur:1;BTC2025_1H:1;487_BTC2025_1H_SINNESAUFNAHME_WIEDERERKENNUNG.csv:1;passive_not_actionable
hoeren_leise|inner_effect_carried_unrest|dio_mcm_episode_0e7qvj1;hoeren_leise;inner_effect_carried_unrest;dio_mcm_episode_0e7qvj1;1;18;1;einzelspur;contact_loaded_intake;single_observation;0.407109;0.0;0.660094;0.201235;0.468202;0.206999;einzelspur:1;BTC2025_1H:1;487_BTC2025_1H_SINNESAUFNAHME_WIEDERERKENNUNG.csv:1;passive_not_actionable
